Date,JD,averagemag
2014-10-29 11:54:36,2456959.99625,14.28
2014-12-05 11:32:01,2456996.98057,untrusted
2014-12-05 13:18:35,2456997.05457,untrusted
2014-12-25 11:41:45,2457016.98733,untrusted
2014-12-25 13:28:19,2457017.06133,untrusted
2014-12-25 17:41:59,2457017.23749,untrusted
2015-02-16 05:24:40,2457069.72546,14.27
2015-02-16 07:11:14,2457069.79947,14.26
2015-02-16 11:24:54,2457069.97563,14.27
2015-02-16 13:11:28,2457070.04963,14.26
2015-03-11 23:27:29,2457093.47742,null
2015-03-12 01:13:47,2457093.55124,14.27
2015-05-21 22:11:22,2457164.42456,null
2015-05-21 23:57:35,2457164.49832,14.22
2015-06-08 04:13:47,2457181.67624,14.24
2015-06-08 06:00:21,2457181.75024,14.23
2015-07-24 22:26:44,2457228.43523,14.22
2015-07-25 02:40:25,2457228.61140,14.24
2015-07-25 04:26:59,2457228.68541,14.24
2015-08-02 08:47:15,2457236.86615,null
2015-08-02 10:33:26,2457236.93988,null
2015-08-02 14:47:11,2457237.11610,null
2015-09-15 19:30:39,2457281.31295,14.26
2015-10-08 19:27:33,2457304.31080,14.25
2015-10-08 21:14:08,2457304.38481,14.23
2015-11-09 20:50:57,2457336.36872,14.26
2015-12-22 00:42:05,2457378.52922,14.28
2015-12-22 02:28:39,2457378.60323,14.27
2015-12-22 06:42:20,2457378.77940,14.27
2015-12-22 08:28:54,2457378.85340,14.26
2016-01-07 02:39:55,2457394.61105,14.28
2016-01-07 06:53:35,2457394.78721,14.30
2016-01-07 08:40:09,2457394.86122,14.29
2016-01-07 12:53:50,2457395.03738,14.29
2016-01-07 14:40:24,2457395.11139,14.30
2016-02-28 06:34:37,2457446.77404,14.24
2016-02-28 08:21:11,2457446.84804,14.23
2016-03-26 00:28:22,2457473.51970,14.34
2016-03-26 02:14:55,2457473.59369,untrusted
2016-04-25 00:08:05,2457503.50561,14.29
2016-04-25 01:54:39,2457503.57962,14.28
2016-06-03 23:06:40,2457543.46296,null
2016-06-17 23:12:20,2457557.46690,null
2016-06-18 00:59:05,2457557.54103,null
2016-08-03 23:22:30,2457604.47396,null
2016-08-04 03:36:16,2457604.65019,null
2016-08-14 15:43:04,2457615.15491,null
2016-08-14 17:29:49,2457615.22904,null
2016-09-25 20:36:30,2457657.35868,null
2016-10-21 20:27:23,2457683.35235,null
2016-10-21 22:14:08,2457683.42648,null
2016-11-20 10:01:43,2457712.91786,null
2017-01-07 07:56:07,2457760.83064,null
2017-01-07 09:42:52,2457760.90477,null
2017-01-07 13:56:37,2457761.08098,null
2017-01-07 15:42:47,2457761.15471,null
2017-01-07 21:43:18,2457761.40507,null
2017-01-20 21:52:59,2457774.41179,null
2017-01-21 02:06:44,2457774.58801,null
2017-01-21 03:53:29,2457774.66214,null
2017-01-21 08:07:13,2457774.83834,null
2017-01-21 09:53:58,2457774.91248,null
2017-01-21 14:07:08,2457775.08829,null
2017-03-10 22:53:04,2457823.45352,null
2017-04-09 16:36:25,2457853.19196,null
2017-05-06 08:35:55,2457879.85828,null
2017-05-06 10:22:40,2457879.93241,null
2017-06-17 15:11:23,2457922.13291,null
2017-06-17 19:25:07,2457922.30911,null
2017-06-28 13:31:03,2457933.06323,null
2017-06-28 15:17:48,2457933.13736,null
2017-06-28 19:31:33,2457933.31358,null
2017-08-14 17:55:10,2457980.24664,null
2017-08-14 19:41:55,2457980.32078,null
2017-08-28 07:48:38,2457993.82544,null
2017-10-06 23:05:47,2458033.46235,null
2017-10-07 00:52:32,2458033.53648,null
2017-11-05 04:51:05,2458062.70214,14.19
2017-11-05 06:37:40,2458062.77616,14.18
2017-12-02 00:34:41,2458089.52409,14.20
2017-12-02 04:48:22,2458089.70025,14.21
2018-01-22 10:31:40,2458140.93866,14.23
2018-01-22 12:18:14,2458141.01266,14.21
2018-01-22 16:31:54,2458141.18882,14.23
2018-01-22 18:18:28,2458141.26282,14.21
2018-02-07 06:28:45,2458156.76997,14.16
2018-02-07 10:42:24,2458156.94611,14.18
2018-02-07 12:28:58,2458157.02012,14.17
2018-02-07 16:42:38,2458157.19627,14.16
2018-03-22 16:15:03,2458200.17712,14.17
2018-03-22 18:01:37,2458200.25112,14.18
2018-04-23 23:33:48,2458232.48181,14.13
2018-05-17 15:39:56,2458256.15273,14.18
2018-06-30 22:06:06,2458300.42090,14.18
2018-07-01 02:19:46,2458300.59706,14.15
2018-07-01 04:06:20,2458300.67106,14.16
2018-07-09 14:25:57,2458309.10135,14.17
2018-07-09 16:12:32,2458309.17537,14.16
2018-08-25 08:40:42,2458355.86160,14.14
2018-10-18 06:13:59,2458409.75971,14.12
2018-10-18 08:00:33,2458409.83372,14.10
2018-11-20 01:40:55,2458442.57008,14.10
2018-12-13 17:59:12,2458466.24944,14.07
2018-12-13 19:45:46,2458466.32345,14.07
2018-12-13 23:59:27,2458466.49962,14.09
2019-02-04 11:43:08,2458518.98829,14.08
