_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0009,108.17187733798,-26.50767891336,1354.9718,1319.4281,1393.10242,13.828329714853286,0.8440589368686675,0.003384,0.006811,0.006811
0.2034,108.17564818306,-26.50806073848,2105.66626,1740.58618,2551.5979,17.35863199649048,0.9738920094938279,0.002903,0.009953,0.006964
0.3777,108.17557973747,-26.51302330858,1554.6283,1384.14636,1790.05859,17.09376999649048,1.0091000094938278,0.002874,0.013161,0.009241
0.6971,108.17028954281,-26.49613628169,814.863281,806.940613,822.316772,12.930182460089684,0.5321470248756409,0.002763,0.00283,0.003796
0.7415,108.16491596109,-26.49699815378,1886.29248,1757.3562,2065.31592,16.18463599540329,0.7836740063610077,0.002793,0.004205,0.004383
0.8197,108.18558724563,-26.50164227577,1778.72534,1394.15295,2264.10669,18.380802996490477,1.7092080094938278,0.003237,0.034559,0.009366
0.827,108.17973242535,-26.51952743124,3911.38281,3182.64795,4821.60986,16.222376012750626,0.8444710245857239,0.00281,0.005147,0.004997
0.9242,108.17548920749,-26.52272831355,1689.54517,1646.26831,1751.89478,14.46182999649048,0.5742300094938279,0.002766,0.003068,0.003858
1.0059,108.18687824412,-26.51771978103,1205.84436,1068.74268,1446.297,17.21552225942421,1.6201157892255784,0.00291,0.012291,0.005463
1.0501,108.15236997953,-26.50653867353,1952.89954,1831.39954,2068.14526,15.49115999540329,0.7350730063610077,0.002776,0.003527,0.004062
1.0803,108.15431399396,-26.49889580948,1347.93115,1307.40625,1385.14697,15.350869002446174,0.797438003323555,0.00277,0.00314,0.004077
1.1318,108.15781371093,-26.49362156939,1384.34692,1317.02332,1454.31274,15.696359002446174,0.819747003323555,0.002779,0.003712,0.004063
1.2076,108.19166240474,-26.49808101599,4360.7041,3768.91675,5098.21729,15.582058012750625,1.233694024585724,0.002784,0.003827,0.00412
1.2564,108.16956799813,-26.52850286812,3238.11694,2594.2644,3998.30103,16.767109012750627,0.6654630245857239,0.002843,0.007783,0.005359
1.276,108.15166024817,-26.49650077911,6542.97754,5263.59473,8365.96387,16.468185003261567,1.0973640093984605,0.002811,0.010164,0.006004
1.291,108.1884915283,-26.52322771586,1821.14136,1739.84509,1910.07935,15.207945996490478,0.7196450094938278,0.00277,0.003614,0.003988
1.2994,108.19570970302,-26.50385640528,1322.63538,1154.54614,1538.7522,17.20904300380516,1.50804900351429,0.002873,0.011849,0.005519
1.311,108.14754289256,-26.50936779237,4860.35205,4057.77637,5861.62549,16.108831003261567,0.7424170093984603,0.0028,0.004886,0.00451
1.4308,108.1455381267,-26.51123614691,3049.29858,2694.927,3473.77393,16.04065601057625,0.7460190034189225,0.002793,0.004701,0.004491
1.4341,108.19787038662,-26.51319702125,2500.76929,2197.47803,3002.1189,16.7121583693161,0.8608490342731476,0.002835,0.007623,0.005691
1.4488,108.19785467208,-26.50110970651,1084.08093,969.488098,1251.27185,17.785982946315766,1.7261036085920334,0.003006,0.021492,0.007483
1.4549,108.17756045786,-26.48395536792,3042.6106,2824.4707,3353.40918,15.417240727962493,0.6995094703454972,0.002778,0.003659,0.004164
1.4772,108.15390309511,-26.52630090021,3238.32593,2781.5752,3830.35254,16.217603010576248,0.7234250034189225,0.002796,0.003748,0.0044
1.5032,108.17496505007,-26.53256713344,1722.13269,1526.49939,1957.45593,17.10989999649048,1.0422040094938279,0.00288,0.007628,0.005445
