Date,JD,averagemag
2014-10-21 14:31:53,2456952.10547,untrusted
2015-02-25 04:35:04,2457078.69102,16.29
2015-02-25 08:48:46,2457078.86720,16.31
2015-03-19 02:52:09,2457100.61955,16.29
2015-03-19 04:38:44,2457100.69356,16.27
2015-04-17 20:37:22,2457130.35928,16.29
2015-09-09 23:53:14,2457275.49530,16.31
2015-10-04 17:42:39,2457300.23795,16.30
2015-11-01 03:40:27,2457327.65309,16.28
2016-03-06 05:45:19,2457453.73980,16.28
2016-04-02 03:51:36,2457480.66083,16.28
2016-04-02 05:38:10,2457480.73484,16.29
2016-04-27 05:33:05,2457505.73131,16.29
2016-04-27 09:46:46,2457505.90748,untrusted
2016-09-19 11:13:25,2457650.96765,null
2016-09-19 13:00:10,2457651.04178,null
2016-10-18 16:51:29,2457680.20242,null
2016-10-18 18:38:14,2457680.27655,null
2016-11-10 00:35:01,2457702.52432,null
2016-11-10 04:48:45,2457702.70052,null
2017-03-16 18:33:03,2457829.27295,null
2017-03-16 20:19:14,2457829.34669,null
2017-04-17 00:12:55,2457860.50897,null
2017-04-17 01:59:41,2457860.58311,null
2017-05-07 06:16:52,2457880.76171,null
2017-05-07 08:03:03,2457880.83545,null
2017-11-03 08:57:36,2458060.87333,16.19
2017-11-03 13:11:14,2458061.04947,16.17
2017-11-18 19:16:54,2458076.30340,16.18
2017-11-18 21:03:27,2458076.37740,16.19
2017-11-19 01:17:06,2458076.55354,16.18
2017-11-19 03:03:40,2458076.62755,16.21
2018-03-27 13:44:04,2458205.07227,16.14
2018-05-02 07:11:32,2458240.79968,16.13
2018-05-02 08:58:07,2458240.87369,16.11
2018-05-16 07:20:03,2458254.80559,16.15
2018-05-16 09:06:37,2458254.87959,16.15
2018-05-16 13:20:18,2458255.05576,16.12
2018-08-22 09:29:14,2458352.89530,16.10
2018-08-22 11:15:48,2458352.96931,16.12
2018-09-04 15:34:57,2458366.14927,16.13
2018-09-04 17:21:30,2458366.22326,16.10
2018-10-11 02:51:51,2458402.61934,16.11
2019-02-16 21:09:38,2458531.38169,16.07
2019-02-16 22:56:12,2458531.45569,16.09
2019-02-17 03:09:53,2458531.63186,untrusted
2019-03-03 15:19:17,2458546.13839,16.08
2019-03-03 17:05:52,2458546.21241,16.08
2019-04-07 08:55:21,2458580.87177,16.08
2019-08-21 20:43:23,2458717.36346,16.02
2019-08-21 22:29:57,2458717.43747,16.03
2019-09-06 16:49:56,2458733.20134,16.00
2019-09-06 21:03:34,2458733.37748,16.02
2020-02-27 09:14:03,2458906.88476,15.93
2020-02-27 13:27:44,2458907.06093,15.97
2020-03-18 02:06:26,2458926.58780,15.94
2020-04-18 09:34:35,2458957.89902,15.92
2020-04-18 11:21:10,2458957.97303,15.93
2020-08-22 15:27:07,2459084.14383,15.90
2020-08-22 17:13:48,2459084.21792,null
2020-09-05 15:32:32,2459098.14759,15.89
2020-09-05 17:19:06,2459098.22160,15.88
2021-02-16 22:54:30,2459262.45451,15.88
2021-02-17 03:08:11,2459262.63068,15.85
2021-02-17 04:54:45,2459262.70469,15.85
2021-03-04 15:17:32,2459278.13718,15.86
2021-03-04 17:04:07,2459278.21119,15.89
2021-04-07 20:54:20,2459312.37106,15.84
2021-08-31 16:28:56,2459458.18676,15.82
2021-08-31 18:15:29,2459458.26075,15.82
2021-09-21 00:14:20,2459478.50995,null
2021-10-22 05:45:41,2459509.74006,15.81

