_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0019,282.03100654006,-6.17805244954,5633.60693,4603.38965,6945.85986,14.148703479919433,1.7413439242095947,0.004851,0.021927,0.012369
0.4104,282.02682668169,-6.18351780717,3462.79858,2777.29102,4462.69238,15.421917872879028,0.9346549736061096,0.002919,0.015875,0.005202
0.4841,282.02915527857,-6.17022779625,3838.31641,3259.55469,4710.21924,14.567807712928772,0.7191367459640503,0.002847,0.00547,0.00416
0.5405,282.02824355807,-6.18666426286,5139.72559,4041.66772,6464.8457,14.876599012931823,0.9220148326339721,0.002881,0.008492,0.0057
0.5697,282.04029743565,-6.18028520867,542.490479,481.002869,610.657898,18.275430365535737,2.089447484889984,0.005001,0.134804,0.009658
0.5793,282.03103996736,-6.16842945229,638.851379,628.567749,649.741882,13.875317578784943,0.9276914595813752,0.002779,0.00342,0.003979
0.5988,282.03211904486,-6.16816489618,2264.27661,2176.15454,2346.51538,13.10328724900055,0.2057456262168884,0.002772,0.00324,0.006333
0.6317,282.03716452518,-6.18664865559,2824.93579,2246.00024,3484.33325,15.956805271423338,1.1038353854484557,0.003112,0.01481,0.008023
0.6323,282.03450745968,-6.16813724793,5046.771,3725.20972,6242.95459,14.426598010375976,0.9695140989151003,0.002897,0.010798,0.004866
0.6805,282.03479518874,-6.18878284956,3411.27783,2856.47583,4007.64966,14.98977935798645,0.732487503376007,0.002855,0.008572,0.005313
0.6967,282.02386711633,-6.16889413782,4880.0957,4433.73877,5348.86133,12.215373010375977,0.9741260989151002,0.002782,0.003749,0.003892
0.7502,282.03398634977,-6.19023089064,2007.32837,1861.26514,2174.18677,15.10762498052597,0.8540320372123718,0.002804,0.005621,0.004572
0.7757,282.03533021866,-6.19027622986,2512.26807,2263.21802,2793.28125,14.952893621330261,0.7329469185943605,0.002824,0.008628,0.007408
0.785,282.0218825619,-6.16865574228,2272.44263,1829.89417,2844.30469,16.66896491435242,0.938304790966034,0.003319,0.034939,0.030768
0.8016,282.04425511891,-6.17584816349,2289.9729,2036.83105,2703.91406,15.190043587646485,0.7722036488571167,0.002825,0.008904,0.008302
0.8216,282.02945824753,-6.16447785869,4800.1001,3975.19116,5858.13916,13.700327010375975,1.0182420989151,0.002815,0.006789,0.005822
0.8345,282.02916556216,-6.19187210861,458.212524,451.994659,463.517212,14.518785237625123,1.122337819782257,0.002774,0.004998,0.00405
0.846,282.01732733929,-6.17436425529,746.47998,647.279663,872.662659,17.762521285442354,1.6942907634582518,0.005102,0.094064,0.036961
0.8493,282.04089480026,-6.16789932297,3803.06445,3275.51929,4325.82764,13.918506443984985,0.613119956363678,0.00279,0.004061,0.004206
0.9128,282.03851201772,-6.19134175433,4975.22607,4329.09033,5941.7832,13.76517996105194,1.2932670744247439,0.002811,0.006613,0.004366
0.9178,282.03670681973,-6.19229292761,2334.60742,2248.42773,2426.81665,12.139701539276123,1.2087512921333312,0.002768,0.003072,0.004063
0.966,282.02133915353,-6.19100084795,3334.41895,2958.21069,3861.57983,14.27157201739502,0.674834050125122,0.002815,0.009646,0.008151
0.9673,282.02476261121,-6.19296303291,5314.52637,4895.67822,5721.0918,11.794539397384643,1.7596181291809083,0.002794,0.00458,0.003914
0.9692,282.03094675711,-6.16193137951,2671.59082,2245.2583,3164.70728,15.345275309158325,0.7257155550727845,0.002891,0.012519,0.005942
0.997,282.04194671526,-6.16552196127,3828.53931,3472.09058,4168.54492,12.883781558204651,1.0967666398544313,0.002785,0.003756,0.003916
1.0231,282.01877985354,-6.19004153562,3945.8833,3028.44849,4997.7627,15.505722070228575,0.9109790502204895,0.002962,0.020264,0.007369
1.0602,282.04817034882,-6.18267480288,2538.38916,2202.09082,2989.2124,15.505117728233337,0.8329869181060792,0.002843,0.009201,0.005778
1.113,282.0470865165,-6.1874946285,1329.47522,1233.13086,1437.94482,15.722307139366151,0.9991558044719695,0.002874,0.010018,0.005779
1.1146,282.0429828779,-6.19234398065,975.806885,874.192383,1089.75574,17.070383053672792,1.747612037021637,0.00333,0.014251,0.00841
1.1416,282.01272392269,-6.17245840297,8858.70215,7131.94385,10826.8223,12.291065100326538,2.4862860036239622,0.007828,0.048663,0.018613
1.202,282.02828731034,-6.15823380461,1622.92041,1411.06848,1978.08167,16.172995291557314,0.883811984966278,0.003012,0.01054,0.009222
1.2073,282.01294810133,-6.18717206141,6668.24365,5461.92822,8216.84375,14.100671542800903,1.7480097881622316,0.002892,0.015221,0.007574
1.2142,282.0342879267,-6.19805582665,6816.14941,5377.66602,8461.24219,14.674212588226318,1.2621155649414062,0.002933,0.021624,0.006247
1.2214,282.04854236213,-6.16757444971,852.074524,828.407959,875.018982,14.744469665046692,1.1252370622138976,0.00279,0.006183,0.004389
