Date,JD,averagemag
2014-08-26 16:40:15,2456896.19462,14.33
2014-08-26 18:26:49,2456896.26862,14.31
2014-10-01 13:27:34,2456932.06081,untrusted
2014-11-13 07:44:14,2456974.82238,14.35
2014-11-13 11:57:55,2456974.99855,untrusted
2014-11-26 00:03:51,2456987.50267,14.35
2014-11-26 01:50:46,2456987.57692,null
2015-01-04 16:53:47,2457027.20402,14.39
2015-01-28 16:45:55,2457051.19855,untrusted
2015-01-28 18:32:31,2457051.27258,null
2015-02-28 18:12:42,2457082.25882,14.34
2015-04-11 22:04:16,2457124.41963,14.36
2015-04-11 23:50:50,2457124.49363,14.32
2015-05-03 10:15:03,2457145.92712,14.35
2015-05-03 12:01:37,2457146.00112,14.32
2015-05-03 16:15:17,2457146.17728,14.35
2015-06-20 03:53:06,2457193.66188,null
2015-06-20 05:39:13,2457193.73557,14.37
2015-07-20 15:41:01,2457224.15348,14.36
2015-09-27 08:21:25,2457292.84821,14.36
2015-09-27 10:07:59,2457292.92221,14.35
2015-10-12 08:25:42,2457307.85118,14.37
2015-10-12 10:12:16,2457307.92519,14.36
2015-11-24 06:54:52,2457350.78810,14.35
2015-12-08 13:00:10,2457365.04178,14.31
2015-12-08 14:46:44,2457365.11579,14.30
2016-01-15 11:59:09,2457402.99941,14.31
2016-01-15 13:45:44,2457403.07343,14.32
2016-02-11 11:46:30,2457429.99063,14.34
2016-02-11 13:33:05,2457430.06464,14.33
2016-03-11 17:36:23,2457459.23360,14.33
2016-03-11 19:22:58,2457459.30762,14.32
2016-04-26 17:15:49,2457505.21932,14.34
2016-04-26 19:02:23,2457505.29332,14.34
2016-05-18 07:12:58,2457526.80067,14.35
2016-05-18 11:26:38,2457526.97683,14.36
2016-05-18 13:13:12,2457527.05083,14.36
2016-07-01 17:01:53,2457571.20964,null
2016-07-01 18:48:37,2457571.28376,null
2016-08-03 06:26:43,2457603.76855,14.33
2016-10-09 05:03:29,2457670.71075,14.32
2016-10-09 09:17:09,2457670.88691,14.31
2016-10-22 09:22:38,2457683.89072,14.34
2016-10-22 11:09:12,2457683.96472,14.34
2016-12-03 21:39:53,2457726.40270,14.31
2016-12-20 07:57:00,2457742.83125,14.30
2017-01-25 14:52:31,2457779.11980,14.30
2017-02-24 20:11:25,2457809.34126,14.33
2017-02-24 21:58:18,2457809.41549,null
2017-03-23 21:55:56,2457836.41384,14.29
2017-03-24 02:09:36,2457836.59000,14.29
2017-05-11 13:50:02,2457885.07641,14.30
2017-05-11 15:36:36,2457885.15042,14.29
2017-06-03 19:58:33,2457908.33233,14.30
2017-06-03 21:45:06,2457908.40632,14.30
2017-06-04 01:58:46,2457908.58248,14.29
2017-07-14 01:32:46,2457948.56442,14.28
2017-07-14 03:19:20,2457948.63843,14.28
2017-08-17 14:47:14,2457983.11613,14.28
2017-09-09 14:41:07,2458006.11189,14.26
2017-10-21 17:35:04,2458048.23269,14.25
2017-11-02 11:40:59,2458059.98679,14.29
2017-11-02 13:27:33,2458060.06080,14.26
2017-12-14 12:02:44,2458102.00190,14.30
2018-01-02 06:03:25,2458120.75237,14.26
2018-02-05 21:36:28,2458155.40032,14.26
2018-03-11 15:15:52,2458189.13602,14.25
2018-03-11 17:02:27,2458189.21003,14.28
2018-04-05 15:20:50,2458214.13947,null
2018-04-05 17:07:01,2458214.21321,null
2018-04-05 21:20:43,2458214.38939,14.24
2018-05-25 09:01:05,2458263.87575,14.26
2018-05-25 10:47:39,2458263.94976,14.26
2018-06-20 03:05:06,2458289.62854,14.26
2018-06-20 04:51:40,2458289.70255,14.24
2018-07-26 08:40:35,2458325.86152,14.25
2018-07-26 10:27:09,2458325.93552,14.27
2018-08-31 15:44:18,2458362.15576,14.22
2018-09-20 19:56:17,2458382.33075,14.22
2018-11-02 08:16:54,2458424.84507,14.23
2018-11-02 12:30:47,2458425.02138,null
2018-11-14 06:36:47,2458436.77554,14.24
2018-11-14 08:23:21,2458436.84955,14.25
2018-12-25 05:18:31,2458477.72119,14.19
2019-01-15 11:15:14,2458498.96891,14.22
2019-01-15 13:01:49,2458499.04293,14.21
2019-02-17 06:31:44,2458531.77204,14.24
2019-02-17 10:45:25,2458531.94821,14.21
2019-03-27 04:23:04,2458569.68269,14.22
2019-03-27 06:09:39,2458569.75670,14.24
2019-04-19 04:32:01,2458592.68890,14.22
2019-04-19 06:18:35,2458592.76291,14.23
2019-04-19 10:32:16,2458592.93907,14.22
2019-06-07 16:11:36,2458642.17472,untrusted
2019-06-07 17:58:10,2458642.24873,14.22
2019-07-05 17:55:20,2458670.24676,null
2019-07-18 23:35:54,2458683.48326,null
2019-08-22 13:08:43,2458718.04772,14.20
2019-08-22 14:55:17,2458718.12172,14.19
2019-09-30 14:44:12,2458757.11403,14.18
2019-09-30 16:30:46,2458757.18803,14.18
2019-09-30 20:44:26,2458757.36419,14.20
2019-10-23 09:18:23,2458779.88777,14.20
2019-10-23 11:04:57,2458779.96177,14.17
2019-10-23 15:18:37,2458780.13793,14.19
2019-10-23 17:05:11,2458780.21193,14.19
2019-12-09 18:57:17,2458827.28978,14.18
2019-12-09 23:10:58,2458827.46595,14.15
2020-01-05 07:52:47,2458853.82832,14.16
2020-02-04 15:12:56,2458884.13398,14.15
2020-03-29 05:47:59,2458937.74166,14.13
2020-05-12 00:53:41,2458981.53728,14.16
2020-05-12 02:40:15,2458981.61128,14.14
2020-05-25 07:12:18,2458994.80021,14.09
2020-05-25 08:58:52,2458994.87421,14.10
2020-07-06 09:39:10,2459036.90220,14.16
2020-07-06 11:25:44,2459036.97620,untrusted
2020-09-01 09:41:57,2459093.90413,14.09
2020-09-21 07:54:19,2459113.82939,14.10
2020-09-21 09:40:53,2459113.90339,untrusted
2020-11-03 00:28:06,2459156.51951,14.13
2020-11-03 02:14:39,2459156.59351,null
2020-11-14 18:34:16,2459168.27380,14.11
2020-11-14 20:20:51,2459168.34781,14.10
2020-12-25 13:03:08,2459209.04384,14.12
2020-12-25 17:16:48,2459209.22000,14.10
2021-01-16 05:13:08,2459230.71745,14.11
2021-01-16 06:59:43,2459230.79147,14.12
2021-02-17 22:44:12,2459263.44736,14.15
2021-03-27 22:21:40,2459301.43171,14.10
2021-03-28 00:08:14,2459301.50572,14.10
2021-03-28 04:21:55,2459301.68189,14.09
2021-03-28 06:08:29,2459301.75589,14.10
2021-04-19 22:31:03,2459324.43823,14.09
2021-04-20 00:17:37,2459324.51223,14.06
2021-04-20 04:31:17,2459324.68839,14.07
2021-06-08 10:10:34,2459373.92400,14.08
2021-06-08 11:57:08,2459373.99801,14.09
2021-07-06 16:06:45,2459402.17135,14.08
2021-07-06 17:53:19,2459402.24536,14.08
2021-08-07 21:45:57,2459434.40691,14.06
2021-08-07 23:32:31,2459434.48091,14.06
2021-09-15 02:51:52,2459472.61935,14.05
2021-10-02 04:40:29,2459489.69478,14.04
2021-11-14 03:10:35,2459532.63235,14.01
2021-11-14 07:24:16,2459532.80852,14.00
2021-11-26 21:16:37,2459545.38654,14.01
2022-01-05 08:07:16,2459584.83838,untrusted

