_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0018,183.59815506385,-63.67164843061,390.89743,386.806335,395.095184,11.344712372039796,-0.21002817680358876,0.00295,0.004643,0.004783
0.07,183.59907017096,-63.67272366558,6916.02393,5582.39014,9014.46484,14.374670593536376,1.3449367360458373,0.003256,0.020122,0.008047
0.1012,183.60147828378,-63.67087731623,795.107117,599.280701,981.207642,16.638186770339967,1.4169451708450316,0.004523,0.164567,0.036353
0.1647,183.59778328259,-63.66889991682,3401.54541,2825.77295,4231.01953,13.728389737945555,0.15118502312469473,0.00282,0.016239,0.008999
0.264,183.60655897024,-63.67393120117,1067.8501,1051.70239,1083.70557,10.902028524124146,-0.7341031368637085,0.002766,0.002874,0.00385
0.3577,183.58579967236,-63.67405912364,2117.20532,1871.38513,2484.47852,14.110322740859985,-0.34372519623565667,0.00284,0.006347,0.005054
0.4282,183.61351032633,-63.67368160642,2239.84473,2188.17749,2305.39722,9.058097944335938,-1.2826697811126708,0.002762,0.00285,0.003801
0.4749,183.61399171579,-63.66805048318,1509.06287,1483.20654,1532.23779,8.753807885314941,-0.46835962811279286,0.002761,0.002871,0.003792
0.6101,183.58546669893,-63.68013063311,2028.3103,1980.69971,2079.02515,9.712579481521606,-0.07805758266448981,0.002759,0.002836,0.003795
0.6358,183.60582219023,-63.66161718244,5072.93945,4408.15039,6092.65137,13.333521510147094,0.07209093083953855,0.002801,0.00477,0.004151
0.659,183.5812017682,-63.66360996534,5884.79004,5592.18506,6364.25977,8.996735351348876,0.6770590495452882,0.003516,0.010171,0.006728
0.6902,183.61304773275,-63.6622469288,3240.13696,2631.16211,4223.12061,14.605468550720214,0.29705412913513185,0.002917,0.013023,0.006718
0.786,183.61790459172,-63.68135843844,2754.18311,2387.67432,3283.07764,14.065820759399415,-0.39598404558563227,0.002865,0.006234,0.006213
0.7879,183.62769225013,-63.67140154349,2482.23315,2304.91382,2802.23462,13.23311273121643,-0.3255947101669312,0.00279,0.004106,0.005765
0.7947,183.60346930695,-63.65861399509,495.865936,398.890564,638.072632,17.193323573165895,0.7526832938613892,0.007126,0.128518,0.041125
0.8014,183.57851914108,-63.68179660515,4227.39209,3440.84229,5274.23633,13.727746029815673,0.1016995115051269,0.002809,0.005777,0.00459
0.8049,183.59358720474,-63.68490858487,1844.56689,1734.01282,1977.41602,13.137226925109864,-0.49139091991424566,0.002792,0.003916,0.004632
0.811,183.61656409486,-63.68239262684,1489.79382,1238.61572,1793.58435,15.638717648956298,,0.003301,,
0.8517,183.60272866713,-63.68568654257,2983.35693,2574.76904,3464.30835,13.85192118409729,-0.44393688046264645,0.002816,0.004884,0.006106
0.8551,183.61791502997,-63.68285777421,1478.47498,1294.14685,1684.47388,14.950804050567626,-0.08876582553100576,0.003024,0.013554,0.008249
