_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0008,229.66362571108,-44.74605463952,5102.38867,3597.5813,7407.14014,16.84913371523285,1.4124285798473357,0.00446,0.019011,0.015351
0.0984,229.66541611824,-44.74503487313,3568.1897,3229.51855,3928.27979,13.886049681602477,1.1550464699287415,0.002767,0.003185,0.003844
0.484,229.67240799977,-44.74095490812,1189.22339,1141.24097,1268.13391,14.701142596157075,0.7859049978294372,0.002778,0.003115,0.004078
0.526,229.65378934424,-44.74076901076,396.716614,332.73468,499.277557,18.93320741834259,2.51423792363739,0.005251,0.256689,0.02782
0.5287,229.65533491793,-44.73950988957,1819.88635,1705.82117,1920.58472,15.161835582550049,0.7941521243476868,0.00279,0.004655,0.004347
0.5497,229.67304623816,-44.73981124272,1479.41455,1196.45923,1927.86255,17.605956894218444,0.8298698547229766,0.003168,0.024433,0.009803
0.7654,229.64575919442,-44.74472998634,622.572815,614.45343,628.778564,12.857631815269471,0.5748884813861846,0.002762,0.002871,0.003819
0.7704,229.64863431773,-44.73888729433,1323.77295,1223.14502,1443.44678,15.736612594078064,0.802537201789856,0.002819,0.008683,0.00427
0.811,229.67394022447,-44.73470952049,2152.58618,1705.45239,2737.78931,17.10376863379288,1.1197134727420808,0.003028,0.018287,0.01112
0.8497,229.68296971825,-44.74949414068,3835.17749,3425.0957,4227.04492,14.346215437831878,1.2271612795295714,0.002772,0.003525,0.003919
0.9282,229.64253693288,-44.7421907994,1762.23486,1591.11438,1952.97327,15.999096133277892,0.8360562185573577,0.002832,0.006178,0.00493
0.9853,229.66010519858,-44.76229836939,1567.01294,1452.45068,1680.45178,15.42552902742386,0.8028965365180969,0.002806,0.004765,0.004417
0.9908,229.66919626856,-44.73003632248,5352.60303,4433.22754,6380.32129,14.72758938588333,1.1517370144023895,0.002777,0.004188,0.004029
1.0168,229.65754189634,-44.76245423815,3032.07007,2886.57959,3184.16504,12.603541976276398,1.3312989280261993,0.002762,0.002963,0.003802
1.1734,229.6901590119,-44.75128900511,1952.61646,1717.62585,2233.27271,16.340790671794892,1.0319093881340027,0.00287,0.007566,0.005723
1.2209,229.69216846287,-44.74434722039,1218.61316,1074.91321,1467.45447,16.98705288422394,1.1582651282024383,0.003036,0.01718,0.012269
1.238,229.67715953556,-44.76432364011,3221.61133,2755.8374,3806.84204,15.036407346870423,1.0424737953014374,0.002784,0.004088,0.004094
1.2735,229.68701285146,-44.7592801944,3297.60181,2779.73901,4146.98779,15.91331316268921,0.808008175447464,0.002838,0.005273,0.005957
1.2988,229.63712764106,-44.73536879697,3369.87817,2835.12427,4197.3335,15.807004812503816,1.090386547914505,0.002808,0.006538,0.00473
1.3123,229.66674972126,-44.76782577708,1392.16895,1199.82361,1681.36157,17.347649208156586,1.1829213757095336,0.00309,0.025465,0.009393
1.4236,229.69701228601,-44.74531963045,1763.11487,1714.48621,1798.90576,11.741327417312622,1.3911074450702667,0.002762,0.002934,0.003794
1.4514,229.64219863264,-44.72726324607,4046.09131,3832.51929,4337.23975,13.1835482085495,1.540062108778,0.002766,0.003195,0.003831
1.509,229.66204331595,-44.72094259408,1979.10413,1694.6062,2278.81006,16.204310113819123,0.8403013260173797,0.002854,0.007577,0.005043
1.533,229.69594200802,-44.75728962182,2167.50879,2012.76038,2333.10962,15.159091369304656,0.718599059501648,0.002788,0.004164,0.004595
1.585,229.70052046629,-44.7493928616,966.271301,951.733887,982.477783,11.587470559150695,0.6275516283283233,0.002765,0.002876,0.003801
1.593,229.6298915382,-44.73462801024,346.997406,327.043213,366.515656,17.383034565788268,2.4032749940452574,0.00319,0.028005,0.007568
1.6125,229.62593267885,-44.74367692218,2421.88599,2128.42603,2997.51001,15.811973525985717,0.8595051979179382,0.002827,0.005536,0.004594
1.6747,229.68510539362,-44.76944125114,1916.578,1702.80347,2134.43237,16.105738581321717,0.8927662573986053,0.002858,0.006319,0.0057
1.6919,229.68349635807,-44.72165828072,1026.3678,945.037781,1129.63306,16.339724332149505,1.1157089322395324,0.002876,0.010017,0.005447
1.6998,229.69266725083,-44.76548792061,2787.05884,2333.3833,3491.90479,16.257985450237275,0.8999714591732024,0.00287,0.006749,0.005111
1.7104,229.6698933746,-44.77422443169,1268.24182,1078.25769,1595.73547,17.56240749692917,1.2161079974555968,0.003195,0.028973,0.010423
1.7277,229.62430671105,-44.73904119166,2593.93091,2125.80811,3237.15796,16.179632614391327,0.7741910673847199,0.002873,0.006677,0.006462
1.7506,229.70429649384,-44.74198033539,5310.00293,4804.10205,5964.79199,13.55254141368866,1.4812751290931703,0.002772,0.003135,0.003847
1.7605,229.67145198202,-44.77487780016,1545.9873,1443.71313,1645.34241,15.260703004825592,0.7626953015766145,0.002797,0.004113,0.004292
1.7656,229.62497084881,-44.75667421522,2170.81934,1788.84253,2755.37964,16.57176301361084,0.8472426643695832,0.002924,0.017946,0.007901
1.8211,229.63956314094,-44.72098423526,1560.27649,1463.73621,1653.97034,14.664262549434662,0.8029255708351135,0.002776,0.003483,0.004006
1.8987,229.63836718527,-44.71999906995,4356.04346,3792.02417,4967.26025,14.523133971366882,1.0308674966049194,0.002772,0.003361,0.00398
1.9193,229.70807778021,-44.74094803198,2760.44727,2452.7356,3286.15527,15.633444885902406,0.769190066122055,0.002819,0.004984,0.00453
1.963,229.7068873718,-44.73484451021,7573.54492,5963.95264,9484.75488,16.305125315597532,1.1230001206474305,0.002862,0.008515,0.005589
2.0202,229.68141649071,-44.71486125587,2019.10901,1915.48511,2119.29883,14.298188221466065,1.027627524784088,0.002769,0.003142,0.003865
2.1024,229.68580523592,-44.77736782333,1874.41992,1541.22144,2382.83423,16.834744816356658,0.944470932100296,0.002948,0.009588,0.005967
2.1882,229.62279732459,-44.72395201975,3724.38379,3404.28809,4075.01636,14.01766423651123,1.2494819496803284,0.002769,0.003008,0.003873
2.1946,229.71119093276,-44.73206109841,702.32135,694.300049,710.608398,12.210843923389435,0.6718066339931488,0.002763,0.002884,0.003806
2.1975,229.61257757409,-44.74087907406,2038.33862,1878.15295,2178.48096,15.012902651599884,0.8229325408687591,0.002784,0.004759,0.00415
2.2259,229.6255305759,-44.77145831756,1645.87866,1506.93787,1780.11182,15.687132885364534,0.8089652908935547,0.002816,0.003646,0.004344
2.2444,229.61096713324,-44.74695252908,2647.82666,2439.9126,2857.45825,14.141374252456664,1.0617107552051543,0.002767,0.003149,0.003926
2.2566,229.61727139139,-44.72788964992,263.281708,254.737198,271.696747,17.16790231319809,2.4818832022953035,0.003167,0.046434,0.005313
2.2796,229.67359876885,-44.70874160785,640.868896,621.645996,659.508301,15.23019863344574,1.0088103564014435,0.002791,0.003906,0.004154
2.3262,229.71175258129,-44.7277861252,795.927795,712.95636,926.778198,17.601277321628572,1.6926320847396852,0.003301,0.02587,0.011198
2.3621,229.68967841782,-44.78081867565,4411.28662,3466.92017,5663.54004,15.797300034893034,1.0774365071868897,0.002832,0.00865,0.006172
2.3979,229.71329856893,-44.76484991682,2204.18384,1902.91272,2416.62329,15.375933905075073,0.7288966793498992,0.0028,0.004291,0.004371
2.4016,229.68587933349,-44.70929709631,2148.96899,1900.15491,2360.07471,15.796635277305604,0.8503085760974884,0.002822,0.005726,0.004644
2.4474,229.62146918755,-44.77377904623,3994.62939,3612.39429,4396.50244,14.04602162545395,1.0745838608760834,0.002767,0.003168,0.003945
2.462,229.63309819567,-44.71123339019,1441.41211,1144.77881,1823.32385,17.789146630542756,1.355674991054535,0.003295,0.037834,0.010302
2.4664,229.69133686235,-44.7821575114,2203.97266,1966.52832,2484.20312,15.68932856283951,0.8906126164131165,0.002821,0.005083,0.004554
2.4787,229.68563199353,-44.70782973102,1369.43103,1324.30383,1421.07312,14.31148683506012,0.8322317549304963,0.00277,0.003752,0.004234
2.4845,229.72021616597,-44.73613051198,1787.69385,1614.63721,1982.03833,15.829847235282898,0.6755406871738434,0.002822,0.004987,0.004945
2.4891,229.60558650468,-44.7413849558,1615.94263,1376.71155,1956.78528,16.717849370311736,1.0668389236888884,0.002924,0.012225,0.008069
2.5056,229.67945212954,-44.70585006689,1720.63049,1556.91895,1857.3562,15.30086683782959,0.7777315830860139,0.002798,0.003755,0.004055
2.5099,229.71364622064,-44.72399655491,322.143372,303.020142,342.282288,17.699472814712525,2.4205855014972686,0.00339,0.058573,0.007338
2.5186,229.71933509314,-44.76009036759,1359.10291,1153.11694,1640.08618,17.348008804779052,1.2360215822029115,0.003112,0.016658,0.009134
2.5604,229.60422642808,-44.75251776191,656.612793,650.175293,664.551453,13.03589472114563,0.7378755554122924,0.002772,0.003441,0.003839
2.5608,229.72333840963,-44.75085711352,980.556091,950.935242,1013.72321,14.96343903614807,0.8968559130020142,0.002785,0.004452,0.00418
2.5697,229.70981604957,-44.71854817251,693.488342,677.689514,707.858582,14.890506658691406,1.0021485064849853,0.00278,0.004485,0.004228
2.5895,229.72435698368,-44.7474719071,2789.89478,2350.36865,3415.22876,16.21203843328476,0.8806283641014099,0.002855,0.008118,0.005548
2.6704,229.72309422149,-44.76010523174,3043.78979,2338.67822,3798.91235,16.84282337940979,0.8005750149841309,0.002941,0.010479,0.008452
2.7266,229.66163516379,-44.70064528055,1012.69104,924.255066,1137.24878,16.239428354053498,1.0891157554168702,0.002885,0.007931,0.005231
2.735,229.71592089704,-44.71965826935,1632.66113,1563.04004,1715.24841,14.258872297851562,0.703870009027481,0.002772,0.003262,0.00391
2.7371,229.72555505352,-44.73399208801,6794.19043,5558.9668,8736.89551,15.188165193092345,1.422394111907959,0.002797,0.005067,0.004465
2.7457,229.66569148096,-44.79180591297,1437.85461,1356.6897,1511.86548,14.986124366413117,0.7858013183326722,0.002786,0.003752,0.004092
2.7741,229.62101744571,-44.71111791657,7915.80859,7062.3877,9085.39746,11.887651417900086,1.892042037591934,0.002878,0.004541,0.004317
2.8121,229.6241397955,-44.70852073186,2787.58301,2219.62622,3472.58008,16.56151880139923,0.8379301518573761,0.002915,0.010639,0.006321
2.8877,229.64724495567,-44.69936621688,1852.36621,1766.04089,1947.59851,14.248038907051086,0.8495671850757598,0.002771,0.003019,0.003952
2.9125,229.69970969318,-44.78729676386,1216.51062,1191.45227,1238.83777,12.212147008625031,1.1271950634613037,0.002761,0.002866,0.003797
2.9178,229.7320908426,-44.74645973805,2393.86499,1970.97961,2976.90845,16.63620463023758,0.8953487831611633,0.002901,0.009598,0.005583
2.938,229.60899217905,-44.71620900816,644.784424,640.076599,651.0047,12.576675839981078,0.5030469002056122,0.002765,0.002911,0.003806
2.939,229.68815693048,-44.79184911454,1591.61743,1405.90332,1907.07153,16.470120010177613,0.9364457683238983,0.002897,0.00704,0.006163
2.9415,229.60120728126,-44.76702373286,552.847778,503.284302,604.959045,17.579757534236908,2.3946261055259703,0.003377,0.047208,0.012928
2.968,229.6810120185,-44.79396871613,1660.47974,1339.36877,2071.81543,17.30772049408722,0.9986660735797883,0.003091,0.016765,0.010351
2.9724,229.64138069,-44.79302386205,3305.33301,2979.9397,3762.95142,14.495972676509858,1.1943219601020814,0.002775,0.004322,0.003958
2.9749,229.7323654321,-44.73745584643,1263.40625,1159.16492,1378.9176,16.202996533069612,0.923763403968811,0.002856,0.006835,0.004893
3.1114,229.64391249869,-44.79600065469,1795.6842,1679.09766,1920.13232,14.78093484363556,0.63841695561409,0.002783,0.003525,0.004028
3.1151,229.60764558393,-44.77947122928,1131.51758,1066.00159,1214.42786,15.508595186954498,0.9684106642570496,0.002831,0.004043,0.004617
3.1592,229.6863081526,-44.69594293088,2140.70215,1937.31628,2446.94458,15.71617195425415,0.7209843552780151,0.002822,0.00495,0.00466
3.1708,229.59859135141,-44.72040533441,1030.11926,914.748779,1177.29431,16.788675970989228,1.3881903124694823,0.002969,0.016323,0.006034
3.176,229.703681462,-44.79071111995,1136.02161,1104.8667,1163.1366,14.15039089012146,0.6572884952297211,0.002767,0.003031,0.003919
3.1802,229.66540336079,-44.79905610784,2164.88086,1768.20007,2493.62769,16.377795894565583,0.7519043964233398,0.002856,0.007928,0.005656
3.1813,229.58972901499,-44.75363909188,509.399353,479.756653,544.215027,16.88726527508545,1.6287039086608888,0.003,0.020193,0.006463
3.1866,229.65111683438,-44.69370585136,1311.79517,1164.79041,1513.54553,16.765020208702087,1.1401215149459838,0.002932,0.013096,0.005741
3.2154,229.60426792617,-44.71299412438,1643.69873,1537.6748,1782.51343,15.114898866615295,0.7939394186553954,0.002796,0.004978,0.004448
3.2207,229.61447441579,-44.78685746358,1134.91541,1093.74219,1178.77698,14.59145879755783,0.6479020336837769,0.002825,0.004145,0.004126
3.2821,229.71778844906,-44.78496792929,1776.25,1728.37866,1823.69458,12.121299970230103,1.098376930036545,0.00276,0.002879,0.003787
3.298,229.7404447319,-44.73943410043,1118.62268,1074.02332,1165.93848,14.7552858724823,0.7513188671684266,0.002773,0.003399,0.004031
3.308,229.61538557229,-44.70287937662,2222.20898,1831.04333,2710.15991,16.81595732029724,0.8481404124412537,0.003007,0.010576,0.007504
3.3356,229.70802908978,-44.79185655968,2428.04761,2222.5542,2720.26562,15.319588442554474,0.8451071258296967,0.002794,0.00346,0.004019
3.3521,229.728050342,-44.77813921041,6463.61768,5331.14795,8283.82324,14.850276769794464,1.2087039469184875,0.002797,0.004062,0.004106
3.358,229.6650116478,-44.69011015605,1891.7218,1817.39417,1962.35193,13.568330981407165,1.170688720375061,0.002765,0.003147,0.003863
