Date,JD,averagemag
2014-10-20 20:29:22,2456951.35373,untrusted
2014-10-20 22:15:56,2456951.42773,untrusted
2015-02-25 20:52:07,2457079.36953,null
2015-02-25 22:38:18,2457079.44326,null
2015-03-19 14:54:50,2457101.12141,17.69
2015-03-19 16:41:25,2457101.19543,17.68
2015-04-18 04:26:56,2457130.68537,null
2015-10-04 05:39:58,2457299.73609,17.70
2015-10-31 09:37:52,2457326.90130,17.72
2015-10-31 11:24:26,2457326.97530,17.71
2016-03-06 22:01:45,2457454.41788,17.79
2016-04-02 15:54:06,2457481.16257,17.78
2016-04-02 17:40:41,2457481.23659,17.77
2016-04-27 15:49:45,2457506.15955,17.75
2016-04-27 17:36:20,2457506.23356,17.80
2016-09-18 23:10:44,2457650.46579,null
2016-09-19 00:57:29,2457650.53992,null
2016-10-18 06:35:29,2457679.77464,null
2016-11-09 10:46:05,2457701.94867,null
2017-03-17 06:35:18,2457829.77451,null
2017-03-17 08:22:03,2457829.84865,null
2017-04-17 14:01:59,2457861.08471,null
2017-05-07 14:06:35,2457881.08791,null
2017-11-02 20:54:24,2458060.37111,17.72
2017-11-03 01:08:03,2458060.54726,17.73
2017-11-18 01:13:47,2458075.55124,17.75
2017-11-18 03:00:21,2458075.62524,17.71
2018-03-28 01:46:51,2458205.57420,17.78
2018-05-03 01:14:21,2458241.55163,17.77
2018-05-03 03:00:56,2458241.62565,17.76
2018-05-16 09:09:41,2458254.88172,17.71
2018-05-16 13:23:23,2458255.05791,untrusted
2018-08-22 03:26:09,2458352.64316,17.71
2018-08-22 05:12:48,2458352.71722,null
2018-09-03 21:32:03,2458365.39726,null
2018-09-03 23:18:38,2458365.47127,untrusted
2018-09-04 03:32:31,2458365.64758,null
2018-10-10 10:35:52,2458401.94157,17.76
2019-02-17 10:59:19,2458531.95786,17.70
2019-02-17 15:13:00,2458532.13403,17.67
2019-02-17 16:59:35,2458532.20804,17.70
2019-03-04 03:22:18,2458546.64049,17.74
2019-03-04 05:08:53,2458546.71450,17.70
2019-04-07 20:58:14,2458581.37377,17.61
2019-08-22 08:41:15,2458717.86198,17.64
2019-08-22 10:27:48,2458717.93597,17.60
2019-08-22 14:41:27,2458718.11212,17.63
2019-08-22 16:28:01,2458718.18612,17.62
2019-09-07 09:01:32,2458733.87606,17.69
2019-09-07 10:48:06,2458733.95007,17.65
2019-10-12 00:16:52,2458768.51171,17.68
2020-02-27 01:29:49,2458906.56237,17.64
2020-02-27 03:16:24,2458906.63639,17.64
2020-03-17 14:08:05,2458926.08895,17.60
2020-04-17 21:35:57,2458957.39997,17.62
2020-08-22 09:24:03,2459083.89170,17.52
2020-08-22 11:10:37,2459083.96571,17.56
2020-09-04 21:29:42,2459097.39563,17.51
2020-09-04 23:16:15,2459097.46962,untrusted
2020-10-10 22:34:38,2459133.44072,17.48
2021-02-17 16:57:50,2459263.20683,17.37
2021-02-17 21:11:32,2459263.38301,17.38
2021-03-05 03:20:31,2459278.63925,17.37
2021-03-05 05:07:24,2459278.71347,null
2021-04-08 04:43:33,2459312.69691,17.38
2021-04-08 08:57:14,2459312.87308,17.40
2021-08-31 06:12:28,2459457.75866,17.28
2021-09-20 10:24:58,2459477.93400,17.26
2021-09-20 12:11:32,2459478.00801,17.28
2021-10-21 15:56:48,2459509.16444,17.34
2021-10-21 17:43:22,2459509.23845,17.28

