_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0015,282.05562879154,-9.14395586934,5678.61963,3917.60425,7952.0293,14.691466351867675,2.282887403907776,0.004066,0.081642,0.011092
0.1096,282.05705516701,-9.14508326129,8592.59863,6753.23438,10904.623,13.073937612594605,0.9977447631454468,0.002862,0.012353,0.004268
0.1122,282.05478682523,-9.14561565449,4467.16992,3686.47949,5854.1709,14.136290636398314,1.599807473678589,0.002893,0.006615,0.004788
0.2095,282.05760839018,-9.14681906857,1883.16455,1636.33044,2249.31445,15.507358030937194,0.9128620499343871,0.002909,0.010738,0.004833
0.27,282.05131268151,-9.14541388039,9396.71094,7536.44336,12126.0488,14.112618018234254,1.3475269678421022,0.002882,0.008913,0.00421
0.3071,282.05437118922,-9.14890204863,4308.0249,3473.09692,5564.72754,14.098669570617677,1.3132008778762816,0.002882,0.010101,0.004415
0.5271,282.06405483902,-9.14671981081,4290.85254,3663.46606,4929.46973,13.666621387298584,1.9987359456787108,0.002886,0.011712,0.00396
0.5328,282.06357436979,-9.14807133845,1367.59167,1237.44373,1526.86194,15.514429933128358,0.9069949782752991,0.002901,0.008254,0.007209
0.553,282.04872819236,-9.15015489374,2448.02393,1892.28821,3037.29834,16.333086015960692,1.0631984307861329,0.003135,0.016506,0.008664
0.5593,282.06209804953,-9.13715658643,5476.70459,4352.12354,7060.49316,11.796765393005371,2.4269352817840577,0.002894,0.009396,0.004258
0.6481,282.06500850343,-9.13839371457,673.413696,662.990784,683.049988,12.613699126571655,0.7334780855255127,0.002768,0.00346,0.003875
0.6945,282.04950970874,-9.13405340667,1307.07178,1241.63037,1370.97131,13.941992116989136,0.9758786026153565,0.002783,0.003645,0.004018
0.7787,282.04761243641,-9.15422834353,4574.55469,4139.51758,5066.64697,11.95374616670227,1.7185100631332397,0.002842,0.005098,0.003969
0.7901,282.04569241937,-9.13513610552,3507.84082,2947.33301,4060.20093,14.20060304977417,1.7151133435516357,0.002911,0.008828,0.006239
0.8732,282.04978144593,-9.13057002966,1320.5282,1268.98987,1387.34302,13.82199772415924,1.2055642848815917,0.002798,0.00368,0.004596
1.1036,282.04192054249,-9.15640377115,2147.94312,1778.91638,2604.67505,16.004013014755248,0.9355664838294984,0.003086,0.010396,0.009353
1.1163,282.04013944991,-9.15454733978,2674.99048,2311.35425,3109.73242,14.237424913589479,0.5955835666542053,0.002839,0.005695,0.004279
1.1219,282.07373986534,-9.13850393199,3884.26929,3263.1521,4679.93066,13.969541706420898,1.9083107022323609,0.00288,0.013738,0.005427
1.1898,282.0752562627,-9.13978124187,2223.01123,1878.21716,2782.36841,15.746561603477478,1.1343943908615113,0.003074,0.014924,0.006443
1.2145,282.05176465812,-9.12405327354,4809.45557,3732.55176,5966.69629,13.278719866256715,0.767145956550598,0.002878,0.007008,0.004621
1.28,282.06558088666,-9.12500504836,2071.51025,1800.96118,2431.64673,15.2862778746109,0.740931966506958,0.002885,0.016147,0.00512
1.2829,282.04862204898,-9.12369873559,1510.83386,1232.36841,1948.09387,17.046191126983643,1.0219141725349425,0.00367,0.027257,0.014288
1.3111,282.04128097452,-9.12728655809,1351.55994,1216.56396,1554.96021,15.923486171546937,0.9501660974845887,0.002988,0.010608,0.006919
1.3417,282.03304619946,-9.14207209933,6889.07227,5474.81689,8472.0459,13.632980018234253,1.4625729678421022,0.00284,0.006766,0.004611
1.3563,282.04575007377,-9.16433307118,3495.72583,2979.37109,4518.4917,13.978380125717162,1.1158072777023316,0.002852,0.005719,0.004274
1.403,282.03339458544,-9.13584355412,459.845978,453.678802,465.563873,14.106864337181092,1.1147658743171691,0.002906,0.004267,0.0046
1.4041,282.06708689499,-9.16441345331,6881.60254,5405.5752,8659.25977,13.422444233917236,0.7834161595687865,0.002913,0.014921,0.006133
1.4113,282.07283662032,-9.16019053051,1174.97534,1002.66034,1420.9978,16.91342597024536,1.6214160020980835,0.00413,0.048999,0.022142
1.4149,282.07646634283,-9.13242875857,1621.63745,1268.703,2015.98816,17.26650576636505,1.0467578569221496,0.003899,0.035245,0.011644
1.4558,282.05446798218,-9.11969700721,878.07196,850.93396,907.608093,14.394807708694458,0.9840927151184082,0.002857,0.008731,0.00699
1.4627,282.03873689389,-9.16172786416,1863.76562,1634.8866,2068.59741,15.361841284492492,1.0235019914169312,0.002884,0.008353,0.005588
1.4759,282.03075728463,-9.1455882186,1808.29675,1448.2262,2254.37329,16.33150381275177,0.9339304633903502,0.003176,0.028469,0.00787
1.4766,282.06698969225,-9.16583291966,2507.79028,2224.03687,2877.13843,14.846680617355346,0.9003024127616883,0.0029,0.007236,0.005596
1.4939,282.05556913023,-9.16883245423,328.339783,318.030121,339.796539,16.1857859633255,2.1212821769866945,0.003159,0.023049,0.009329
1.5496,282.07181948928,-9.16421100384,1808.81506,1650.5658,1990.25159,14.865854030937196,0.7464760499343872,0.002852,0.00551,0.006422
1.598,282.07301347677,-9.16428985248,855.748657,784.184814,942.01532,16.391431126571657,1.1648530855255126,0.00314,0.019284,0.009514
1.6165,282.07721054181,-9.12746167629,1649.02283,1500.39551,1820.04602,15.048399710006713,0.9350475037994386,0.002861,0.007855,0.004467
