Date,JD,averagemag
2014-10-29 07:31:04,2456959.81324,15.78
2014-12-02 11:22:59,2456993.97429,untrusted
2014-12-02 13:09:33,2456994.04830,untrusted
2014-12-22 19:18:09,2457014.30427,untrusted
2014-12-22 23:31:50,2457014.48044,untrusted
2014-12-23 01:18:24,2457014.55444,untrusted
2015-02-20 05:24:13,2457073.72515,15.75
2015-02-20 07:10:47,2457073.79916,15.75
2015-02-20 11:24:26,2457073.97530,15.76
2015-02-20 13:11:00,2457074.04931,15.74
2015-03-09 13:19:39,2457091.05531,15.73
2015-03-09 17:33:19,2457091.23147,15.76
2015-03-09 19:19:52,2457091.30546,15.75
2015-04-16 18:50:22,2457129.28498,15.70
2015-05-22 16:20:44,2457165.18106,15.75
2015-05-22 18:07:18,2457165.25507,15.70
2015-06-09 22:22:09,2457183.43205,15.81
2015-06-10 00:08:43,2457183.50605,15.78
2015-09-17 03:10:02,2457282.63197,15.77
2015-10-06 13:25:55,2457302.05966,15.80
2015-10-06 15:12:30,2457302.13368,15.79
2015-11-09 12:54:31,2457336.03786,15.79
2015-12-19 12:31:28,2457376.02185,15.78
2015-12-19 14:18:03,2457376.09587,15.77
2015-12-19 20:18:18,2457376.34604,15.78
2016-01-02 08:28:37,2457389.85321,15.76
2016-01-02 12:42:17,2457390.02936,15.78
2016-01-02 14:28:51,2457390.10337,untrusted
2016-01-02 18:42:32,2457390.27954,15.79
2016-01-02 20:29:06,2457390.35354,15.78
2016-03-02 06:33:58,2457449.77359,15.79
2016-03-02 08:20:32,2457449.84759,15.78
2016-03-25 00:36:57,2457472.52566,15.75
2016-03-25 02:23:31,2457472.59966,15.79
2016-04-27 06:11:34,2457505.75803,null
2016-04-27 07:57:57,2457505.83191,15.78
2016-06-05 01:02:34,2457544.54345,null
2016-06-05 05:16:18,2457544.71965,null
2016-06-19 05:21:43,2457558.72341,null
2016-06-19 07:07:53,2457558.79714,null
2016-09-26 16:14:21,2457658.17663,null
2016-09-26 20:28:07,2457658.35286,null
2016-11-19 15:51:27,2457712.16073,null
2016-11-19 20:05:13,2457712.33696,null
2017-03-13 15:06:19,2457826.12939,null
2017-03-13 16:53:04,2457826.20352,null
2017-04-09 08:59:35,2457852.87471,null
2017-05-08 14:40:55,2457882.11175,null
2017-06-19 13:34:19,2457924.06550,null
2017-06-19 15:20:29,2457924.13922,null
2017-06-29 07:40:27,2457933.81976,null
2017-06-29 09:27:12,2457933.89389,null
2017-08-18 13:43:20,2457984.07176,null
2017-08-18 17:57:05,2457984.24797,null
2017-08-18 19:43:50,2457984.32211,null
2017-08-25 00:02:52,2457990.50199,null
2017-08-25 01:49:02,2457990.57572,null
2017-08-25 06:02:48,2457990.75194,null
2017-08-25 07:49:33,2457990.82608,null
2017-10-07 12:43:10,2458034.02998,null
2017-11-02 22:46:43,2458060.44911,15.75
