_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.001,116.61823159423,-21.87555633518,6462.53955,5350.3584,8154.11133,14.067748068511962,1.353884799976349,0.0028,0.0055,0.003913
0.2858,116.6141624557,-21.87845288541,502.190735,439.925262,586.127014,19.137052000543594,2.85345900156641,0.003924,0.089783,0.01226
0.2882,116.6222811061,-21.87857450092,2690.64136,2403.65527,3079.19629,15.53929157262802,0.7832013217849731,0.00279,0.003668,0.004459
0.3398,116.6121802077,-21.87495224441,1546.45312,1467.90381,1622.42139,15.575022258176803,0.6837958742170334,0.002783,0.003603,0.004149
0.3927,116.62500847798,-21.8737041393,863.765625,844.858521,879.80011,14.955907572595596,0.8429619666490554,0.002768,0.003359,0.003877
0.4671,116.61004701492,-21.87391724813,5942.05371,5294.36133,6682.74219,12.939141308837891,1.2371326191635132,0.002771,0.003838,0.003843
0.6023,116.61402122991,-21.86632586398,2135.35327,1931.44421,2485.33545,16.110908012750624,0.8565450245857238,0.002835,0.007152,0.004732
0.6023,116.62878457691,-21.87783286476,1142.63184,948.244019,1375.49927,17.876818009217263,1.9806070032281875,0.00309,0.024958,0.007487
0.6344,116.61025067634,-21.88309826901,7104.02051,5524.90869,9065.92676,15.044495107345583,1.049820074043274,0.002831,0.007778,0.004674
0.6386,116.62961043243,-21.87412576409,7870.40967,6112.41504,10023.2334,15.259892107345582,0.01150107404327394,0.002844,0.007141,0.005961
0.6396,116.60682890412,-21.87439452543,2269.25415,2009.83899,2591.26611,16.188203012750627,0.843050024585724,0.00282,0.005686,0.004976
0.7862,116.63078987082,-21.86954928007,2383.79688,2062.7998,2733.74121,16.602096012750625,1.0140120245857238,0.002862,0.007089,0.005677
0.8274,116.61822208381,-21.88935583085,543.372375,539.244751,547.341919,13.578556001223088,0.8336680016617775,0.002842,0.003463,0.004211
0.8707,116.63250401004,-21.881529262,1092.4989,1076.99219,1113.5022,12.867558009217262,0.34420200322818756,0.002783,0.002899,0.003822
0.8965,116.62284806655,-21.86124717624,2375.05225,2287.73022,2469.48022,13.274705012750626,1.166026024585724,0.002761,0.003041,0.003807
0.9386,116.62999384805,-21.88678480077,3717.66333,3248.53906,4349.59619,15.27620271931839,0.5074885313682557,0.002784,0.003857,0.004148
0.9724,116.6322443043,-21.86587498164,1712.64441,1427.52014,2141.41919,17.312503977367403,1.0954775492429734,0.002946,0.00962,0.007311
0.9844,116.61554096535,-21.85935240726,2408.08667,2215.13257,2604.34937,15.551757012750624,0.7168930245857239,0.002793,0.004906,0.004237
1.0047,116.60614423936,-21.8631460579,3225.33911,2625.17358,4048.3833,16.60966383045578,0.6242966655216217,0.002864,0.006041,0.006457
1.032,116.63122587993,-21.88784583809,1986.20337,1687.66162,2378.06152,16.814137877731323,0.9338722075233459,0.0029,0.008473,0.006099
1.0935,116.61783748604,-21.85734430816,4097.85107,3230.52319,5203.7876,16.05327048777771,0.4951941570606232,0.002822,0.005285,0.004998
1.1384,116.63814401019,-21.87120190577,2622.42383,2094.07104,3288.48169,17.347296707561494,0.7426297885951996,0.003001,0.014356,0.015991
1.2151,116.61450785124,-21.89551755467,1897.0376,1804.16895,2000.30212,15.027425167358398,0.7669074214076996,0.002772,0.003876,0.005119
1.2529,116.60148904418,-21.88950200491,1275.11389,1201.61047,1369.08093,15.911247770571709,0.9078470953102111,0.002814,0.004309,0.004571
1.2616,116.59805353236,-21.88510580924,3017.57593,2677.43726,3371.56274,15.334468987686158,0.581428695898056,0.00278,0.003558,0.004016
1.2993,116.59495967204,-21.87695672695,1135.22986,1114.78064,1156.31958,13.889362009217262,0.6093820032281876,0.002764,0.002856,0.00383
1.3016,116.60615472212,-21.8941322452,1894.16858,1562.09949,2449.78369,17.42234494333458,1.0859171375226975,0.002934,0.013607,0.008061
