_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0019,288.04420437083,-3.19483247479,5269.18945,3697.1228,7140.81104,15.340990966735841,2.7285670264930726,0.007079,0.048782,0.017767
0.4533,288.04022318659,-3.18843368919,1934.68018,1568.698,2489.71753,15.674819846229553,0.9585828759002686,0.002916,0.00738,0.004638
0.5466,288.03992482631,-3.2029148065,1557.44116,1278.25159,1981.9906,16.442479983787536,1.1499760019073486,0.003165,0.016469,0.00897
0.7293,288.03487551977,-3.20268287807,2072.80835,1634.84705,2632.05029,16.52270096482849,1.0093662065162659,0.003205,0.017397,0.009472
0.7542,288.05667736858,-3.19650803526,1550.78235,1511.07068,1597.91016,12.700852983787536,1.2071980019073487,0.002771,0.003498,0.003832
1.0901,288.02601021921,-3.19549998608,1815.65381,1576.59082,2032.77368,15.709740042304993,0.8946870136756897,0.002905,0.009569,0.006169
1.1221,288.05748552471,-3.20804262622,1000.19049,902.979187,1120.07861,15.742858767845153,1.1368030851478577,0.002899,0.013425,0.005807
1.2303,288.05358423574,-3.21310131113,1694.73975,1408.30347,2117.85327,16.410437983787535,0.9430020019073486,0.003171,0.014873,0.007461
1.3148,288.05475492246,-3.21407491609,4382.2915,3823.46948,5237.33057,13.769944001678466,1.4043869546432495,0.002811,0.00802,0.00429
1.3596,288.04243454184,-3.21745560877,1696.57446,1547.88,1873.16614,14.949885983787535,0.9123910019073487,0.002853,0.007126,0.004663
1.3813,288.03223966403,-3.17517882145,1383.17725,1189.05725,1659.81226,16.105368042304992,1.1037380136756898,0.003014,0.011093,0.007073
1.4213,288.03081285475,-3.17530515099,1275.40161,1131.2478,1421.72363,15.982999487586977,0.9856980733337402,0.002946,0.008427,0.010614
1.494,288.02800644206,-3.17592491902,2785.03003,2316.08057,3436.43677,15.31201145652771,0.6978819331169128,0.002865,0.012405,0.004594
1.6825,288.05199353667,-3.22180358676,972.040283,946.42041,995.343262,13.281847523391724,0.7253840475578308,0.002776,0.003641,0.003994
1.7519,288.06733808753,-3.21271481486,2469.81787,2092.38818,3094.93408,15.488484991645812,0.870739049648285,0.002919,0.011341,0.005822
1.815,288.06642571856,-3.21541743463,1508.18311,1385.00439,1651.5282,15.040306983787538,1.0817810019073486,0.002828,0.008668,0.004979
1.9471,288.0615972386,-3.16745511512,2466.59009,1869.42395,3088.0542,16.480107077941895,0.9912514806404114,0.003191,0.01855,0.008462
1.9512,288.07168194819,-3.1774158336,1228.51025,1080.4917,1422.62195,16.294442079421998,1.1078540374984742,0.003007,0.018111,0.011201
1.9578,288.07678527055,-3.19731592586,2072.8772,1709.68677,2696.80371,16.191235302085875,0.9541234579124451,0.003,0.012414,0.007199
2.1191,288.07953671954,-3.19332799386,5875.30859,4577.0459,7362.63623,14.805883966735841,1.2719160264930727,0.002853,0.010862,0.004436
2.1437,288.06309741485,-3.16452638789,4898.98682,4184.30713,5972.43115,13.725326025253295,1.1525620382614137,0.002822,0.006134,0.004264
2.1461,288.05531038108,-3.16086111834,1409.95679,1345.95776,1493.0719,14.301607042304992,0.8394310136756897,0.002787,0.00442,0.003999
2.1475,288.07969680186,-3.18989253904,1651.47351,1485.00708,1829.43628,15.114655983787536,0.8000690019073486,0.002869,0.006734,0.00536
2.1599,288.01313250988,-3.21313833303,1822.604,1750.302,1918.91638,13.734031644546508,0.6947229929351806,0.00279,0.003527,0.00389
2.1964,288.0091649777,-3.20566481467,1103.83069,980.990723,1251.47253,16.282632058021544,1.0734800495529175,0.003133,0.017281,0.007397
2.2473,288.03671792255,-3.23156696392,1428.55042,1332.73926,1558.7439,15.155505983787538,0.8886990019073486,0.002866,0.008831,0.004722
2.2592,288.0136429293,-3.21693471847,4457.95068,3694.4563,5420.90723,14.09165301171112,1.0593990384521483,0.002835,0.004959,0.004217
2.2661,288.01816774348,-3.16745866305,876.419067,833.83728,924.061768,14.690663079421997,0.9429680374984741,0.002868,0.005258,0.004448
2.2985,288.04598492814,-3.23313043192,852.626587,657.259644,1083.172,17.513896050163268,2.063315001811981,0.004467,0.096183,0.014499
2.2991,288.00852574736,-3.18072922011,1507.46851,1334.16309,1759.90503,15.753990028762818,0.9289300138664245,0.002928,0.007105,0.005263
2.2998,288.03207909051,-3.15849295519,1144.86072,1058.48389,1238.46191,15.756753079421998,1.129411037498474,0.002933,0.009226,0.004984
2.3787,288.0218555935,-3.22763874031,2081.89282,1693.25085,2702.67139,15.95535599950409,0.8246730377845763,0.003712,0.023537,0.026379
2.3974,288.0491938162,-3.1552206669,1162.76746,1026.20764,1319.56775,16.503705079421998,1.262346037498474,0.003183,0.035785,0.006306
2.4033,288.01083891464,-3.21711662716,9045.1543,7709.04834,10188.1055,18.3984400566864,0.8410190504112243,0.008705,0.18017,0.067623
2.4178,288.06798734246,-3.16231259663,1438.44055,1362.54944,1521.49927,14.525439042304992,0.8887810136756897,0.002803,0.004805,0.004072
2.4261,288.04792054826,-3.15459964872,2899.61426,2463.02026,3557.35938,15.148907350494383,0.8222309107551575,0.002855,0.00721,0.004462
2.4281,288.00885089984,-3.21466915517,1488.24988,1251.50671,1899.65955,16.260552073738097,1.2207700258255005,0.003118,0.018212,0.008835
2.4292,288.04438178973,-3.15437786307,5658.85547,4638.52979,6968.03564,13.927266033111572,1.15610008600235,0.002799,0.005273,0.004141
2.4299,288.08322047232,-3.1838189684,785.686584,671.794861,937.029297,17.346241710281372,1.607908210697174,0.003716,0.106034,0.033962
2.4442,288.02535015912,-3.15873395165,731.988525,695.018799,771.097046,15.754123437835695,1.1812547493743897,0.002894,0.012332,0.004679
2.4539,288.08515178586,-3.19558540214,1416.00623,1366.48279,1460.45935,13.094836048080444,0.6406889155311584,0.002772,0.003057,0.004043
2.465,288.02919672383,-3.15660705904,1480.75134,1221.95691,1886.03723,16.535507042304992,1.0267600136756896,0.003149,0.02199,0.013586
2.4921,288.05722118611,-3.15541718955,1454.47363,1244.52698,1788.47705,16.442816042304994,1.1255180136756897,0.003346,0.019276,0.00919
2.5114,288.02754735494,-3.15644915218,9001.96094,7184.02588,11196.3193,13.644555033111573,1.1791920860023497,0.002987,0.031603,0.013722
2.5402,288.07305082496,-3.1638427596,9511.19629,7930.51367,11183.7402,12.959629033111572,2.5338010860023497,0.004021,0.022833,0.008067
2.5564,288.01363625559,-3.22460259463,3550.45874,3035.92749,4361.63379,14.208249136810302,0.3570450859146119,0.002886,0.005702,0.0093
2.5977,288.07446257353,-3.16386050631,1145.98987,1110.52173,1186.25195,13.676804079421997,0.839767037498474,0.002781,0.003575,0.003958
2.6105,288.03210538389,-3.23666350646,2182.46997,1966.78455,2456.9353,14.65376819495392,1.0948935692749024,0.002816,0.005724,0.004174
2.6107,288.08774588473,-3.19649809924,3220.60889,3023.11841,3471.38843,11.109207308174133,1.9447292077484133,0.002825,0.003874,0.003966
2.636,288.00889819433,-3.22109468203,1615.27417,1440.06616,1852.28943,15.506425517578126,0.906997184223175,0.002881,0.009507,0.005572
2.6724,288.08654268413,-3.18085742217,3142.5271,2735.28955,3619.93481,13.76691147530365,1.2335565233039856,0.002797,0.00691,0.003961
2.6825,288.07262278986,-3.16032137533,1776.07117,1590.17322,2234.64648,15.776750042304993,0.8901860136756896,0.002933,0.009675,0.005064
2.6929,288.05341041068,-3.15093482389,1193.13977,1124.12354,1268.86682,15.001138079421999,0.9543010374984742,0.002873,0.00455,0.005013
2.6941,287.99941345645,-3.19075026341,2863.52612,2344.93579,3635.71338,15.62836107698822,0.8524050152282714,0.002923,0.008998,0.00527
2.7336,288.08920630843,-3.18737728843,2005.04407,1731.11377,2380.83081,15.696189227531434,0.947807474357605,0.002988,0.03589,0.01709
2.7349,288.02123716487,-3.15546684995,1088.41272,822.86676,1318.41846,17.844901079421998,1.3328830374984741,0.004183,0.036937,0.029129
2.7499,288.00919350083,-3.22451515859,2883.21484,2733.65991,3043.10254,12.46180594152069,1.1851207274780273,0.002777,0.003051,0.003819
2.7673,288.09006783406,-3.18942217017,1189.43994,998.455688,1482.77844,17.406275013046265,1.1103520375938416,0.003622,0.032236,0.011127
2.7945,288.0894598359,-3.20612360576,1642.60229,1523.6333,1784.80383,14.68263397592926,1.1396810137710571,0.002809,0.00507,0.004053
2.8346,288.06731804956,-3.23608300517,1341.82922,1240.02942,1436.78076,14.948979983787538,0.8346760019073487,0.002858,0.010828,0.008006
2.8457,288.03985253006,-3.14763429288,1393.78748,1191.79077,1629.45801,16.096998042304993,0.9972930136756897,0.002973,0.01684,0.006253
2.8578,287.99669727908,-3.1904541248,1577.56299,1422.3407,1714.74463,15.102010028762816,0.9967180138664247,0.002868,0.01041,0.005177
2.8604,288.08005166753,-3.22634674484,458.716125,413.054474,519.33136,18.036662101898195,2.40715020230484,0.004186,0.070302,0.013902
2.8655,287.99863415273,-3.20940250923,314.59494,312.084229,316.642914,12.88428675056839,0.8391712115154266,0.002764,0.003031,0.003813
2.8721,288.01347284791,-3.2316109203,205.637863,198.601273,214.487915,18.05066740612602,0.06346980207824707,0.003834,0.019373,0.019737
2.8871,288.04281841763,-3.14676453158,2175.20532,2000.49194,2391.62183,14.250777897766113,1.1484824720573426,0.002794,0.004278,0.004067
2.9024,288.03384940627,-3.24212175617,2901.59521,2532.39478,3403.5332,15.035103153297424,0.8437891135101319,0.002847,0.008754,0.004869
2.9032,288.06274231763,-3.15016048424,1878.5155,1530.04919,2422.72632,16.267473042304992,0.9808310136756897,0.003021,0.01763,0.007583
2.9165,287.99687667587,-3.18344126648,1399.22937,1182.62793,1785.61829,16.507606667564392,0.9135126862144469,0.003154,0.025116,0.006676
2.9394,288.00082728326,-3.17195357319,126.782585,126.104012,127.419594,15.913708000543595,2.73490900156641,0.002879,0.008265,0.004173
