_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0008,271.2302980622,-16.49346662619,7864.86816,5721.35498,10964.6191,12.738895816436766,1.6294509102401733,0.002916,0.034916,0.004327
0.2105,271.22704968372,-16.49510791139,1158.49475,1128.51538,1182.99426,12.548742109733581,0.5168024351425171,0.002768,0.003191,0.003894
0.2255,271.22684668054,-16.49167306631,3991.1665,3304.42651,4880.26953,11.97422975956726,1.3438297759170532,0.002834,0.011351,0.004045
0.2699,271.22596538983,-16.4952243622,995.87262,910.846741,1071.37439,15.475557725128173,0.9787624113845825,0.003002,0.010647,0.005517
0.4037,271.22483272591,-16.48924247875,767.729065,754.328613,781.61322,11.786225992370605,0.5437451412391663,0.002767,0.003196,0.003827
0.6347,271.22795383998,-16.50381369494,339.202698,280.248077,440.968811,19.423102926254273,2.607373925971985,0.008623,0.135913,0.200543
0.6738,271.23277311901,-16.50444891461,1098.55322,1023.47009,1193.31384,15.37557924864197,1.2080340347099303,0.002864,0.008778,0.004985
0.8551,271.22633758109,-16.50721320071,4655.64648,3586.81055,5843.72168,13.197508890670775,1.2384939578857423,0.002944,0.023717,0.006015
0.9891,271.23258488513,-16.47713749276,3139.08594,2620.32715,3848.82715,12.441915203323365,1.1116141247406004,0.002922,0.012349,0.01502
1.0927,271.23505402456,-16.47584508679,2007.36523,1728.54395,2362.10156,13.181034732742308,0.2568409264221192,0.002863,0.00783,0.004842
1.1747,271.24994353785,-16.49877712169,3149.39526,2643.56372,3885.58691,13.158593203323363,1.1637761247406004,0.002916,0.013957,0.004704
1.2206,271.23724364595,-16.51269268235,2941.09741,2594.61743,3562.59473,12.36866039555359,0.8615935184173584,0.002856,0.007427,0.00406
1.2257,271.25024090086,-16.48631599053,4034.57227,3474.23511,5003.07324,11.936183839355468,1.271450058609009,0.002816,0.007065,0.004002
1.2966,271.24179646818,-16.5120548024,1668.2262,1462.21716,1931.724,14.310384049667359,0.5799290395965577,0.002894,0.009673,0.006626
1.3162,271.25292402471,-16.49030202722,2340.53491,2095.40991,2563.02539,11.685834271972656,0.8955431158218383,0.002815,0.005451,0.003874
1.3574,271.21949620324,-16.51359307429,3707.41553,3133.67017,4581.22754,12.031878948776246,1.915741934928894,0.00286,0.014869,0.004298
1.4216,271.20936035594,-16.50607590465,1272.79346,1144.53613,1452.78418,14.86868543245697,0.6392227223205567,0.002919,0.00915,0.008724
1.4896,271.25277304853,-16.48116691377,10939.5469,8718.42383,14144.8516,16.406982816436766,0.1529869102401733,0.007289,0.177617,0.056257
1.5225,271.2159386297,-16.47215294196,1902.68518,1699.43396,2145.96606,13.768770860778808,0.8424317194976805,0.003251,0.013588,0.007243
1.5622,271.21607431869,-16.51566028192,1593.22168,1385.5614,1866.5249,14.813703781204225,0.48985703032684325,0.00292,0.015298,0.005659
1.6484,271.22468254573,-16.46653255928,283.758331,281.90509,285.74173,13.106365522907257,1.087163535943985,0.002815,0.003686,0.00416
1.7652,271.25989490309,-16.48575627222,1624.89246,1576.29712,1678.85657,10.720229049667358,1.5620110395965576,0.002812,0.003451,0.003887
1.7695,271.21360165408,-16.4686996905,650.528748,632.733704,671.719482,14.644681708839416,0.9925289138793945,0.002801,0.005647,0.004304
1.7728,271.25816196744,-16.48088186847,3363.58032,2937.86035,3980.84985,11.321906129089356,1.642822077095032,0.002824,0.008255,0.003882
1.7729,271.20408090533,-16.50902248175,1214.15112,1188.00122,1238.99304,11.575022414535523,1.1421436421852111,0.002769,0.002948,0.003894
1.8116,271.19888792864,-16.49118657027,1734.40979,1483.0907,2046.98828,15.100829029922487,1.1315435691833495,0.002974,0.018892,0.006349
1.8375,271.21802035691,-16.52175149862,2876.4729,2553.94604,3385.88428,12.380398195465087,1.035068136604309,0.002844,0.008206,0.00437
1.8872,271.25703390796,-16.51168442991,1222.08936,1147.4563,1305.40491,14.311568240623474,0.6013633441123962,0.002818,0.005855,0.004285
1.8925,271.19843611833,-16.50136059117,319.189087,317.73111,321.334442,12.298044031227112,0.7790290589675903,0.002763,0.002907,0.003839
1.9523,271.26283488699,-16.48427168989,3343.06299,2739.20581,3904.27466,16.61281129699707,1.6066699797439576,0.00904,0.273238,0.03908
