_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0016,270.91216290418,-33.44626085436,7251.76953,5657.60938,9190.73145,15.067002749450683,2.218103783454895,0.003375,0.018192,0.007954
0.0898,270.91046635236,-33.44673152013,7342.57373,6145.40527,8622.76074,12.877505337661743,1.5962355210494996,0.002786,0.004172,0.003926
0.1583,270.90955082965,-33.44481542357,7035.09521,5449.0708,8863.63086,15.268510729911803,1.3254716400718687,0.002836,0.010757,0.004746
0.2134,270.90817747937,-33.4475099343,6055.80176,5019.00684,7148.69922,13.67195908128357,1.2254364425811768,0.00279,0.004104,0.004023
0.2195,270.91366882459,-33.44284365493,7371.75928,5943.54883,9259.2002,15.157675804664613,1.2889921090049743,0.002833,0.010632,0.005065
0.2249,270.91577920886,-33.44852404796,7175.57373,5544.45117,8860.40039,17.925945186691283,0.5275902542152404,0.004725,0.101981,0.069233
0.237,270.91664249774,-33.44496976926,6963.75537,5396.42432,8764.13965,16.23588674782562,1.0242309828720093,0.002997,0.023701,0.010296
0.3219,270.90832164173,-33.44199232624,6571.71729,5107.83105,8149.64795,17.97226366345215,0.4566456217079162,0.005142,0.111448,0.092511
0.3607,270.91831947791,-33.44314138043,7583.00342,6113.0249,9256.13867,15.209424729393007,1.1864611591796876,0.002845,0.011517,0.005829
0.3939,270.91687503922,-33.45155072755,8120.43701,6859.71045,9494.80664,14.612396336494445,0.9454116702117921,0.002794,0.008773,0.005173
0.3954,270.90584097561,-33.44235052535,6820.70801,5160.04053,8517.16309,15.51514734679413,1.177454604625702,0.002939,0.023299,0.00689
0.396,270.91576238885,-33.44040138293,6546.18945,4963.11279,8096.80713,17.209205258651732,0.6838311614036561,0.004603,0.046686,0.024952
0.3964,270.90613332527,-33.45055258935,6797.78467,5106.65723,8476.6377,17.67781003440857,1.0323666392211914,0.003956,0.093044,0.041165
0.4533,270.90325214613,-33.44501251174,6385.26953,5020.94824,8100.36084,14.181496462272644,1.0651974393348693,0.002782,0.005554,0.004037
0.4627,270.92140549408,-33.4467232591,6721.73242,5384.66406,8235.12305,15.909668099449156,0.6221818258666991,0.002935,0.015613,0.009381
