_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0017,113.14871675312,-19.81458458465,5937.87646,5106.27881,7019.60889,12.932030817367554,0.234732901939392,0.002811,0.003574,0.004028
0.2847,113.14435889479,-19.81224491393,1265.24036,1191.03113,1353.6499,16.395705004348756,1.1019140125312805,0.002803,0.005628,0.004815
0.44,113.14185268652,-19.8180085146,3137.88354,2933.78662,3420.49414,13.825362420310974,0.996104977241516,0.002776,0.004563,0.003989
0.4754,113.15495476496,-19.81993948344,1232.91736,1194.59253,1265.67798,14.540421024650573,0.6539937538137436,0.002769,0.003193,0.003927
0.7061,113.13702759661,-19.81047163898,2611.95898,2166.13428,3331.69751,15.931394592163088,0.5777654224967956,0.002879,0.013312,0.006605
0.708,113.1391474268,-19.82218137111,1657.56787,1593.57361,1711.41443,14.142751472202301,0.507691865781784,0.002764,0.003043,0.003868
0.7215,113.16146887898,-19.81574946313,1024.4729,1011.45172,1038.49243,13.845593010576248,0.6134400034189225,0.002765,0.002941,0.003839
0.9253,113.13608463627,-19.82438139355,2522.36255,2402.53906,2670.38696,13.327407436973571,0.14568257727432243,0.002777,0.00331,0.003977
1.1217,113.16056030682,-19.82961973413,1292.03979,1195.75537,1376.93469,16.632876682014466,1.0145194447803498,0.002832,0.007734,0.006189
1.1919,113.12786105501,-19.81165991274,2918.09082,2327.59839,3767.71484,16.10057090185547,0.5271693041419983,0.002951,0.014121,0.007294
1.2446,113.1298511954,-19.80389740422,2249.10327,2178.65112,2313.42896,12.627118867874145,0.3254549060783386,0.00276,0.002853,0.003803
1.2782,113.14761487648,-19.83586201777,2679.61255,2038.36572,3368.16553,16.50118696673584,0.4276080264930726,0.002997,0.020691,0.010624
1.3288,113.12935916411,-19.80202436965,2699.18286,2390.48999,3006.67529,14.660582966735841,0.2839330264930726,0.002796,0.00489,0.004505
1.3532,113.17269590277,-19.8155763656,2087.69556,1896.28857,2368.07202,15.977573961631776,0.6984216676521302,0.002831,0.008094,0.005677
1.3797,113.14760918445,-19.83755574979,1576.18103,1490.02661,1674.27917,15.504973688236237,0.8123218214836121,0.00279,0.003913,0.004164
1.4189,113.14999558076,-19.79096704475,1495.54858,1320.00708,1676.04688,16.708928135959624,1.0944270736961366,0.002834,0.007671,0.005799
1.5011,113.1538820022,-19.79003907931,9477.20117,7764.70752,11824.2432,13.355229147476196,1.3637140516510011,0.002801,0.005791,0.004117
1.551,113.1295390711,-19.79610235689,2385.09131,2076.96948,2714.14478,15.294697401290893,0.5354873814239502,0.002827,0.007661,0.005429
1.6602,113.16681299368,-19.83642018404,2072.02686,1843.42053,2394.17944,15.826878114616395,0.653058700252533,0.002815,0.005626,0.004826
1.6651,113.17824260503,-19.81425438884,776.882385,747.281311,827.015259,17.098461463336946,1.6695681473169326,0.002852,0.011009,0.005498
1.7611,113.11759222988,-19.81300750015,2651.97827,2009.76526,3245.62061,16.11798663321686,0.55098318491745,0.002944,0.014355,0.008369
1.7753,113.12629055635,-19.7938707375,4166.40137,3551.23853,5092.38525,14.004228133880616,1.3287314509811403,0.002789,0.005953,0.004001
1.7827,113.13436244471,-19.78813527802,1543.45654,1306.19055,1787.56824,17.61408273519516,1.3168441358566285,0.003081,0.047854,0.023713
1.7899,113.15186105032,-19.84427295957,1378.76221,1294.08179,1464.69629,15.977063614227294,0.893359820303917,0.002798,0.004217,0.004299
1.8029,113.14915328382,-19.84463250492,1423.48364,1222.6106,1666.24451,17.429796094257355,1.2446707324447632,0.002963,0.01286,0.007041
1.808,113.16261776774,-19.84174744184,2256.84937,2055.38696,2439.63989,15.213557005187987,0.5416039898529053,0.002795,0.004399,0.004187
1.8095,113.15038481967,-19.84470508194,826.10437,806.214355,851.933594,15.922189067481042,1.2326632398405075,0.002789,0.003897,0.004085
1.834,113.11724517994,-19.82207171925,1745.10962,1637.27881,1871.36047,15.514914837837217,0.704153544216156,0.00279,0.004258,0.004299
1.8421,113.16593323638,-19.78848794351,4368.24219,3603.73389,5703.39648,15.07149685671234,0.32005756871795654,0.002832,0.008259,0.004879
1.8489,113.1704104699,-19.83769965436,2173.5769,1988.46924,2442.15039,15.074911723091127,0.6025091729469298,0.002784,0.003973,0.004243
1.858,113.17872085842,-19.80179556204,2780.7439,2383.17505,3171.63159,15.348492460723875,0.5550730691566468,0.002818,0.006154,0.004977
1.8711,113.17733118846,-19.79879853564,4852.13965,4143.57227,5657.31201,13.726212148010253,0.06213183467864991,0.002779,0.003974,0.004029
1.8795,113.18016492132,-19.80421988471,1263.2793,1203.6571,1320.02319,15.800012148757933,0.860893583270073,0.00279,0.004263,0.004252
1.8998,113.18235971642,-19.81619648466,805.122375,795.051392,815.385986,12.655977995946884,0.49018200047683713,0.002764,0.002839,0.003799
1.9131,113.18185114399,-19.82142287815,1661.63599,1408.30518,1979.12549,17.491339999752046,1.1546820188922882,0.002976,0.021219,0.011267
1.9625,113.16317501372,-19.84434598323,674.58905,663.335815,683.568176,14.730942009760856,0.9437040122451783,0.002769,0.003195,0.003896
2.0327,113.15033739568,-19.84843177505,398.164551,324.210205,494.579285,20.26576300122309,1.9539030016617773,0.005428,0.096029,0.035678
2.0449,113.1127141519,-19.81811545949,1509.34875,1275.57483,1792.97644,17.72582248449707,1.4374163461399079,0.00304,0.016887,0.009209
2.0962,113.11968020678,-19.83633174684,2931.42529,2512.8396,3478.71753,15.269326984466552,0.25194021637344366,0.002841,0.009658,0.004966
2.1694,113.16053504382,-19.84900062518,3040.91821,2830.08643,3318.15186,13.848960063163757,0.1028033771934509,0.002772,0.003221,0.003952
2.1986,113.18529615285,-19.82725471527,824.765503,782.190979,885.776855,17.144179995946885,1.613550000476837,0.002967,0.013593,0.006046
2.2065,113.18320485354,-19.8319508494,3653.61133,3422.39917,3917.62988,13.121381621421813,1.062129622894287,0.002781,0.003275,0.003878
2.2223,113.12543219347,-19.84443235163,1190.43018,1000.04395,1390.48926,18.085185550855638,1.5429407936906814,0.003094,0.036914,0.014048
2.2274,113.18557370353,-19.82792295595,564.60907,540.76355,585.731262,16.91825749039364,1.773023423746109,0.002839,0.011399,0.006144
2.2706,113.11147453875,-19.80035633919,1343.01953,1315.78259,1364.48352,13.424757807422639,0.6175037516813279,0.00276,0.00284,0.003823
2.2782,113.14100459361,-19.77732100906,3042.19116,2638.62109,3554.97827,15.198118919586182,0.4144189784660339,0.002806,0.006038,0.004915
2.309,113.16743612404,-19.78035560805,1721.10669,1661.81104,1788.53845,14.620643115371704,0.7288977323188781,0.002767,0.003144,0.003895
2.3095,113.17262655461,-19.84584278874,1453.69421,1234.45984,1741.79004,17.448709036869047,1.0558200129127502,0.002954,0.014496,0.00824
2.3307,113.16898369992,-19.84844697801,1298.8623,1078.18835,1573.15356,18.001538510959627,1.4125171044807434,0.003095,0.023028,0.009846
