_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0007,214.40553793852,-58.64500580353,4865.56055,2200.49829,7851.51025,15.30065867767334,-0.7273809967193603,0.007034,0.140209,0.039326
0.085,214.40684005772,-58.64624696067,2002.86914,1711.20984,2390.59326,12.190820766601561,-1.286033445526123,0.002874,0.00717,0.005958
0.2868,214.39643657061,-58.64573894053,1528.28662,1458.74353,1592.48132,10.135385502532959,-1.3537072812194824,0.00277,0.003331,0.004158
0.3098,214.40352193987,-58.65006663958,3695.24878,3098.45532,4566.06348,11.132110837524415,0.0009118279724122935,0.002803,0.007362,0.004231
0.39,214.39431914607,-58.64789014931,2413.51514,2119.65308,2694.94995,11.241788484039308,-1.4199426059875488,0.002794,0.004596,0.004292
0.4691,214.39800389128,-58.65178112805,987.666931,879.239746,1104.45996,11.575128561981202,,0.003369,,
0.4891,214.42088806567,-58.64343732748,1822.86487,1691.01331,1926.21521,10.673681351898193,-1.5089149811248779,0.002782,0.003775,0.004252
0.5536,214.39750278946,-58.63677860592,1350.25745,1297.53442,1398.21729,9.888888757873534,-1.5129250748596192,0.002766,0.003322,0.003949
0.5598,214.4234205058,-58.64550732172,1603.59204,1363.66333,1898.19543,12.48942219189453,-1.138800547668457,0.002973,0.013399,0.006044
0.5827,214.42010508044,-58.63895226039,680.015137,656.602783,711.126465,11.415081400878908,-1.0898519322662354,0.002815,0.005667,0.004343
0.7431,214.42189908761,-58.65399498013,914.231689,850.875793,998.635193,12.452122085449219,-0.7864791422729491,0.002943,0.016472,0.005679
0.7636,214.39465224557,-58.65641130227,2357.32764,2178.91577,2553.78491,10.789106185668945,-1.313228849395752,0.002783,0.004465,0.00402
0.7983,214.38074094537,-58.6483050928,4740.62598,3836.52319,5778.54053,11.640435147735595,0.1750485110321045,0.00283,0.009305,0.004127
0.8225,214.3815598458,-58.65071316145,1538.49097,1435.69482,1675.15662,11.403299561920164,-1.3925441430206298,0.002808,0.004351,0.004369
0.8955,214.38616613736,-58.65602786387,256.16861,248.857712,265.819153,12.77984150152588,0.30792603367614735,0.003103,0.027577,0.00648
0.926,214.39250174901,-58.63114104248,2404.73145,2296.54175,2535.74731,9.203852221313477,-1.5706446000976562,0.002762,0.002957,0.003837
0.9272,214.42879635719,-58.63541636486,1949.86755,1690.96936,2230.16113,11.629124559600829,-1.3865215642700195,0.002834,0.007424,0.00564
0.9423,214.42021333217,-58.63129306388,2359.87183,1872.76758,2892.89258,12.164830871459962,-0.19152828689575196,0.002943,0.013606,0.00502
0.9843,214.40920503201,-58.62871668724,2648.93018,2365.9104,3009.67334,10.939858596496581,-1.0787962896118164,0.002803,0.004433,0.003992
