_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0006,203.98603272276,-57.87675393678,2865.83398,2464.15967,3452.40088,14.397619937438964,0.31781001468658454,0.002806,0.004629,0.0046
0.0863,203.98509248057,-57.87541489362,3234.89917,2444.70117,4058.2334,15.556061669540405,0.28311004370117177,0.002847,0.009712,0.006096
0.0939,203.98345226965,-57.87601940368,2694.15771,2296.28882,3158.03369,14.829086780197144,0.23137994209289547,0.002802,0.005016,0.004334
0.2349,203.98375199342,-57.88047999846,1505.08167,1230.21985,1800.24109,16.30275010473633,0.9014451360626219,0.002973,0.020269,0.009653
0.2619,203.98064335923,-57.87347312055,1424.50073,1338.47644,1542.62756,14.453440994735718,0.2541553669128418,0.002788,0.004379,0.004142
0.4596,203.99702871657,-57.88171810622,1922.16296,1585.48706,2311.59424,15.705490802520753,0.3587120968093873,0.002872,0.009027,0.005808
0.6613,203.9888070807,-57.86583650049,1621.30627,1337.59973,2053.44946,15.935218874740599,0.4951365948944091,0.002903,0.008633,0.005622
0.7193,204.00055553358,-57.88593751858,5531.81689,4501.56543,7251.74609,14.41473021105957,1.0897319669342043,0.002794,0.006164,0.00418
0.7351,204.00569759366,-57.87036526731,1284.17944,1235.87134,1353.85486,13.46195637889099,0.10352036414337151,0.002765,0.003116,0.003869
0.8178,203.98985707161,-57.89023890456,2369.49609,1964.8783,3103.86182,15.607029215438843,0.2763591361465454,0.002854,0.009291,0.006472
0.8287,204.0119379615,-57.87566529319,3375.66455,3074.08179,3737.98804,13.49542535835266,0.7641456013717651,0.002768,0.003564,0.003858
0.8424,203.9835455971,-57.89073639668,2629.14136,2149.04858,3283.52783,15.4536959651947,0.2195063421554566,0.002832,0.006845,0.005517
0.861,203.97221863658,-57.88908373588,1928.82739,1755.64001,2135.98877,14.39527016911316,0.09530440409851071,0.002782,0.003941,0.004209
0.9031,203.97020655101,-57.88923590403,1705.12134,1580.00708,1873.55322,14.957479370132447,0.24795362962341305,0.002818,0.005768,0.005744
0.9412,204.01372138097,-57.87132993742,1635.68762,1586.9259,1677.05176,11.528193087539673,-0.14228054634857168,0.00359,0.007514,0.00791
0.9604,203.96698816743,-57.86437185446,7403.83105,5983.84961,9611.68164,14.436696378753663,1.3385487231140138,0.002789,0.007241,0.003968
0.9606,204.01348241455,-57.87016801078,1516.90479,1419.57849,1601.55969,13.932215644821166,0.07860464884185792,0.00278,0.0048,0.004234
