_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0004,151.76898026697,-66.18089956686,1674.57556,1561.2998,1857.14355,12.607457706073761,0.929399509563446,0.002784,0.002859,0.003844
0.3331,151.77827955924,-66.17680180384,2238.57544,1829.25586,2709.75439,17.592280377452852,0.7372481392784118,0.003077,0.032324,0.01988
0.3806,151.77450552323,-66.18683445159,2037.74646,1863.10449,2233.23657,15.871868787799833,0.7118169257831574,0.002809,0.005447,0.004928
0.4073,151.7523135968,-66.18005795304,763.716797,674.639404,928.411743,18.616962647392274,2.2055960792121887,0.003728,0.068649,0.017615
0.5236,151.78216555479,-66.17397711229,3789.98804,3505.62427,4083.31079,14.419295287090302,1.0603338121452333,0.002767,0.003206,0.003867
0.6232,151.76127229029,-66.19080235149,2754.38281,2503.04346,3081.91235,15.826904352729798,0.6510441558856964,0.002809,0.007634,0.004648
0.6426,151.75494391276,-66.18997852945,4859.51904,3693.5354,6108.09277,16.60586009349823,0.9809196485729217,0.002876,0.012294,0.011898
0.6503,151.78908570967,-66.18808226697,6071.46631,4987.61719,7356.43896,15.772577145709992,0.74966751902771,0.002795,0.004093,0.004241
0.6662,151.74576637899,-66.17495760335,1544.60181,1386.66614,1766.40955,16.93649302635193,1.1698555225791931,0.002929,0.011311,0.006666
0.6989,151.74887598912,-66.18924365948,2543.64233,2174.14917,3421.5083,17.014298967357636,0.6280682442474366,0.002937,0.009287,0.009277
0.7339,151.79840172266,-66.17796921145,7257.02979,5936.1333,9215.60547,15.915935599399567,1.0812857573432921,0.002813,0.005643,0.004269
0.776,151.80052240328,-66.17862290101,3055.99536,2801.16895,3427.43164,15.661774955661773,0.5955408760204315,0.002812,0.004268,0.004497
0.786,151.75282592121,-66.19225311111,1998.37073,1954.30713,2041.55652,9.755734280288696,1.498256050327301,0.002778,0.002902,0.003799
0.7866,151.74201165763,-66.1881853356,1913.2688,1726.19458,2176.0625,16.714244918178558,0.9753472624378203,0.002896,0.010273,0.006
0.893,151.75922806967,-66.16654422513,6103.37402,5467.19629,6885.7041,14.370677158313752,1.0668850572509765,0.002765,0.003087,0.003866
0.9254,151.73184413082,-66.17732437826,2644.54419,2236.34668,2998.6709,16.93945993852234,0.7862595913848878,0.002943,0.011093,0.00776
0.9255,151.8071443063,-66.18164911091,4257.89502,3475.28247,5382.60889,17.00484826979828,0.8018696959819793,0.002924,0.009461,0.007108
0.9812,151.80817072087,-66.18503435664,2909.45532,2806.92725,3025.60889,13.34291703391266,1.0974929727115632,0.005201,0.015694,0.014811
1.0004,151.73248573183,-66.17311344804,3065.01904,2607.90454,3782.1106,16.31050944709778,0.7146278182106018,0.002845,0.006194,0.006843
1.0053,151.78006487806,-66.19704261581,3189.37012,2681.30566,4068.57544,16.794338889556883,0.7112328229694367,0.002912,0.008827,0.007277
1.0136,151.81081634018,-66.1805846101,2319.91846,2149.15503,2482.53223,15.778224052513124,0.6883850871887207,0.002799,0.005008,0.004473
1.0237,151.75208258011,-66.19653118507,3631.93652,3063.88623,4643.87451,16.713686652965546,0.7164616083259583,0.002885,0.007487,0.008503
1.0242,151.79643438007,-66.16791285467,1237.6156,1153.01807,1345.18494,17.057163828712465,0.9711869958896637,0.002941,0.008414,0.00858
1.0337,151.77148035342,-66.19809371688,953.004395,893.859131,1044.47571,17.364557801124572,1.6680203848342896,0.003015,0.025111,0.008857
1.0518,151.75550364502,-66.16423338876,1785.91638,1621.62695,2002.32166,16.597951852474214,0.7970266123447418,0.002874,0.008478,0.005845
1.0657,151.73499417858,-66.1921660341,1767.16833,1544.73169,2007.68396,16.78621447963333,0.8778891432094573,0.002922,0.00866,0.007599
1.089,151.73225725455,-66.17044452818,2493.84277,2085.49438,3147.80029,17.185850940265656,0.7517248654594422,0.00296,0.010556,0.009994
1.1762,151.81280567988,-66.17245957857,2859.427,2275.24731,3610.7229,17.322249900634766,0.7014922249984741,0.002987,0.010209,0.007691
1.196,151.79673047356,-66.16440915902,2977.52832,2459.91211,3860.18286,17.050778420719148,0.7355421455230713,0.002925,0.009481,0.010271
1.2679,151.76442753608,-66.20194581818,2255.52319,1943.62366,2753.4646,17.189458102283478,1.1604144665279388,0.003008,0.012018,0.010647
1.3228,151.81086740187,-66.16675425689,1753.16553,1663.64136,1840.48633,15.027600848178864,0.7024206479949952,0.002792,0.004343,0.004671
1.3622,151.72807646965,-66.19646970429,1537.7583,1471.03467,1618.80115,15.601737553382872,0.8156992470817566,0.002801,0.004725,0.004245
1.367,151.80732311564,-66.19761738065,1134.66736,1097.29858,1176.40991,15.541824315689087,0.8444520029888154,0.002787,0.003926,0.004297
1.4043,151.72323680242,-66.19526636888,354.941925,329.427673,389.939026,18.748585729343414,2.8295098480396272,0.004151,0.12376,0.015811
1.4045,151.74975296201,-66.15881448651,1505.03821,1399.07495,1599.71326,15.981198781635285,0.8715300587444306,0.002821,0.005392,0.004881
1.4179,151.73076174209,-66.16300877227,4624.21484,3654.54712,5880.43896,16.718111227676392,0.6178943217525482,0.002855,0.008856,0.005153
1.4902,151.71741323092,-66.19442886576,2228.40942,2101.15576,2416.40283,15.481332702041627,0.7341905759010314,0.002797,0.004674,0.00455
1.4999,151.73439407016,-66.20162712218,2136.20044,1991.10022,2294.11768,15.740567152545928,0.6441150940437317,0.002805,0.005883,0.004945
1.5181,151.70948196983,-66.18881433183,2207.7478,1962.6499,2490.99707,16.704555272953034,0.8930479826049804,0.002867,0.013165,0.005004
1.5277,151.71159219043,-66.19143519676,2248.39917,1763.1759,2865.73267,17.986834366931916,0.9841903215808869,0.003379,0.0245,0.018434
1.6537,151.76158280882,-66.20829324318,10305.0967,8146.29199,12429.6016,15.468052075508117,1.1175372557640075,0.00279,0.00419,0.004444
1.6541,151.70074014365,-66.18137892496,2209.2146,2005.75464,2462.8125,16.35333545714569,0.8007557118701936,0.002858,0.005572,0.005139
1.6777,151.74690941984,-66.20739707844,3943.55347,3345.05737,4637.07568,16.684453901836395,0.7238603441963196,0.002862,0.011373,0.00738
1.6975,151.69947404935,-66.18439927468,3482.06201,2929.75781,4340.48438,16.535825880226135,0.7139845896987915,0.00285,0.008125,0.00765
1.7202,151.80370833945,-66.20590671872,2427.89941,2014.98938,3074.44287,17.40122853745651,0.7433302208576202,0.002987,0.011701,0.007947
1.7379,151.75021755758,-66.15294076367,2038.34216,1888.7959,2202.10889,15.579975249488829,0.6129017548732758,0.002794,0.004032,0.004356
1.7409,151.74717889805,-66.20854194286,2095.70117,1963.63513,2247.50781,15.37149294044876,0.592463555896759,0.002785,0.003822,0.004263
1.7497,151.73646250415,-66.20693292406,1372.35095,1329.19971,1418.82312,15.06713337475586,0.666745802400589,0.002786,0.003479,0.004078
1.7658,151.84113038788,-66.17673137854,5212.71191,4623.94482,6029.42041,14.586267576335906,1.0659774175338745,0.00277,0.003366,0.004062
1.7701,151.78607492178,-66.20958002758,372.729004,367.235779,377.191772,15.332936133285523,1.5700454108028412,0.002796,0.005818,0.004162
1.7775,151.82042822621,-66.20202591014,3181.82886,2815.79028,3632.04053,15.892804691135407,1.0519093593406676,0.002819,0.005103,0.00465
1.7961,151.70678418733,-66.16463204668,5625.60693,4561.86865,7030.35742,17.013809561035156,0.9176551170730591,0.002955,0.013289,0.007793
1.8281,151.77991913142,-66.21104290436,3288.16333,2872.23682,4042.21875,16.442633252174378,0.8234573778972625,0.002835,0.006805,0.005133
1.8339,151.83467098934,-66.19609979317,2259.78784,2020.28723,2484.57397,16.216951882843016,0.7072236161289215,0.002828,0.005865,0.004935
1.8439,151.80022936762,-66.20892161299,3467.19849,2908.27344,4239.62207,16.52434739619064,0.8633930513858794,0.002849,0.00649,0.005641
1.9111,151.84310720006,-66.17001918185,1961.68384,1783.17798,2293.07715,16.91978550107956,0.9662815016059876,0.002906,0.010792,0.006606
1.9452,151.84838453045,-66.17610749328,3548.25073,3095.88477,4080.31201,16.171077919498444,0.6035603999652862,0.002824,0.005209,0.00592
1.9868,151.8075511866,-66.151676146,5520.63574,4535.06689,7045.16455,16.706616534778593,0.5269457827587127,0.002915,0.00716,0.006348
1.9951,151.81678044484,-66.15382334066,3174.35742,2799.33374,3618.27686,15.561137665580748,0.6140822261581421,0.002805,0.004586,0.004523
2.0103,151.83986339311,-66.16348976076,3294.10913,2956.19922,3771.37402,15.589037729732514,0.9546401415863037,0.002792,0.004568,0.004409
2.0318,151.70633494233,-66.2034099644,5207.48145,4608.39648,5850.82715,14.44660184847641,1.113690491880417,0.002769,0.003631,0.003866
2.0347,151.85140452847,-66.18742713016,1068.87097,807.067505,1254.30603,20.30976194208145,0.38575360100936895,0.015305,0.244113,0.117596
2.0411,151.85109477813,-66.18852813628,2021.2688,1859.22559,2167.29785,15.763710131904602,0.7638298914089203,0.002796,0.005303,0.004695
2.0828,151.82632129017,-66.20677155638,1425.63977,1306.18579,1577.5177,16.928306325351716,1.223773467983246,0.002934,0.010559,0.005492
2.0899,151.85175281645,-66.19072915708,1599.62195,1516.15833,1714.76697,15.715674847000123,0.7433012027816772,0.002812,0.004981,0.004562
2.1189,151.81355046636,-66.21128748887,2594.15063,2253.58667,3051.17261,16.734601183444976,0.9306200538864136,0.002893,0.007846,0.005733
2.1546,151.68504676516,-66.19275647808,4921.62451,4031.15454,6069.39209,15.811080144504547,1.0294325051460267,0.0028,0.005575,0.00434
2.1548,151.84761231933,-66.16412880037,4428.66943,3585.40186,5543.67627,16.55902183506012,0.6861581578083038,0.002869,0.006828,0.005697
2.1789,151.69935634005,-66.20388589515,5196.78711,4287.47217,6692.67529,16.55291451815033,1.0011345852050781,0.002862,0.009157,0.005897
2.2404,151.74560943476,-66.21702222295,5177.02686,4385.45752,5848.54736,15.40852641052246,0.20197977018165586,0.00281,0.003723,0.005207
2.2489,151.70740830002,-66.20894762094,4257.5166,3974.66943,4542.31787,13.772585862865448,1.1383413023014068,0.002763,0.002935,0.003804
2.2556,151.78442688771,-66.14382218013,3937.57544,3753.96729,4183.93115,13.376441898670196,1.0529115526046753,0.002761,0.002987,0.003807
2.3128,151.83923680774,-66.20700937219,3518.27441,2919.93457,4626.34131,17.325601454101562,0.7017116840114593,0.002948,0.010975,0.010405
2.3318,151.80886728984,-66.14553014707,2080.76733,2000.22424,2165.08936,14.311515583129882,0.5267459348220825,0.002788,0.003114,0.00394
2.3326,151.69624368965,-66.1554531724,1162.29651,1138.27783,1182.73206,13.741086458892822,0.672361821023941,0.002765,0.002946,0.003858
2.3356,151.68662468185,-66.20113445948,2834.04321,2509.95996,3322.84668,16.2748838670578,0.7885082822189331,0.002825,0.007195,0.005717
2.3485,151.82014560249,-66.14765614874,2525.39185,2463.06274,2604.35913,10.464064551269532,1.7100076378440856,0.002771,0.003006,0.003809
2.3624,151.85234347991,-66.16049120059,2737.54614,2488.07617,2994.88965,15.118897996112823,0.7201521016979218,0.002776,0.003811,0.004175
2.3668,151.68487649182,-66.16086776423,2188.0835,1788.04468,2864.05298,17.846202358329773,0.9550738283081055,0.003195,0.022333,0.014544
2.4027,151.81927165825,-66.21541799715,2081.48389,1808.11572,2395.91992,17.0342317962265,0.7282809433460236,0.002963,0.008927,0.00704
2.4029,151.86689639475,-66.18729908186,3090.17798,2850.68506,3335.9126,14.911721265796661,1.0581152554740905,0.00278,0.003839,0.004039
2.4219,151.77303754317,-66.22122762446,757.576233,596.214355,963.601562,19.511596411849975,2.514294152238846,0.005513,0.199977,0.029251
2.4229,151.74520641555,-66.22011840426,3145.28296,2718.01489,3971.25098,16.544994817451478,0.7887502989807129,0.002862,0.008213,0.006192
2.4528,151.7504525385,-66.14070847048,1551.97766,1247.66504,1932.31531,18.192844400230406,0.9053537446136475,0.003407,0.025885,0.020621
2.4542,151.78728547655,-66.22112732525,1590.91125,1430.78247,1783.64832,17.060491777973176,1.1710085198497773,0.002966,0.014876,0.006393
2.4578,151.66860902132,-66.17506321871,1282.81787,1028.51013,1665.92017,18.476374663093566,1.714360752828598,0.003588,0.103926,0.020389
2.4654,151.82830311741,-66.14751957706,2798.93677,2194.25879,3387.17944,17.306051562740326,0.6476246534633636,0.003013,0.01536,0.021572
2.4782,151.85382591856,-66.2039879988,3040.52271,2856.9187,3223.41187,14.856518933708191,0.3928287803878784,0.002949,0.004173,0.004351
2.499,151.69274847184,-66.20896063402,4463.43115,3770.177,5528.08252,16.004889358406068,0.17851863962936404,0.002854,0.004555,0.00542
