_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0004,216.62776467189,-62.95803534746,7829.85449,5258.65576,11228.7744,14.340026405334473,-0.3284348774871826,0.003179,0.037028,0.009508
0.1945,216.62220151543,-62.96005937262,1538.69482,1432.95667,1652.42407,11.482877966430664,-1.3960171631317138,0.002775,0.003469,0.004035
0.199,216.62319289774,-62.95544220297,3597.02026,3049.22437,4457.12109,11.418217784118653,0.15364500076293952,0.002783,0.004947,0.003947
0.2201,216.62017733555,-62.9567732334,1427.84131,1336.23914,1544.29712,11.580108413299559,-1.396271585144043,0.002775,0.003826,0.004005
0.312,216.631451293,-62.96294978511,2437.06128,2112.67163,2943.36963,12.290716071502686,-1.2870940522766112,0.00282,0.006058,0.004887
0.3532,216.631295657,-62.96369097224,1857.4657,1678.85071,2017.33545,11.874354626617432,-1.3007153869171142,0.002788,0.004526,0.004338
0.4506,216.61131053766,-62.95872394595,2714.89136,2300.05127,3214.97168,12.37797289694214,-0.8233371375274658,0.002802,0.00581,0.004457
0.4975,216.64361171359,-62.95393135763,4671.12793,3939.09863,5478.56299,11.120473186737062,0.20462446385192878,0.002776,0.005689,0.003974
0.5859,216.64210534865,-62.96529518901,1362.44971,1304.37292,1413.4176,10.66674236013794,-1.296695287765503,0.002763,0.003115,0.003854
0.5948,216.64363150165,-62.95123212958,3619.42261,3374.03345,3897.2041,9.698051044189453,0.288657230758667,0.002767,0.003079,0.003813
0.5954,216.60609938883,-62.95680636317,1509.40601,1464.78369,1565.95142,9.529355099273682,-1.7832778997955323,0.00276,0.002852,0.003834
0.6643,216.60432795448,-62.95501472505,1424.94641,1143.07996,1759.9032,13.77307176565552,-0.9230657715148927,0.002998,0.020383,0.010228
0.6744,216.65215760066,-62.95984372973,2365.29541,2196.76929,2564.31445,11.228941675354005,-1.1073979630584716,0.002771,0.003675,0.004035
0.6749,216.65035213743,-62.95344567097,2965.38916,2766.30664,3168.03882,9.952859498291016,-1.4789856528015137,0.00276,0.003027,0.00389
0.6808,216.60290690863,-62.95699079033,1739.24402,1700.47083,1783.88501,7.886848199371338,-0.8751214375762939,0.002757,0.002817,0.003784
0.6874,216.6512685282,-62.96215488527,2051.17456,1970.32434,2151.24805,9.640620336120605,-1.943929690109253,0.002762,0.002843,0.003821
0.7205,216.63698997929,-62.96928021019,2234.39795,2134.34277,2352.84106,10.265675131591797,-1.3952053767242432,0.002761,0.00294,0.003822
0.7638,216.60032421576,-62.96057971052,2329.0354,2078.77515,2590.67944,11.425176656616213,-1.1876009867858888,0.002775,0.005774,0.006937
0.7669,216.60890685493,-62.96751346605,1855.71289,1725.59583,2046.71509,11.327992999237061,-1.4317997338714599,0.002769,0.003411,0.003956
0.7912,216.65577323601,-62.9614428476,521.366333,516.220642,525.941589,9.253254424530029,-1.5272507769470214,0.002757,0.002857,0.003802
0.8185,216.63112359768,-62.97158368624,875.241577,784.738831,1008.76685,13.370622521331786,0.9910275351104736,0.003094,0.1171,1.331012
