_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0007,266.75857839881,-19.7037666385,7410.78906,5760.45703,9555.97754,14.751385904708862,1.1344679795150756,0.002829,0.009128,0.004716
0.233,266.75820197118,-19.70764161351,7682.04932,6259.13965,8957.85938,12.752362904708862,1.4469289795150755,0.002777,0.003503,0.003864
0.2909,266.7636178998,-19.7027347378,3939.78369,3455.74878,4695.87939,13.548608978942871,1.3957800271606446,0.002786,0.00407,0.003868
0.3307,266.75324593404,-19.70603253733,3252.00488,2675.75073,3957.75854,13.87316916165161,1.0741905286788942,0.002793,0.00485,0.00412
0.3463,266.75255929407,-19.70482408394,5527.4668,4722.94043,6678.17432,13.180722904708862,1.3196019795150757,0.002783,0.004135,0.003973
0.3526,266.75619317361,-19.70920149755,6346.93555,5018.07861,7855.99316,13.112182904708863,2.172397979515076,0.002798,0.006453,0.003964
0.3783,266.75770090246,-19.69752510867,3376.70923,3034.71167,3708.59741,12.656858954574584,1.1796424344406127,0.002769,0.003618,0.003866
0.4441,266.75414973773,-19.70988551243,7468.35693,5791.71436,8773.80371,14.016874904708864,1.0118279795150755,0.002801,0.004836,0.004163
0.4542,266.76109314804,-19.69658093477,6882.17969,5663.73779,8389.08887,12.672224904708862,2.145935979515076,0.002828,0.005505,0.004106
0.4631,266.75908029013,-19.69607006129,1184.29431,1153.06165,1215.83569,11.646357014381408,1.8986890069332123,0.00276,0.002848,0.003794
0.5165,266.76719139411,-19.70086333016,7545.6709,5655.67627,9397.53613,15.208624904708863,1.1978199795150757,0.00294,0.014172,0.004862
0.577,266.75120469373,-19.69712791627,7120.10352,5701.96582,8938.50098,15.423427904708863,1.1366949795150756,0.003008,0.02505,0.007673
0.5942,266.75048261298,-19.71008669683,7620.1499,5808.02686,9530.66211,14.480991904708862,1.2378709795150757,0.002815,0.008021,0.004242
0.6524,266.75322935636,-19.69414307577,8002.7998,6287.81445,9695.66992,14.708551904708862,1.2401809795150758,0.002853,0.014196,0.004709
0.6993,266.74746344015,-19.69866124877,8214.07227,6562.00439,9906.11621,13.867315904708864,1.2011399795150757,0.002796,0.007211,0.004439
