_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0003,280.28854538224,-10.39639918976,7313.62207,5737.85303,9140.44727,14.399058245285033,1.6941610637054443,0.002968,0.019305,0.007384
0.101,280.28731079482,-10.39522891586,3712.56885,2984.70239,4710.31299,14.016697980163574,1.6406816501007082,0.002906,0.015796,0.006064
0.509,280.28531658511,-10.40426033269,783.938782,775.924011,792.020691,11.651845079421998,0.7447070374984741,0.002761,0.00293,0.003797
0.602,280.29873507298,-10.39591325244,377.496582,374.271332,381.166443,13.587766374458313,1.1605785263557433,0.002784,0.003482,0.004011
0.6432,280.2983695317,-10.40104003347,4519.52783,3572.323,5629.1875,14.219252232940672,1.3634134442214965,0.002848,0.01372,0.004436
0.6914,280.29046361246,-10.38502651045,803.208191,794.759216,813.99408,12.143307005187989,0.5277730494575501,0.002778,0.003148,0.004022
0.6928,280.27930185404,-10.40351186582,1354.25989,1132.81421,1652.50989,17.354786058021546,1.6151880495529176,0.004012,0.066868,0.027471
0.7285,280.29968928828,-10.40161869443,4055.48511,3775.21338,4421.82617,12.286645504943847,1.5040676984558106,0.0028,0.004152,0.004008
0.7476,280.28173859205,-10.385886155,2651.35303,2158.34937,3438.22192,15.123804245864868,0.7292116195411682,0.002905,0.01087,0.007317
0.7555,280.30111654752,-10.39877734686,3766.39087,3428.24072,4256.38574,13.311819495925903,1.6328270744781492,0.002814,0.006888,0.003933
0.8203,280.29802640224,-10.38639490983,6379.37451,5257.46191,8023.98926,12.607865245285033,2.0305020637054443,0.002849,0.009866,0.004349
0.8263,280.30012978107,-10.38865608553,5552.02734,4655.53271,6648.34033,13.05029616319275,1.6184161471328737,0.002845,0.012177,0.004172
0.8424,280.29905603535,-10.38689314569,5888.79004,5049.50732,6896.57959,11.85796316319275,2.0959141471328735,0.003035,0.011381,0.004589
0.8663,280.27416880019,-10.39348023394,449.552277,379.684326,558.50592,18.78454405749512,1.7768940924949645,0.006857,0.125413,0.037356
0.8918,280.2743014241,-10.40135380408,3692.20557,3093.01782,4707.29004,13.811762147476195,0.4298770516510009,0.002873,0.006203,0.006141
0.9308,280.29908785946,-10.38485399956,2336.28052,1931.48413,2941.55005,15.583515808868409,0.8238854968948364,0.002999,0.016873,0.009438
0.9712,280.30496758068,-10.39747473085,1511.9342,1274.46021,1775.14392,16.5324710625,1.2259571893043517,0.003114,0.018849,0.008708
0.9859,280.30480056566,-10.39259708607,2888.22607,2688.55273,3067.21362,12.801985043144226,1.1902019909973145,0.002792,0.004538,0.004086
1.0058,280.30278274063,-10.40560953624,2650.29663,2505.35718,2803.85107,12.348593854095459,1.1583602808494566,0.002775,0.003266,0.003917
1.0157,280.28052281189,-10.41137019625,6440.78174,5361.61182,8041.33643,12.542597999008178,2.135863075569153,0.002887,0.008527,0.004074
1.0192,280.29830620948,-10.38238078118,2868.85254,2293.91284,3594.77295,15.271736043144227,0.6621999909973144,0.003041,0.014732,0.006584
1.0326,280.29988179246,-10.3832837755,3697.54272,3169.23486,4671.49658,11.842517943603516,3.951384665771484,0.005631,0.033993,0.015551
1.0642,280.30657852499,-10.39625867264,4242.3457,3774.71436,4848.22705,13.24976497894287,1.8068040271606445,0.002819,0.009594,0.004256
1.1153,280.29725834273,-10.41288900558,9445.77734,7738.69482,11603.4873,13.141362739196778,1.5324844592208864,0.002834,0.013347,0.006269
1.1352,280.27017568353,-10.39078768713,4975.29834,4169.60791,6014.8418,13.248237253128051,1.712004047477722,0.002857,0.012344,0.004306
1.1525,280.30466083997,-10.40724645941,4169.97461,3708.2981,4718.84326,12.957510370620728,1.1270755279541014,0.002792,0.005242,0.003901
1.1636,280.28595678821,-10.37716846083,1060.69202,869.497253,1297.81018,17.20525500518799,1.69503604945755,0.003636,0.032585,0.024215
1.191,280.27721645369,-10.41282066786,1363.78564,1194.35352,1613.29871,16.286578772132874,1.1115274766044616,0.003054,0.018962,0.007229
1.2109,280.30872040816,-10.40007543135,5155.32812,4573.19141,5855.10889,12.133935983291625,1.20210109929657,0.00279,0.006056,0.004041
1.2252,280.26828986632,-10.40086882224,3221.05493,2698.37939,3880.29492,14.206743130371095,0.18507171433258063,0.00292,0.005763,0.005108
1.2343,280.27806780186,-10.41419812262,3723.47656,3283.92676,4224.28662,13.426279539886474,1.153509880455017,0.002808,0.006587,0.004368
1.2378,280.26765357814,-10.3945893334,2299.69775,1974.26892,2857.9126,14.751991595947267,0.8013988744049072,0.003039,0.005573,0.004941
1.2391,280.30708363897,-10.40609370574,4636.27734,4219.67969,5120.16357,11.483709777542114,1.5446015811080933,0.002807,0.006296,0.003949
1.2696,280.27119045716,-10.40889765617,3522.04883,2813.13232,4308.95947,14.220184569839478,1.428001387779236,0.002866,0.007481,0.005305
1.2872,280.30775903764,-10.38623678785,883.36499,852.975281,917.260498,14.573539005187989,1.04448704945755,0.002929,0.005694,0.005826
1.3129,280.26695051288,-10.40165055161,2597.53979,2126.33594,3354.07056,15.487692343749998,0.7156983605613709,0.002975,0.010219,0.008384
1.3201,280.30856956128,-10.38658450484,1524.26062,1341.80676,1716.86499,15.860242251403808,1.0789697153320312,0.002972,0.018903,0.050848
1.3268,280.30442755067,-10.38074070164,3190.25562,2706.94238,3846.25684,14.181653013885498,1.1317090149154665,0.002837,0.007553,0.004316
1.3445,280.2657736999,-10.39703128314,3359.85474,3037.9458,3746.77466,12.635376483459472,0.9396549686508178,0.00279,0.004048,0.003965
1.3687,280.29341030634,-10.37408924164,4796.99951,4276.03027,5644.80127,12.879448163192748,0.8732891471328736,0.002836,0.032942,0.006294
1.3753,280.3070324502,-10.41035316396,6562.65967,5098.24121,8315.08203,14.916120801086425,1.0481813211212159,0.003013,0.024944,0.006084
1.3762,280.31175037186,-10.39411973957,2753.72119,2375.68799,3245.5874,14.815683374839782,1.0261003149757386,0.002884,0.007571,0.00663
1.4102,280.27945166555,-10.41812912239,4017.02979,3591.95044,4482.16699,10.649781923248291,1.976893197090149,0.003061,0.008334,0.004838
1.4279,280.29552410372,-10.41918228493,1070.40308,910.210754,1296.25488,17.63316800518799,1.2838130494575501,0.003708,0.036371,0.017201
1.4313,280.31071551602,-10.40606865421,2128.82349,2060.86011,2215.2334,12.387904101593017,1.2390021666946411,0.002769,0.003855,0.003904
1.4809,280.30448058426,-10.41546110818,3380.48926,3171.27124,3623.1123,11.469191029602051,2.2142441103973387,0.002832,0.006357,0.003923
1.4866,280.31271357351,-10.40338395282,3522.2063,2891.2561,4112.84326,14.412086029602051,0.49319911039733877,0.003011,0.008833,0.005421
1.4928,280.26426268121,-10.40335730897,1163.54749,975.110901,1453.12097,16.900735058021546,1.1667260495529175,0.003156,0.033707,0.017484
1.5019,280.2945546686,-10.42071781676,4067.60278,3739.49219,4436.54834,12.549448518920899,1.2554865115432738,0.002778,0.003637,0.003889
1.5034,280.26355008818,-10.39156622888,2194.67993,1740.65576,2728.72827,15.876073127059936,0.8421131707801819,0.003084,0.028799,0.018984
1.5053,280.31393307865,-10.39882709895,1579.63269,1497.76892,1657.1167,14.435211556549072,0.7997208080787659,0.002783,0.004772,0.004102
1.5447,280.31180385223,-10.40820788346,4799.97412,3855.61694,6167.81055,13.645389983291626,1.4988340992965696,0.002888,0.011092,0.004175
1.5482,280.26266932941,-10.4006335577,1698.0885,1539.35522,1879.00366,14.742507979682923,0.795514547164917,0.002825,0.008818,0.005054
1.5638,280.29160057685,-10.42228427147,2366.69043,2030.07214,3174.78369,15.394124237861632,0.7015054546051025,0.002905,0.011798,0.007241
1.5787,280.31162289908,-10.40970384053,3380.94653,3138.69458,3747.08936,13.24289902960205,1.1921801103973388,0.002805,0.004958,0.003984
1.5803,280.31147237274,-10.38278353929,3856.5498,3162.92432,4788.94287,13.698115155334474,0.3381150397872925,0.002844,0.008681,0.004783
1.5882,280.29265426207,-10.42255436486,604.990295,510.994598,718.77771,17.76704302658844,1.4233399777984619,0.004847,0.037125,0.012467
1.597,280.2631831515,-10.40567476842,2317.54004,2213.40332,2405.06567,10.355514562309265,1.4509575497589111,0.002768,0.003171,0.003825
1.6786,280.30812814188,-10.41668677472,3375.29199,3117.01685,3737.47607,12.743752029602051,1.0915571103973387,0.002793,0.003767,0.004096
1.7027,280.26338576655,-10.41028364039,2189.2688,1778.61853,2768.44458,15.752065934410094,0.8491099904022217,0.003005,0.015457,0.016883
1.7403,280.2812041143,-10.36830201043,4563.12842,3745.229,5682.55566,13.471259236297609,1.3440410818939208,0.002886,0.010382,0.004386
1.761,280.31734280987,-10.40408708277,2694.05469,2219.6604,3541.31152,15.697446581489562,,0.00303,,
1.789,280.31547296719,-10.41009264321,1737.86255,1521.35339,2089.7561,15.889020215621947,1.1052719225387573,0.002955,0.01704,0.012216
1.833,280.29041355605,-10.42688931799,4371.2915,3646.09619,5287.19775,12.415092978942871,2.6587720271606443,0.002885,0.009077,0.004019
1.8375,280.27516437591,-10.36874193707,1796.53052,1618.5769,2016.66724,15.262289542213441,0.8422052842750549,0.002849,0.007599,0.00565
