_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0005,204.87161273951,-57.36394550493,3020.77734,2473.80103,4129.57764,15.309371702659607,1.3181425734634398,0.003324,0.009192,0.006789
0.479,204.85719555362,-57.36572876544,7505.27588,6082.60742,9417.28613,14.034614940010071,1.291557536026001,0.002775,0.003948,0.003917
0.5115,204.88361642292,-57.35839494586,2054.89038,1734.8927,2396.11084,15.503237622306823,0.41247946191024787,0.002833,0.006138,0.005304
0.6241,204.87986763109,-57.35454593623,3186.50806,2663.62134,3783.47119,14.680372745948791,0.9330803132972718,0.002854,0.005285,0.004275
0.6684,204.8779122646,-57.35333904189,4434.27393,3992.13745,5169.64844,13.305934610954285,1.095708949584961,0.002767,0.003125,0.003828
0.7762,204.84945053566,-57.35902092072,3025.88525,2486.97021,3863.10156,15.36243357006073,0.527194203617096,0.002813,0.006407,0.004728
0.8147,204.88589410782,-57.37513736347,1212.75342,1051.98816,1458.53333,16.31217949056244,0.8831816397590637,0.002917,0.013196,0.006837
0.8377,204.87956084674,-57.37724002038,719.642578,701.461975,739.087524,14.041585153198243,0.4609485092468262,0.002771,0.003683,0.004201
0.9287,204.85722197361,-57.35056341606,1451.84985,1320.70874,1613.9751,14.506701982948304,0.3803416603927612,0.002781,0.003666,0.00405
1.0021,204.87384167669,-57.38060918336,5845.76611,4775.99512,7159.11279,14.319064549293518,1.289890372367859,0.002782,0.005811,0.004556
1.0409,204.87600708911,-57.38113590616,1015.61395,825.146423,1321.25964,17.11468719355011,1.4124281003379822,0.003243,0.033009,0.008961
1.1329,204.85418963425,-57.38032488763,2602.81152,2072.41357,3312.24292,15.854329977226257,0.6148781944351196,0.002858,0.009933,0.005934
1.2349,204.8865257253,-57.38289837162,1517.77771,1462.37292,1572.1333,13.096975358139039,0.23699732026290898,0.002762,0.002992,0.003827
1.3044,204.86767677314,-57.34231452155,2644.22729,2161.88794,3325.94019,15.567833778015135,0.750051974697113,0.002818,0.008254,0.00608
1.3053,204.87293380135,-57.34220716553,1284.45337,1234.6488,1339.37097,13.610553878295898,0.17490161258697512,0.002766,0.003336,0.003988
1.368,204.83010696518,-57.36825332907,6850.12207,5348.38525,8715.89746,14.318678814285278,1.4100793894729615,0.002783,0.004377,0.003923
1.3781,204.90615363274,-57.37740183433,1309.42236,1240.14453,1390.49854,14.255122525375366,0.27666651493453975,0.002777,0.003455,0.004045
1.3962,204.91438158182,-57.36082714791,733.930176,590.678894,895.290466,17.83086089237976,0.9677279092330933,0.00402,0.04549,0.013595
1.402,204.8867546171,-57.34205409695,829.9375,762.312805,909.116699,15.965416629295348,0.9195973236160278,0.002861,0.013608,0.005309
1.4352,204.86183706393,-57.38727978491,658.780823,626.004395,700.439209,15.539394983047487,1.0856242949790955,0.002826,0.009387,0.004362
1.4857,204.83843380056,-57.38106208276,748.432983,642.154419,872.592773,17.00083356075287,1.803202674133301,0.003165,0.041529,0.007579
1.4919,204.8458068843,-57.38455301655,3512.59546,3288.10986,3797.66455,12.925593206375122,0.9941884920425414,0.002763,0.003067,0.003805
1.5275,204.88416624702,-57.38849343388,1208.14465,1005.22491,1502.8562,16.390576694969177,0.7783506000328064,0.002929,0.016918,0.008006
1.5937,204.84089148267,-57.34319718542,1504.76318,1445.78442,1559.58374,13.113102589912415,0.3239227097473145,0.002762,0.003003,0.003821
1.6146,204.85681725011,-57.389649305,3205.23145,2369.93384,3741.17114,18.33221350891113,0.7093206538772583,0.004769,0.073183,0.027368
1.6317,204.90904814069,-57.34572674047,7800.604,6183.45605,10037.0234,15.80502537802887,1.2872805342750548,0.00286,0.01213,0.004558
1.6397,204.82726732437,-57.35074771587,1352.27014,1198.17993,1539.76892,15.563618234947203,0.7175074799728394,0.002821,0.007158,0.004887
1.7145,204.83264339942,-57.34460171427,1354.82629,1142.77649,1585.65039,16.130516130844118,0.8498998315734863,0.002874,0.01204,0.006373
