_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0015,276.67347575657,-33.62685643916,6341.80029,5424.81104,7801.22607,14.494914347997666,1.2232827928762435,0.002771,0.003245,0.003989
0.2974,276.67513974771,-33.6221091165,1511.03857,1461.97876,1570.72131,13.9886491287117,0.6194329340267182,0.002772,0.00303,0.003898
0.3223,276.67720296064,-33.62247740799,6531.17236,5291.81494,8117.53418,16.5824053309803,1.1003328615150452,0.002872,0.006378,0.006921
0.3494,276.6804498762,-33.62751410951,1053.77307,1008.00549,1101.05249,15.828575319452284,0.945599784072876,0.002816,0.005835,0.005238
0.5541,276.67022096968,-33.61805089581,906.608154,885.612732,927.947693,14.219854519142151,0.7911103930130006,0.002781,0.003294,0.004261
0.5585,276.66569654595,-33.63354270857,7037.26611,5805.3457,8642.81543,15.1332279822464,1.1563135397939681,0.002788,0.003722,0.004276
0.6456,276.6721305717,-33.63757439847,6447.55469,5078.05664,8153.0498,16.28233784487915,1.2166248114967346,0.003006,0.010663,0.007442
0.6728,276.6799215609,-33.63673050741,1650.44922,1460.26074,1899.94092,16.537167632556915,1.0308709356431962,0.002926,0.00735,0.006171
0.6967,276.66160342802,-33.62081204266,5246.11914,4574.37305,6080.65137,14.450409439308167,1.100399143008232,0.002773,0.003292,0.003913
0.699,276.68738300903,-33.62544646687,1124.25745,1108.04407,1139.42432,11.566893814620972,1.2324310515756607,0.002761,0.002931,0.00379
0.7521,276.68792851042,-33.62330688338,4012.26123,3483.01245,4606.57617,14.73057035817337,0.8963930796146393,0.002778,0.003677,0.004171
0.7721,276.68879098972,-33.62501874363,1002.22363,964.183594,1047.38281,15.703214692770004,0.9317085419931412,0.002843,0.009583,0.009746
0.7725,276.66071885897,-33.61962469827,7692.2876,6297.24902,9829.75098,16.75640804781914,1.0758274320611954,0.002956,0.007676,0.005995
0.8561,276.684993844,-33.63745646764,4356.23438,3445.86279,5357.36719,16.15423734779358,1.1488999691324233,0.002845,0.011408,0.004706
0.9424,276.69150577372,-33.62220059519,5911.05713,5066.16309,7102.94092,14.785485989376069,1.2496286386518478,0.002812,0.004573,0.004668
1.0185,276.67387586206,-33.60990204885,6161.2959,4491.94971,7532.66797,17.96752747018051,,0.003543,,
1.1018,276.6524756754,-33.63242553451,3309.44995,2828.89258,3977.76807,15.91080221465683,1.0108149286346435,0.002824,0.00436,0.004974
1.1113,276.67185119881,-33.64534535945,5114.81445,3624.9458,6089.87939,19.633767322652815,0.37387496350288396,0.006679,0.094008,0.139407
1.1336,276.66151863173,-33.64292046631,7529.5293,6027.67334,9060.22949,15.522957991531372,1.224147850455284,0.002799,0.004338,0.004317
1.1743,276.65016940255,-33.62927651625,434.575317,425.507874,443.217377,15.441185926706314,1.5775550670280456,0.002859,0.004731,0.005108
1.2239,276.64944981406,-33.62298142328,5165.80273,4783.71875,5512.5127,11.646349690172196,1.914397884405136,0.002896,0.004948,0.004324
1.2505,276.66127544748,-33.6450627196,7318.71289,5727.65723,9262.94141,16.88698102154541,1.0359709187288284,0.002954,0.013595,0.006967
1.2749,276.660274646,-33.6450474919,1872.77502,1618.14893,2084.59644,15.866286359405517,0.7781646770658494,0.002836,0.006644,0.004634
1.2829,276.69655337533,-33.63629070388,1485.96802,1379.60364,1590.49231,15.710392189331056,1.2102474532022476,0.012712,0.039246,0.036368
1.3264,276.69946120372,-33.62226098821,5065.31152,4388.36914,6243.71777,14.88097327989769,1.1754835891780853,0.002777,0.003702,0.004161
1.3335,276.65087722691,-33.61507877971,1075.86597,929.518494,1233.33191,17.43137184078598,1.346994495967865,0.003079,0.026001,0.010799
1.3339,276.66367371081,-33.64754609082,4010.36328,3460.46777,4920.74072,15.309460094640732,1.1337115234441757,0.002798,0.003986,0.004093
1.3379,276.6751508542,-33.64912965187,6844.93555,5465.89258,8784.51758,18.3090510190258,0.7569558369264603,0.003881,0.030846,0.020784
1.3431,276.65593295569,-33.64382277311,8058.20947,6232.78613,9943.83008,15.874712626651764,1.1846522195091247,0.002826,0.007169,0.00487
1.4055,276.69143400484,-33.60882891756,8121.27881,6729.78955,9702.36621,16.04134425835228,1.1131751112308501,0.002861,0.005324,0.005204
1.4083,276.675496771,-33.65028732423,1939.05225,1791.48755,2177.12598,15.524250700702668,0.7936040768518449,0.002802,0.004282,0.004386
1.4343,276.66667895126,-33.65009585344,2147.89185,1828.07251,2504.12329,16.482494378089903,0.8061494369354247,0.002876,0.005491,0.005848
1.437,276.65683571833,-33.60735247875,1372.27039,1189.49707,1645.72876,17.430724842529298,1.477271740240097,0.003077,0.017555,0.00766
1.4512,276.69796509938,-33.63991243085,8714.31445,7366.9502,10524.6992,16.184407859287262,1.283455946056366,0.002862,0.008091,0.004708
1.4558,276.6635491749,-33.60406837118,1645.17346,1591.26648,1713.17407,14.000167244693756,0.6857522604341507,0.002774,0.003224,0.00389
1.4731,276.64507763588,-33.63341777088,6089.01904,5102.00293,7506.67773,14.861600628555298,1.0774764951353073,0.002778,0.003819,0.004322
1.4764,276.66603983354,-33.60306508361,3415.14526,3212.13672,3693.64624,13.362726029819488,1.3019666645030976,0.002767,0.003196,0.00386
1.5025,276.70080861309,-33.63736176851,3652.50928,3176.66211,4299.53467,15.690400430974961,1.1191931753892899,0.002875,0.007567,0.005544
1.5052,276.68104965611,-33.6025890984,3091.43066,2692.52734,3664.22925,15.893699726121902,0.9096661619672775,0.002833,0.009084,0.007018
1.507,276.64345399058,-33.62462768174,691.463196,676.897827,703.318298,13.901828791864395,0.7577585050411224,0.002767,0.003378,0.003945
1.5484,276.69444218133,-33.64589850762,7519.69775,5923.50537,9315.32324,15.293162572093964,1.3690105829401016,0.002793,0.005933,0.004077
1.5636,276.64517687523,-33.63797056542,1380.88916,1085.61951,1729.3916,17.94780268154335,1.088666232922554,0.003483,0.031295,0.017153
1.5973,276.64369018729,-33.63650467167,1386.17395,1163.1853,1780.41064,17.096478132213594,0.9002068818283082,0.00323,0.039648,0.014278
1.6136,276.70363482129,-33.63654906511,2173.7583,1949.80798,2492.46265,16.104729902528764,0.7943185436544418,0.002848,0.004777,0.00469
1.6388,276.6857354388,-33.65221622556,7629.79736,5966.5625,9496.2002,17.93590935376358,0.8471139916191102,0.00341,0.018533,0.010207
1.6394,276.70270981282,-33.61443214669,7171.5332,6210.70996,8687.51855,15.038498517398834,1.3393771636419296,0.002799,0.003702,0.00403
1.6471,276.64349677485,-33.61549430717,1442.58997,1401.39404,1495.84338,14.017000905603409,0.6196330497665405,0.002776,0.005673,0.004532
1.6513,276.6430873386,-33.63766024495,1131.70117,1110.61597,1155.22632,12.19308242041397,0.5226624897880554,0.002769,0.002886,0.003809
1.6614,276.642803245,-33.61622188252,5122.69434,4481.83789,5745.01172,14.118132610061645,1.1471162895765306,0.002771,0.003163,0.00392
1.6679,276.70222925798,-33.64103312079,752.70575,740.314148,765.332336,14.119053696676254,0.8140912276973724,0.002768,0.003083,0.003934
1.6785,276.67730892573,-33.59907978234,7667.48242,5504.0752,9310.36816,19.265970304214477,,0.007131,,
1.6807,276.63987082273,-33.62768714099,1254.39819,1207.75452,1299.75513,14.528626718711854,0.7797548236017227,0.002778,0.003493,0.003942
