_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0007,271.57549620709,-24.05494984082,3390.37671,2660.95532,4329.2373,13.889523900756835,1.2745918344650269,0.002904,0.025741,0.008147
0.0436,271.57479896795,-24.05527517653,1233.51685,1053.21863,1516.18445,17.046624929878234,1.2984773912296295,0.004188,0.021968,0.015755
0.1171,271.57449999493,-24.05666490439,3183.14355,2664.15747,4090.96094,13.533044901763915,1.1902508555221556,0.00283,0.008363,0.005191
0.2638,271.57074019791,-24.05432355092,1057.87268,982.890564,1134.54578,16.095653043640137,1.0527960128173828,0.002904,0.008501,0.007425
0.2858,271.57528275806,-24.05018561548,2148.70239,1756.60425,2641.646,15.534091953193666,0.8468799670791627,0.003006,0.016936,0.00631
0.3826,271.57007433304,-24.05895001032,1276.75537,1162.14099,1392.05737,15.776592676128388,0.880580918926239,0.002858,0.010338,0.006202
0.4046,271.58270459856,-24.05645305623,1138.85498,1093.87561,1182.58545,14.74552518852234,0.7605734030170441,0.002787,0.003313,0.005432
0.458,271.57663997344,-24.06250694986,1612.9751,1359.99292,2014.76025,15.743319974594115,0.6630120146293641,0.002998,0.016925,0.009212
0.5015,271.58093388378,-24.04821294278,1814.99597,1574.95984,2140.07739,15.350316548294067,0.78377872290802,0.002924,0.01057,0.008761
0.5122,271.57687201296,-24.04649960363,1304.72839,1207.86816,1411.81763,15.669197905094148,0.8584702947292329,0.002879,0.004959,0.005395
0.5994,271.57219345722,-24.04542393377,1145.63367,1103.52771,1182.69153,14.275537999752045,0.8504180188922883,0.00334,0.00747,0.006978
0.6111,271.58398982095,-24.06155703788,937.297913,908.534119,974.435974,15.034528154613495,0.9191629299526214,0.00279,0.004327,0.004322
0.6323,271.57256901908,-24.04475314247,888.765076,767.025574,1066.427,17.561839999752046,1.2721190188922882,0.004025,0.10907,0.047259
0.636,271.56548976469,-24.06030077462,2216.6438,1894.62305,2635.14331,14.972080907188417,0.6796891931533813,0.002987,0.01234,0.010231
0.6432,271.56820653968,-24.06333850713,169.168243,168.347977,170.069748,14.329673000271796,2.008896000783205,0.002781,0.003677,0.003896
0.6803,271.56518033585,-24.06123840084,1198.55371,1160.99133,1233.63708,14.11672979209137,0.6846580106105804,0.002773,0.00366,0.003942
0.7363,271.58885475407,-24.05351260883,3701.46997,3261.75366,4257.97363,13.01525187411499,1.0028579446868897,0.002821,0.006952,0.004389
0.7609,271.57028920087,-24.04319186323,4408.52051,3516.86719,5417.62988,12.890187029342652,0.18969199138641368,0.00284,0.010264,0.008205
0.8299,271.5617858001,-24.04908774407,3079.51123,2723.48047,3571.98169,12.210691822753907,0.8832245264511109,0.002864,0.024222,0.006646
0.8519,271.56011269029,-24.05295069903,1576.27356,1452.87244,1725.15271,14.24600428606415,0.931994587989807,0.002813,0.005688,0.004926
0.9025,271.57745038004,-24.06988094022,2798.37183,2480.27563,3220.30396,13.628047983291626,0.3860820992965699,0.002823,0.006313,0.004475
0.9541,271.58173462132,-24.06979546822,1956.95337,1804.62756,2179.89087,13.739234267402649,0.6898467632827758,0.002797,0.006766,0.004022
1.0671,271.57849566009,-24.07251894753,1118.74597,927.437378,1314.93628,17.52891664129257,1.4148823619251252,0.003271,0.023944,0.016037
1.0788,271.56715454194,-24.07122748474,627.733459,544.957397,813.692139,17.974981998664855,2.201286000858307,0.003876,0.051795,0.016787
1.0865,271.57081420198,-24.07253838965,1945.88354,1748.52417,2179.21875,14.589447043144226,0.6009059909973145,0.002851,0.006217,0.00473
1.1309,271.58103407164,-24.0731053072,1979.32556,1826.08215,2202.10986,14.136798981842041,0.6738203707733155,0.002812,0.004386,0.004253
1.1381,271.59534623422,-24.04932263392,1260.07153,1161.56519,1341.02185,15.614541131412505,0.9789747480697633,0.002835,0.005555,0.005465
1.1811,271.56943839608,-24.07383378776,1716.05457,1627.99097,1786.8053,12.997865961051941,0.6540060744247436,0.002787,0.003603,0.004147
1.2346,271.58137068083,-24.03507663664,1802.05823,1491.57336,2153.37964,15.207507697494506,0.9002465948410034,0.002932,0.015922,0.006067
1.2405,271.55296488345,-24.05687207456,1043.96765,1010.47638,1084.90027,14.648415718158722,0.831160984933853,0.002788,0.004017,0.005331
1.2746,271.55887854439,-24.06980220414,2415.46313,2004.03345,2843.85596,14.72931828442383,1.704497985145569,0.00291,0.019213,0.005161
1.2995,271.56304583926,-24.03651594095,3428.85449,2877.89868,4084.75342,15.765153023025512,0.7895388075866698,0.005635,0.102343,0.034955
1.3032,271.57479663716,-24.0766545894,2924.79712,2645.62451,3196.7417,12.520270665740966,1.1352227971038817,0.002802,0.00505,0.00404
1.3129,271.57309931874,-24.03317323348,1718.82117,1543.3053,1911.36182,14.45186699031067,0.8649799909019471,0.003384,0.059287,0.004591
1.3224,271.5720536435,-24.03313199105,1438.09521,1384.84912,1502.43262,13.347856700630189,0.48894189275741584,0.002776,0.003945,0.003886
1.3293,271.57314462444,-24.03289443209,1717.52942,1589.89221,1900.40015,14.343388990310668,0.758577990901947,0.004056,0.028974,0.023611
1.3304,271.59882224224,-24.04875305061,1399.31506,1159.43091,1758.69763,15.887620033195496,0.817246537410736,0.003006,0.015214,0.011378
1.3433,271.58661578547,-24.07490325674,1693.63318,1644.59448,1750.79419,11.96707130947113,1.2699387016143797,0.002779,0.004212,0.004201
1.3581,271.56191746306,-24.03601580204,1479.67188,1272.32153,1738.89294,15.655805150848387,0.5599862141952514,0.003137,0.013965,0.008059
1.3827,271.58558786157,-24.07607079815,3259.36377,2687.02197,4213.32471,13.984634602783203,0.6022122938613892,0.003049,0.010727,0.006649
1.3929,271.60081534114,-24.05714631949,1718.04236,1643.28137,1786.21484,12.367749994094849,0.003821054573059035,0.002769,0.003011,0.003936
1.4125,271.58667869441,-24.0761620004,3443.85913,2939.44849,4177.73242,13.239509123596193,1.1388057081069944,0.002913,0.014154,0.01781
1.4155,271.58735714808,-24.07590945858,1783.18591,1633.27417,1968.16858,14.000256886535645,0.49858792581939704,0.002852,0.019671,0.01371
1.4238,271.57266341136,-24.03135658061,2998.92212,2524.41528,3509.3479,13.179197082382203,-0.16561928672027593,0.00283,0.007176,0.005377
1.4477,271.5493603496,-24.05842461645,887.784119,843.607483,943.326538,15.840590006523133,1.0516880187969209,0.002825,0.007373,0.004848
1.4544,271.58757296559,-24.07653562209,1951.0332,1716.87451,2295.64258,15.020790801818848,,0.002956,,
1.461,271.60128710582,-24.06116865932,3177.65576,2831.82715,3651.3269,12.867252318374634,1.1473121734542846,0.002823,0.006913,0.004239
1.4636,271.5502433829,-24.04702066905,1691.36194,1546.55786,1880.99792,14.159392199752808,0.6593182650604248,0.002831,0.006602,0.004704
1.503,271.59081437596,-24.03415781601,1083.21582,1051.4303,1116.57593,13.745399999752046,0.6936610188922883,0.002768,0.00308,0.00387
1.5055,271.6005603342,-24.06525306899,1071.12671,1029.59778,1120.71362,14.999814198394775,0.8956396120815278,0.002814,0.008882,0.006489
1.5234,271.58705692547,-24.03184945704,2091.17773,1914.84045,2299.23242,12.612851971588135,-0.10651758797454836,0.002791,0.004767,0.004771
1.5404,271.58475827791,-24.07918806001,2379.91138,2042.1842,2904.31299,14.967460701049806,0.6190967024612426,0.002946,0.012356,0.00888
1.5631,271.55919721355,-24.0335701748,1810.38708,1598.5929,2072.09448,14.977475119552611,0.6001120151062012,0.002873,0.010606,0.006192
1.5836,271.60200713535,-24.04440776548,2151.08374,1967.41577,2424.77271,13.600971953193664,0.24533096707916258,0.002794,0.003842,0.004248
1.5874,271.60321197335,-24.06269137162,2590.50366,2378.54785,2889.23706,12.63729305317688,1.1991685006866457,0.002806,0.005506,0.003994
1.6176,271.55700056712,-24.033939979,2214.57837,1962.21533,2530.94702,14.255731017181397,1.00381231489563,0.002858,0.012293,0.004691
1.6494,271.5509952315,-24.03898615599,1098.79102,964.80072,1314.14392,17.284068014381408,1.6083840069332123,0.003238,0.020978,0.010371
1.6939,271.57028545381,-24.08277083238,2988.99097,2823.81348,3184.84448,10.96979628514099,1.3719408178176882,0.002793,0.003892,0.003837
1.6944,271.58848590685,-24.02931234851,1759.16675,1527.10632,2015.34705,14.704079990310667,0.7568469909019471,0.0029,0.007749,0.005583
1.7073,271.55902151473,-24.03079962367,2147.09521,1816.24915,2552.19653,15.451267741592407,0.733557885246277,0.003058,0.020484,0.008297
1.7167,271.59028902148,-24.02971704285,2846.66797,2420.52319,3369.57373,12.513182804229736,0.22022084996795654,0.00282,0.008803,0.004113
1.7339,271.60715368527,-24.05519300115,2621.2937,2208.31055,3060.94092,13.86713297996521,0.40785662720489513,0.002875,0.008069,0.005268
1.7455,271.60300929988,-24.06963141314,851.951355,809.854248,898.701782,15.94427201329422,1.1851580187015534,0.002855,0.007023,0.004898
1.7546,271.54363380285,-24.05777876338,1445.34583,1312.68237,1575.5293,14.876262465698243,0.6544795313720704,0.002915,0.006927,0.006766
1.7734,271.60198611941,-24.03794872819,2054.37939,1744.81213,2537.26978,14.158088352157591,0.6207529580307005,0.002911,0.009722,0.005605
1.7778,271.54448376338,-24.0462640609,1242.41528,1067.37622,1471.68567,17.11330391227722,1.459047433927536,0.003224,0.021182,0.008255
1.7942,271.56914295404,-24.02561127389,1736.66956,1592.25415,1935.56116,14.768637990310669,0.6651369909019471,0.002849,0.007388,0.009223
1.8586,271.55875806012,-24.08188367216,1954.44421,1654.01221,2281.82568,15.055147043144228,0.6087329909973145,0.002915,0.009168,0.008428
1.8871,271.57666627698,-24.08637762886,2632.91748,2177.29639,3090.56567,13.859925954208375,0.11673981539916989,0.002853,0.006893,0.00435
1.8991,271.54653348127,-24.037573559,1211.92627,1027.75745,1574.98523,17.150975888591766,1.5186936361141206,0.003162,0.025229,0.00811
1.9025,271.60546224728,-24.07098385675,3509.0625,3250.88989,3952.1499,11.6545997474823,1.324546598335266,0.002831,0.005674,0.004023
1.9275,271.55771640013,-24.08265991807,2346.63428,1943.88904,2847.68848,14.718533783111571,0.5685802152862549,0.002885,0.010297,0.005151
1.9373,271.5512564438,-24.07844395125,1630.91492,1547.26416,1708.47595,12.69211296105194,1.0164740744247438,0.002795,0.004449,0.004004
1.9488,271.57571310663,-24.08742378786,1169.2605,1107.26843,1243.59802,15.517964156768798,0.9300065597953797,0.002816,0.006741,0.005731
1.986,271.61170067047,-24.05313535158,1702.6189,1638.06458,1769.33521,11.985794530044556,1.3363850448150636,0.002783,0.003111,0.003895
2.0217,271.56127752664,-24.08603382039,3915.20117,3134.9563,5005.43359,13.619998611053468,0.4316168691329958,0.002877,0.007648,0.005011
2.0431,271.56755857551,-24.0882134541,809.92981,785.598083,836.913757,14.720284551063537,1.104741392900467,0.002816,0.022882,0.034282
2.0571,271.54171790061,-24.06989709883,633.934448,562.236389,709.510315,17.815281998664855,2.030107000858307,0.003565,0.047503,0.014473
2.0666,271.55900219805,-24.02397453041,564.817688,534.12793,606.920959,16.952322529151918,1.9572445714702607,0.003021,0.016275,0.015221
2.0666,271.60686090128,-24.03579896118,1144.73157,1100.76807,1190.34827,14.145553999752044,0.7526550188922883,0.002783,0.003499,0.005259
2.072,271.61217604903,-24.04650283243,644.723389,536.707642,803.749207,18.20665945833969,3.846844713336945,0.00745,0.124494,0.010941
2.0897,271.61228203784,-24.06418414417,2138.81079,1689.36157,2715.09106,15.354729953193665,0.7713329670791627,0.002992,0.011829,0.008302
2.1031,271.56357695859,-24.08826054416,772.819885,762.583923,781.440308,12.473970021152496,1.099756006837845,0.002761,0.002958,0.003801
2.1079,271.60767122999,-24.03567061263,1331.04749,1132.31226,1604.47156,16.815173433567047,1.1777040697727204,0.003719,0.038145,0.021301
2.1168,271.61038554471,-24.07012470349,1431.61487,1276.68591,1612.96082,15.273983306495666,1.4493110015907287,0.002961,0.01303,0.007657
2.1187,271.61383402792,-24.05025426247,994.324768,963.874268,1031.00818,14.167804294403076,0.7818789596061706,0.002773,0.003476,0.004344
2.1288,271.54264202243,-24.03602151294,1228.87158,1193.33948,1261.69922,13.51974255832672,0.6754659547042847,0.002769,0.00323,0.003839
2.1378,271.57721490002,-24.09054044237,1994.03748,1744.63672,2349.38208,15.254099330421447,0.9956937903518677,0.002936,0.013993,0.006392
2.154,271.53865801677,-24.06745975478,3236.28491,2895.07544,3575.54517,12.87693522808838,1.1631598364562987,0.00282,0.009718,0.004456
2.1685,271.59400085318,-24.08689924189,1654.80286,1386.38574,2031.41492,15.817887974594115,0.8498960146293639,0.003242,0.015622,0.011116
2.1867,271.54522643013,-24.07868957615,1183.41772,1114.50439,1275.02844,15.712303813102722,1.7339667348117827,0.004625,0.021956,0.011561
2.1927,271.54512790023,-24.03115693588,556.93219,531.023315,579.853821,16.42092599080658,1.8107110127220154,0.002875,0.014998,0.004645
2.1956,271.59992807468,-24.02593297848,2745.88135,2502.80469,3075.55469,11.953641490264893,0.742304700439453,0.002811,0.004188,0.003957
2.1958,271.61060324335,-24.03727811046,1560.90942,1427.88489,1794.95325,14.767692608345033,0.7771373841590881,0.002875,0.007251,0.004885
2.2097,271.60314460897,-24.08176881304,1087.13135,918.556458,1291.83203,17.579096776042938,1.6440534742507935,0.003277,0.039422,0.02167
2.2765,271.57506752049,-24.09288329112,1743.3335,1566.19702,2017.87964,15.067493961051941,0.7565070744247437,0.005264,0.043355,0.028119
2.2819,271.56909112084,-24.01736615109,1093.41028,979.854248,1234.38171,16.471759999752045,1.1028650188922882,0.002936,0.00842,0.00585
2.2827,271.56776286007,-24.09232673788,2317.11353,1908.39648,2897.66675,15.190890001495362,0.9850121078567504,0.002912,0.01557,0.006853
2.3173,271.54341137893,-24.08009926514,1861.82483,1570.40259,2216.02417,15.3244997111969,0.893704267829895,0.003255,0.015743,0.015114
2.3184,271.53933395453,-24.07499774859,857.197083,832.134216,882.628235,14.850325006523132,0.9032920187969207,0.002783,0.003122,0.004225
2.3546,271.5986752673,-24.08799925019,1042.22534,968.83728,1122.21301,16.580487043640137,1.3569600128173829,0.002999,0.013279,0.006862
2.356,271.61348595802,-24.07336428089,752.815491,694.233704,810.975525,17.096695266498564,1.5827697326850891,0.003059,0.015846,0.011458
2.3754,271.55351403268,-24.08906426311,2283.55396,1926.04858,2776.26562,15.206639506393433,0.7748102471237182,0.003065,0.010405,0.012219
2.3785,271.55568362196,-24.09021314699,1582.62048,1366.75781,1945.60266,15.761256879974365,0.8202550579528809,0.00305,0.017021,0.007364
2.408,271.6193829981,-24.05730026812,2604.40918,2425.44678,2845.90283,11.690956371627808,0.7099316389389037,0.002781,0.00322,0.003882
2.4149,271.53270958665,-24.06457350637,2750.87549,2400.17261,3232.69019,13.668867836196899,0.5041816817474365,0.002853,0.0095,0.005026
2.4183,271.61571242553,-24.07158098324,1170.87366,1133.85864,1203.50391,13.938753491355897,0.6820900727844239,0.002794,0.003896,0.004041
2.4231,271.60859659353,-24.08174200776,1423.68701,1381.72961,1474.45215,12.18260317854309,0.15216018175888069,0.002943,0.004327,0.005286
2.4326,271.53133106718,-24.05089841882,1501.48254,1292.69958,1697.56055,15.58716510383606,0.5374660388336181,0.003013,0.014028,0.010986
2.4363,271.6197523261,-24.05900963524,1937.86047,1843.20862,2060.85059,12.23706372215271,1.2176714284820558,0.00279,0.003357,0.003844
2.4567,271.60139198007,-24.08838036288,1375.2019,1203.07397,1622.71594,15.890166871170045,0.9780692737731933,0.003012,0.015559,0.014579
2.4778,271.56732222073,-24.09555863823,2523.75659,2355.56519,2679.3667,11.895005747329712,1.1053212658920288,0.002777,0.003555,0.003944
2.4846,271.54963993324,-24.02093392259,1156.63586,1061.28503,1259.27625,16.366095014381408,1.2178750069332123,0.002903,0.010464,0.0071
2.4877,271.6008482464,-24.02054227593,2422.44067,2170.6748,2641.54077,12.401552733505248,1.0723748375320437,0.002861,0.005907,0.004219
2.4916,271.55997835189,-24.01591487675,1715.63281,1526.60059,1904.12512,14.78897319824219,0.7533200733566283,0.002941,0.012075,0.011662
2.5003,271.59643139603,-24.09197957861,2561.72803,1942.58691,3223.40356,15.2041582210083,0.45880798757171637,0.003185,0.021546,0.007768
2.5109,271.5422603834,-24.08374941872,716.489319,609.184937,887.644592,18.279848021152496,1.9302000068378447,0.004036,0.074526,0.019956
2.5179,271.59884957843,-24.01879758797,1218.96936,1085.92188,1365.31702,15.68723742530823,1.5163129547576903,0.002873,0.007486,0.005372
2.5318,271.56839635207,-24.01325036179,1651.15881,1560.9762,1766.28931,13.37292099031067,0.6046529909019471,0.002794,0.007441,0.004032
2.5341,271.5893169922,-24.09525331849,2666.10156,2126.46826,3435.31763,14.670179983291625,0.2007100992965698,0.002961,0.011025,0.020497
2.5368,271.60638241192,-24.0864545736,2903.41455,2458.854,3521.83569,14.168772030685425,0.40605377910614004,0.002902,0.010012,0.005696
2.5525,271.61201084153,-24.08138244478,1661.04272,1373.59802,2032.2887,15.913966974594118,1.016678014629364,0.003102,0.022235,0.010687
2.5729,271.59719688702,-24.01691261248,4406.15918,3520.19971,5641.68555,12.41600185444641,1.4905738610076904,0.002853,0.009091,0.005857
2.5753,271.60093396764,-24.01884621779,1121.73645,1009.0979,1262.58655,16.450685999752043,1.1879190188922881,0.00292,0.005532,0.007014
