_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0008,272.27389148548,-19.84796635804,2254.00513,2093.07715,2442.67798,11.466330923217773,0.680082287979126,0.002875,0.00593,0.004268
0.6163,272.28383060069,-19.84371010092,984.023804,960.691345,1007.81647,13.073886661041259,0.8732992797012329,0.002765,0.002974,0.003865
1.0556,272.28276820113,-19.86343918717,352.491791,349.480255,355.152863,8.353244012750626,-0.042016975414276125,0.003151,0.006431,0.005991
1.0728,272.26503052722,-19.86377592213,1453.32922,1350.74792,1579.01221,15.28138145136261,1.9107532154121398,0.002866,0.01866,0.005254
1.2318,272.25399102198,-19.85639585405,907.690491,729.240417,1155.51355,17.658622430892944,1.5900433025627136,0.003946,0.170098,0.014566
1.2784,272.28843735338,-19.86428480738,1055.98474,989.737732,1121.18347,15.628496441726686,0.9904443936004639,0.002921,0.016848,0.006172
1.3066,272.27809587744,-19.8265408944,390.998291,367.606171,416.886017,17.289143037956237,2.2975830309467318,0.003327,0.048798,0.008203
1.3237,272.26023445626,-19.86589439155,834.090881,799.415894,877.513245,15.368573383605955,1.016540449584961,0.002832,0.011495,0.004662
1.4299,272.25949231799,-19.82834309551,2220.24927,1857.99646,2617.81445,13.119728105682373,0.8439967171936034,0.003059,0.02753,0.013783
1.4375,272.283918192,-19.8699776946,1183.20264,1141.02405,1228.68225,13.69871502550125,0.8233250491714477,0.00277,0.003663,0.003897
1.4441,272.28995055824,-19.82921941339,1242.94556,1045.04749,1499.9668,16.729070516204835,2.2258922975959776,0.003673,0.100541,0.009671
1.5125,272.25468133833,-19.86553710568,1256.19727,1206.24097,1300.02295,13.797811082351684,0.5918497997512817,0.002775,0.0035,0.003968
1.548,272.29924134128,-19.83811166034,1297.89331,1053.2406,1688.59497,16.671905088882447,0.86551258543396,0.00338,0.060355,0.010205
1.5698,272.28249713234,-19.82307665626,1543.08264,1361.578,1785.2041,13.153752537307739,0.7201314068679809,0.002937,0.014716,0.004935
1.62,272.29727127256,-19.86361602354,1895.65063,1690.11633,2234.69385,13.439916265350341,1.294128231323242,0.002919,0.033608,0.00943
1.6578,272.26935919381,-19.87525431929,347.170013,342.148712,351.671204,7.605312012750625,-0.07722097541427611,0.002789,0.003114,0.003907
1.6666,272.24584740197,-19.83924224484,1384.33667,1303.29846,1446.91895,13.556244145614624,0.41514315401458735,0.002794,0.00434,0.004689
1.6675,272.29393419801,-19.8683725903,516.609375,489.980804,545.2995,16.866906799087523,1.8974814826011657,0.003761,0.039426,0.011277
1.6824,272.30357285664,-19.85052375493,780.59314,692.554382,870.782227,17.23890685279846,1.84029151770401,0.003403,0.039483,0.015123
1.7671,272.25107435048,-19.82778271907,1154.32471,1027.16199,1341.9707,16.51337721774292,1.0542838733024598,0.003146,0.066772,0.009171
1.7846,272.24368739237,-19.85677657337,1829.97241,1617.04626,2063.4458,12.39649190878296,1.5476942935104372,0.002893,0.023899,0.004674
1.8664,272.2626929675,-19.81868363578,1767.67639,1489.28308,2119.41943,13.835581766296386,0.454945135864258,0.003054,0.03115,0.00782
1.8792,272.30577943431,-19.85696074519,1401.94092,1355.82202,1464.55188,13.485179798095704,2.267303764720917,0.002838,0.006735,0.003966
1.9005,272.29047150846,-19.82038834079,2372.66089,1955.2572,2965.3042,12.28478406210327,1.1632576624450683,0.003118,0.033463,0.004471
1.9143,272.25153490356,-19.87195422901,614.675293,605.743225,625.126831,14.202113500785828,1.032812992925644,0.002783,0.003871,0.00899
1.996,272.24663136709,-19.86915611674,2586.12134,2314.77368,2875.71729,10.54557408718872,1.3345802441864012,0.002882,0.016239,0.004112
1.999,272.2983822072,-19.82388934885,1053.26147,1021.36316,1086.16638,13.841194430656433,0.7564546541404724,0.002774,0.003996,0.004066
2.0401,272.28111342968,-19.81463904865,1025.17371,884.101196,1346.57263,17.38345793663788,1.3992090134849549,0.003535,0.054146,0.017255
2.0471,272.26355292234,-19.88065887825,1294.35657,1142.45056,1454.65955,15.7873104280777,0.8782622161140441,0.002959,0.042978,0.008103
2.0776,272.26714213937,-19.81391318193,1059.43799,971.748962,1158.93506,16.416037972557067,1.175399753189087,0.003098,0.017931,0.00962
2.1511,272.23762053429,-19.83692692659,12335.9932,9315.47754,15455.0156,15.70347502005005,-0.3875570853881838,0.00983,0.251179,0.047444
