_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0017,87.14984106514,13.37644232794,231.495926,224.196533,240.657547,17.925203,2.969156,0.003356,0.05263,0.010951
0.302,87.15456143665,13.37846545762,845.753052,822.509216,868.258118,13.928378029262543,0.9085466626529695,0.002772,0.003339,0.003908
0.7603,87.15486643616,13.36472612981,1682.68909,1551.28418,1793.83972,14.982749740314484,0.7818543787937164,0.002797,0.004494,0.005154
1.3956,87.17329160529,13.3809314145,254.824722,253.628357,255.999634,11.745620000135899,0.8525030003916025,0.002776,0.002852,0.003806
1.404,87.1464651305,13.35324606193,1305.74878,1178.87097,1471.49463,16.31673803118515,1.012165031042099,0.0029,0.011708,0.007882
1.5572,87.1438614793,13.40170910215,891.09845,733.52887,1153.49805,18.011152089702605,1.4709440428104401,0.003697,0.04797,0.019429
1.5639,87.14074720318,13.40093418295,581.407654,540.892029,624.629089,17.02570629481125,1.739828025133133,0.00304,0.0249,0.007914
1.6701,87.12600951387,13.39182293031,4317.41357,3788.91235,5207.49219,14.865744899677276,0.3738901187515259,0.002803,0.003975,0.004838
1.7708,87.12168738184,13.38742014109,1775.42944,1713.03394,1840.31506,13.404941581817626,0.6247041691436768,0.002769,0.003233,0.003862
1.7793,87.13945074539,13.4042945378,1883.60974,1580.44336,2191.88306,16.66756998620987,0.9552450190830231,0.00301,0.019823,0.007247
1.8092,87.14087455224,13.34754996317,3169.78564,2774.74854,3589.62817,14.52645100301361,0.7023160133895874,0.002786,0.004332,0.004977
1.9267,87.15783626013,13.34526015311,2036.44507,1848.41565,2309.72485,15.17630298729706,0.5458500073146819,0.002809,0.005902,0.004982
1.9285,87.13596357309,13.34724447885,4420.07568,3553.76831,5620.18945,15.805917025501252,0.5991140491714477,0.00287,0.008318,0.007658
1.9665,87.18128614641,13.36466515496,981.855225,850.522217,1137.33423,17.23111698620987,1.596990019083023,0.003235,0.028442,0.015106
1.972,87.12435423398,13.35483932109,2806.54639,2476.94189,3123.25684,14.816594009784698,1.1091680132942199,0.002796,0.005206,0.004287
2.0603,87.17593819351,13.35330034859,1124.75012,989.003723,1306.67065,16.680890633289337,1.1026283169879914,0.002975,0.030519,0.009168
2.0792,87.13979404258,13.34316668835,3370.41064,2799.83521,4043.04541,15.87946200301361,0.6786620133895873,0.002871,0.008688,0.008672
2.0921,87.13514839796,13.40822038911,1405.41772,1286.33752,1532.65369,15.773502296092985,0.9244363279800416,0.002849,0.007903,0.005399
2.1311,87.17171186643,13.40485264753,2204.51245,2018.27625,2426.43921,15.007678899238586,1.0425556795482636,0.002999,0.005948,0.005461
2.208,87.14743757796,13.33968836526,1819.16077,1670.95874,1990.09265,15.361145024414064,0.7508300013351441,0.002809,0.008128,0.004558
2.3024,87.11221182874,13.3649016496,1585.59998,1297.64062,2063.89575,16.99053260793686,1.0688025565471648,0.003159,0.033736,0.011051
2.4284,87.13163969873,13.3400198988,2291.61768,1860.48901,2834.34912,16.453186480197907,1.2171892261886597,0.002928,0.018568,0.00736
2.4948,87.18902961135,13.39300150718,1265.89819,1075.11279,1547.66577,17.472041037956238,1.2135860309467317,0.003217,0.031878,0.009902
2.5555,87.12843884365,13.33925774509,2161.93018,1963.25317,2378.75928,14.760494674694062,0.7059920904331207,0.002793,0.006524,0.004196
2.629,87.19017011192,13.35691825254,1366.90039,1219.74634,1522.62036,15.879370016555786,0.9106080430011749,0.002839,0.008128,0.004939
2.6825,87.1045406532,13.38395935868,4525.35547,3663.28589,5763.125,16.19389195803833,0.18683800143051144,0.00291,0.009453,0.008609
2.7095,87.1673424011,13.41823951147,1336.50891,1244.07446,1453.61865,15.888314037956238,0.8506800309467315,0.002869,0.008974,0.005682
2.7325,87.1167953655,13.40867586581,1337.82336,1195.03223,1561.59021,16.211329166706086,0.9238172171726227,0.002874,0.009367,0.005664
2.7981,87.12639283988,13.33573800289,1203.57922,1169.40332,1254.96021,14.391469222625732,0.804797884815216,0.002778,0.003271,0.004029
2.8484,87.10138944417,13.38208916795,1346.56641,1217.38586,1507.28491,16.414004979438783,1.1534659893760681,0.002989,0.013725,0.005397
2.8699,87.16729371456,13.42113018862,1765.32593,1600.16907,1973.66504,15.91954398620987,0.7586110190830231,0.002867,0.008677,0.00605
2.9044,87.190914043,13.34910153537,4863.11719,3949.18408,6198.97266,15.685872026588441,0.19209497779846196,0.002853,0.007317,0.005231
2.9489,87.10419873853,13.35534410424,1090.15137,1020.5965,1170.57898,15.561440016555785,0.9273970430011749,0.002831,0.006573,0.005359
2.9692,87.16782146056,13.42270586667,1451.38525,1260.27942,1737.25574,16.651811932296752,0.9451623278388976,0.002921,0.012916,0.006192
2.9803,87.1301378787,13.42224066897,2345.32422,2044.57471,2733.42285,15.35324060735321,0.6349254035472869,0.002823,0.006179,0.005697
3.1031,87.19124569177,13.34398502346,1092.13318,1050.28894,1124.99304,14.48559105367279,0.714478037021637,0.002788,0.004652,0.00431
3.1322,87.09856251543,13.39180749249,1591.23157,1422.86072,1781.52014,15.77380074755478,0.8517422514514923,0.002867,0.008643,0.006154
3.1368,87.1264077834,13.42346550376,2024.36572,1678.70691,2482.96191,16.49651800869751,0.836961025062561,0.002961,0.02457,0.007161
3.1813,87.10004174477,13.39797111844,2402.96729,1922.172,3075.40454,16.5585460097847,0.6687900132942199,0.002973,0.014937,0.009002
3.3083,87.15895332286,13.32199422624,396.596008,356.671356,445.282593,18.456887237281798,2.521541030805588,0.004055,0.142008,0.022711
3.3552,87.09333006205,13.36617677026,2040.90796,1555.25574,2526.71558,16.746199987297057,0.9363320073146819,0.003025,0.017438,0.010076
3.4113,87.20173073884,13.35027408439,2783.06299,2272.03516,3624.78882,16.626176076812744,0.6660558150768281,0.002973,0.018879,0.009505
3.4478,87.15479199209,13.43367510487,3039.1167,2741.74487,3487.5498,15.054918025501252,0.4615380491714478,0.002892,0.005847,0.006056
3.5354,87.20373989309,13.40329122389,1880.87048,1771.4259,2009.88782,14.132458024414062,0.6948160013351441,0.002778,0.003705,0.00965
3.5656,87.14175342387,13.43531940972,1367.93066,1217.84265,1516.33569,15.963229546901704,0.8472221973781586,0.002847,0.011882,0.005959
3.5818,87.08863570033,13.38073271888,2362.15723,1994.69373,2765.00464,15.830528009784697,0.8029490132942199,0.002863,0.008782,0.005365
3.5939,87.19878573882,13.34008656296,619.304321,580.9729,659.921692,16.603177590251924,2.1170746848335265,0.00298,0.025314,0.005301
3.6181,87.11181036133,13.32879790517,2324.90039,2008.96948,2682.93311,15.127793293979645,0.7055467187423705,0.002805,0.005544,0.006216
3.6431,87.17718825167,13.43099343841,2365.21558,2304.34033,2440.63989,12.252270251850128,1.114951786781311,0.002762,0.002938,0.003851
3.7044,87.11714051149,13.32350202936,2039.9718,1795.4231,2322.39258,15.843650000839233,0.7799929773216248,0.002851,0.006974,0.006967
3.7331,87.18439539433,13.42876832197,1521.70276,1416.91113,1642.81555,14.910366963722229,0.8126019833011626,0.002788,0.004342,0.004154
3.7388,87.21279499049,13.38788366691,1094.94824,914.013,1439.2373,17.970243135658265,1.680298193687439,0.003688,0.078158,0.020538
3.752,87.12330589554,13.43337308353,1261.44531,1202.30884,1335.59216,15.349650037956238,0.9403640309467316,0.002803,0.005801,0.004522
3.8772,87.08352732473,13.37267136554,768.247253,719.111816,835.789551,16.56636900869751,1.551571025062561,0.002964,0.021364,0.00758
3.8885,87.17787313729,13.43520474839,1681.43518,1565.04358,1789.79578,14.72561998620987,0.6912760190830232,0.002787,0.004072,0.004099
3.9019,87.16705114491,13.31357713638,304.973053,297.50592,313.932495,17.18277963325739,2.328400307480812,0.002945,0.021575,0.005899
3.9748,87.08708276558,13.35070500516,1731.57251,1655.32397,1828.05176,14.289388992980957,0.8159630189876557,0.00277,0.003252,0.003922
4.0429,87.08297300235,13.3939922149,2689.20776,2239.32617,3338.10254,16.3607270097847,0.84082901329422,0.00293,0.013471,0.007828
4.0636,87.1400821631,13.44347316961,1588.84534,1447.28601,1773.76318,15.72398796372223,0.8837679833011627,0.002828,0.00722,0.006028
4.1029,87.09291212444,13.33630796116,2939.34839,2552.30713,3555.02173,15.430850031185152,0.729381031042099,0.00282,0.006294,0.0047
4.1455,87.21938772282,13.3903948045,140.822495,138.809402,143.076355,17.462526,2.943842,0.003117,0.032542,0.006546
4.17,87.09907180597,13.3275202199,1380.12207,1241.80566,1541.77454,16.285547992980955,1.0929510189876557,0.002971,0.015082,0.007576
4.1791,87.20818257091,13.33605524779,2734.4209,2211.69629,3500.36719,16.809804397888183,0.6105492242889405,0.003058,0.016295,0.011777
4.1831,87.0781980986,13.37823063998,1900.75354,1591.30127,2494.41626,16.973554987297057,0.926965007314682,0.003129,0.021901,0.007731
4.2492,87.2123787987,13.41266141087,738.925781,727.406799,751.809509,13.510858045051574,0.7180278912467957,0.00279,0.003785,0.004202
4.2821,87.15726485698,13.44741579039,2786.33203,2517.64014,3086.50513,14.868123025501252,0.48380904917144774,0.002794,0.004199,0.005178
4.2861,87.08057314015,13.40013762555,276.608948,263.321686,291.857117,17.74123248348236,2.916691744608879,0.003462,0.157838,0.011413
4.3078,87.19230923782,13.43513266822,1622.43604,1472.68188,1915.72705,16.238299620223998,0.8743894491024018,0.002892,0.010215,0.00724
4.4695,87.11673465119,13.44358686557,4358.15723,3788.06128,4956.28857,13.82984600301361,1.0877240133895874,0.002774,0.003855,0.004331
4.5156,87.09355207494,13.42805052157,1807.8501,1701.56116,1940.90576,14.315022872154236,0.7355782467288972,0.002785,0.004141,0.004232
4.5415,87.2234861838,13.40082736463,5897.09521,4928.82324,7056.81787,14.189340018730164,1.0522159896621703,0.00278,0.005666,0.003923
4.5624,87.15720115823,13.45211726965,462.676056,451.295349,473.818634,15.70510484482956,1.5671190990409851,0.002831,0.009843,0.004641
4.5626,87.10767143486,13.44044781538,1514.7937,1345.61829,1783.08545,16.38843216891861,0.9344800654392242,0.00289,0.014701,0.006913
4.5628,87.09252763744,13.42813670923,4189.53906,3813.21533,4567.58008,13.43826000301361,1.0745920133895874,0.002769,0.003939,0.003853
4.5821,87.21769820349,13.33803924797,2676.42017,2317.79907,3181.29858,15.756129680595397,0.7933960985469819,0.002848,0.007637,0.005758
4.5903,87.21243017195,13.42273407451,2715.4541,2425.54858,3105.97729,15.331887950180054,0.6341489834918976,0.002819,0.005082,0.00481
4.6007,87.1707493158,13.30248601251,1348.26428,1112.26831,1692.3512,17.012985000839233,1.1660929773216246,0.003127,0.018874,0.009082
4.6068,87.19961252193,13.31683603031,423.840393,407.498444,441.206146,16.587471393276214,2.0063858751888275,0.002944,0.01924,0.005833
4.6185,87.13287252755,13.30122948516,934.373718,827.21814,1077.83777,17.362996022239685,1.5931120248718262,0.003705,0.055441,0.011479
4.644,87.09453429227,13.43206332372,277.547058,254.825714,303.958099,19.178412022500513,2.7789663735096455,0.00486,0.172233,0.022953
4.6854,87.11995309083,13.30394053683,1597.25098,1351.8833,1921.0293,17.40709196372223,1.1606339833011627,0.003182,0.032805,0.014126
4.7216,87.17217950991,13.30078328154,2668.28491,2211.99829,3123.84033,15.78974303118515,0.652476031042099,0.002841,0.005714,0.00574
4.7316,87.11769788737,13.44881330825,1457.32483,1370.79626,1589.27527,15.112689000839234,0.7882239773216249,0.002795,0.008874,0.004735
4.7396,87.12118813484,13.45032871643,354.617401,334.446411,377.492645,18.029175498794554,2.6944375573587416,0.003789,0.068623,0.008818
4.755,87.22893073638,13.39539087738,906.695618,894.732727,918.510498,12.633299116371155,0.43902618805503846,0.002769,0.002948,0.003849
4.7798,87.20867922757,13.43182162245,3733.53296,3132.57056,4413.55469,15.448149092964172,0.22833003730773926,0.002844,0.00543,0.005321
4.7803,87.11208348404,13.44711828261,2013.08313,1755.51331,2535.74512,16.05909800869751,0.7868100250625609,0.002871,0.011473,0.00715
4.7874,87.18210418385,13.44977199449,1289.60632,1241.05554,1351.30078,14.402031996238708,0.7227525143585205,0.002781,0.004049,0.004503
4.8511,87.07194457388,13.40461297478,618.671875,515.039978,742.689026,18.43538213809967,2.1654848414039614,0.004414,0.071855,0.024047
4.856,87.07416331402,13.41004264221,578.288452,497.607361,745.109131,18.227201978351594,2.0898239713420868,0.004029,0.083484,0.022749
