_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.001,138.22844273593,-48.49712949327,3253.32275,2038.88806,5292.60498,10.837541112060546,-0.9313632865905763,0.00422,0.164356,0.014704
0.4635,138.22605790332,-48.48958434316,1094.08301,1076.97375,1108.82202,5.682681051391601,-1.658908548553467,0.002777,0.00384,0.003835
0.8519,138.23380526785,-48.48339786291,417.284851,413.678558,421.109894,6.0354658826904295,-3.3124718104858397,0.002767,0.003319,0.003874
1.3926,138.19411801772,-48.49255547482,644.243286,614.481445,686.639465,9.388309957519532,-2.1264959190063477,0.003033,0.028619,0.009392
1.5345,138.19754188065,-48.51246624472,461.986176,423.204468,508.427643,10.629194445800781,-2.0552558383483888,0.003622,0.073344,0.01525
1.8928,138.26910356067,-48.48073914094,590.13446,563.20813,624.974609,8.752745056152342,-2.5952090984191893,0.002895,0.019968,0.005842
2.1039,138.1762489687,-48.4914145734,742.417908,644.656616,908.629578,10.555727148071288,-1.823741156829834,0.003758,0.071438,0.012928
2.2812,138.27112664725,-48.52256531325,996.390015,906.068237,1093.4552,9.518293667602538,-1.1533120535583494,0.003071,0.072644,0.009075
2.5712,138.26430894779,-48.46148949737,878.5271,793.364441,999.463684,9.38911975390625,-1.3729180783996582,0.00307,0.063802,0.006858
2.5734,138.27721397887,-48.46895311078,901.333435,767.858215,1050.16138,10.170135371704102,-2.095115788726807,0.003419,0.083821,0.015468
2.5994,138.21027552407,-48.45553107624,1613.33972,1413.40222,1821.48218,8.9158357131958,-1.8301422615356446,0.002936,0.035915,0.005786
2.7215,138.24555061161,-48.4532277002,1799.70886,1750.53772,1852.05896,4.359804074401856,-1.1037563829345705,0.002799,0.003399,0.003848
2.7922,138.22920840957,-48.45061114877,1868.61292,1784.22156,1948.20703,6.921567912414551,-2.2042198568725584,0.00279,0.005298,0.003938
2.8705,138.2238116297,-48.44940235064,1624.62366,1391.09985,1938.01892,9.281982420166017,-1.8361002291564943,0.003,0.035903,0.007561
3.0626,138.21570459513,-48.4468063871,954.586853,849.922729,1085.51086,9.685393366394042,-2.0575615938415526,0.003122,0.045752,0.008883
3.1676,138.22859774962,-48.54993948837,1043.38721,890.776978,1271.00464,10.546681100646971,-0.8187075990905761,0.003637,0.105055,0.012672
3.261,138.17431065565,-48.53798553013,1658.91431,1547.90942,1775.15161,8.324795676452638,-1.078982510925293,0.002832,0.027547,0.004237
3.3292,138.157039205,-48.52614342922,447.496796,444.015625,451.13385,6.987380321777344,-3.0128952090759276,0.002767,0.003731,0.003932
3.4835,138.15497475347,-48.52879589357,908.915833,879.487061,940.875,7.812577626342772,-1.4110955239257814,0.002802,0.008859,0.004003
3.5471,138.14714248736,-48.4728411356,568.392273,497.001831,642.886719,10.643345456115721,-1.954359414337158,0.003783,0.09758,0.017399
3.5496,138.27389892242,-48.54807509393,1858.57007,1595.14331,2126.56982,8.640709417419433,-0.30302870410156224,0.002972,0.060152,0.004645
3.6062,138.20217594173,-48.55467489031,1429.90002,1165.29395,1870.82812,10.482903856994628,-1.179214904724121,0.003326,0.081481,0.013255
3.6748,138.19156694474,-48.44099216214,1023.05511,890.872559,1194.0968,10.178760259277343,-1.8730280451660155,0.003389,0.063414,0.012826
3.7172,138.28420878205,-48.44743038387,771.454285,765.357422,778.338135,4.223471909362793,-3.1905235849609372,0.002768,0.003018,0.003807
3.7294,138.18804396521,-48.44105757296,475.122162,456.362762,495.342438,9.033128390258788,-2.4299164101867676,0.002955,0.026704,0.007466
3.7428,138.30488445482,-48.46076007453,974.998047,868.876221,1117.54553,9.793021690856932,-1.5002349348449706,0.003271,0.099041,0.011357
3.9456,138.13384530902,-48.5170408881,692.576172,664.464844,716.018799,8.790374892333983,-2.2887320061035155,0.002981,0.016312,0.005471
3.9718,138.22091707812,-48.43113798589,1787.58643,1560.92322,2116.60571,9.214186702819823,-1.970929790527344,0.002989,0.037404,0.005802
3.9912,138.29406315684,-48.54750794347,522.216553,496.684235,556.706421,9.699235453124999,-1.9300166630249023,0.003288,0.046193,0.008961
4.091,138.2689284699,-48.43446670507,958.857056,915.679993,1009.37665,8.179091004028319,-2.1175656452636717,0.002837,0.011737,0.004656
4.1932,138.31826985993,-48.53380652339,567.250122,563.004883,571.374268,4.984674539672852,-3.65777135546875,0.00276,0.002852,0.003818
