_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0002,106.3884488336,-29.80250480596,593.061523,547.055603,646.027344,18.433805000543593,3.28728400156641,0.00324,0.062071,0.007477
0.1967,106.38467149621,-29.80265397901,2961.3252,2670.98755,3197.93896,15.961068995131491,0.8320810093030929,0.002789,0.004173,0.004342
0.4366,106.39195449075,-29.80911557114,5607.82666,4228.49756,7028.58105,17.783181995131493,0.537829009303093,0.002968,0.013178,0.011188
0.5056,106.39685951628,-29.80671427709,3675.74463,3084.68335,4649.14502,16.878142995131494,0.641069009303093,0.002837,0.009064,0.006637
0.5421,106.38936292006,-29.81150600242,877.515137,776.30188,976.546021,18.423914001223086,2.2664660016617777,0.003368,0.051888,0.014362
0.6487,106.38128718759,-29.81135535667,2592.29224,2110.68921,3352.78809,18.089575995131494,1.200842009303093,0.003063,0.020639,0.009584
0.6694,106.37631680338,-29.7988046933,1988.26172,1612.59827,2401.9397,18.436718009760856,1.0981520122451782,0.003237,0.027829,0.021485
0.7186,106.37891703714,-29.81117111396,444.917175,402.799805,476.870605,19.141816000135897,2.5094210003916024,0.00359,0.073353,0.010656
0.7627,106.3760552337,-29.80928913823,6049.53223,4821.50928,7713.95801,16.70245699513149,0.770271009303093,0.002822,0.006752,0.005598
0.7897,106.37427397461,-29.80719520428,1598.32422,1472.55981,1772.21106,16.7088099945879,1.0137669928355217,0.002817,0.006201,0.005216
0.952,106.40644594963,-29.80529824968,5171.04492,3983.52222,6495.39111,17.148501995131493,0.641281009303093,0.002866,0.009481,0.006831
1.0526,106.3961977527,-29.81870786216,4318.31494,3445.38867,5312.51074,16.89771199513149,0.6820200093030929,0.00283,0.006909,0.006077
1.2302,106.37294524301,-29.78703291222,1189.12231,1122.10083,1270.75464,16.923752009217264,1.1042580032281875,0.002831,0.010017,0.008417
1.2632,106.38619612195,-29.8234686614,881.873352,838.509033,923.799194,17.01587000122309,1.4534380016617774,0.002849,0.009641,0.005617
1.2784,106.40428046563,-29.81879028312,2209.77856,2043.58032,2394.74805,16.16076044053364,0.7799342175102234,0.002799,0.005349,0.004318
1.2941,106.36361820591,-29.80353476059,971.225769,907.243286,1025.36194,17.270532994044302,1.4486369987196923,0.00287,0.012772,0.007233
1.3586,106.36525544096,-29.79212646259,1587.97693,1503.29907,1724.29968,16.164650002174376,0.9615650062656402,0.002792,0.004175,0.004376
1.4039,106.4100669051,-29.8164898886,1257.70752,1129.37585,1419.02612,17.583305009217263,1.4907480032281875,0.002898,0.014302,0.006026
1.4682,106.41080571936,-29.81741698099,7127.68115,5447.81445,8981.52734,16.602833995131494,0.5846600093030929,0.002819,0.005535,0.005242
1.5576,106.3975953799,-29.82722246435,819.376221,727.284607,958.847107,18.819538528714656,2.2767233712387087,0.003342,0.046408,0.011925
1.6589,106.38108709238,-29.82940686413,915.606873,800.860168,1074.10706,18.62467702138996,1.9325874737067223,0.003235,0.040928,0.013892
1.829,106.40346321248,-29.77494973201,384.951447,383.366302,386.496582,13.540787000135898,1.0145210003916025,0.002759,0.002878,0.003818
1.8308,106.41285356148,-29.78054191223,3635.95361,2999.9812,4496.63916,17.194389994044304,0.6316719987196923,0.002874,0.010636,0.007716
1.8456,106.42138117222,-29.81388448371,409.894379,405.565125,414.424622,15.833138000135898,1.8138960003916025,0.002776,0.003984,0.003928
1.8664,106.35588490662,-29.78950000659,1173.14868,974.854248,1463.61572,18.872896081264496,1.9848849151854515,0.003464,0.040258,0.011503
1.8916,106.4215383966,-29.78949930534,3141.90088,3020.78418,3299.48853,13.896845995131493,1.159901009303093,0.002761,0.002842,0.003822
1.9617,106.38933687934,-29.76981943772,2348.41821,2091.11133,2685.7395,17.134189994044306,0.8718589987196922,0.002857,0.008912,0.007317
1.9672,106.35774618613,-29.78339630266,1558.72668,1334.50427,1827.16809,18.14748316538334,1.725263749420166,0.003114,0.021073,0.00715
1.9893,106.35024761108,-29.80177690849,2070.70947,1820.95215,2402.3894,17.451330002174377,0.9822920062656402,0.002885,0.00932,0.005767
2.0604,106.38903082719,-29.76817034887,2062.03174,1964.05542,2212.35596,15.569792994044304,0.7091759987196923,0.002778,0.003321,0.004262
2.1042,106.39495069417,-29.76789292267,1656.24219,1457.8894,1870.61682,17.499803001358988,1.3218310076413156,0.002907,0.016278,0.005892
2.105,106.42770266459,-29.81090515591,2414.86768,2223.30127,2649.87598,16.08424099513149,0.754514009303093,0.002791,0.005097,0.004507
2.1112,106.35426922181,-29.78357425703,2603.98218,2407.61719,2835.79248,15.907466002174377,0.6026230062656402,0.002794,0.003972,0.004359
2.155,106.41229612622,-29.77315300658,415.457153,408.950073,421.121185,16.1227710001359,1.9111830003916026,0.002805,0.006178,0.004485
2.173,106.41073399009,-29.83312815312,989.185791,852.497559,1175.71191,18.609328170597077,1.9325591444077492,0.003265,0.032286,0.013841
2.2115,106.3641403691,-29.83273653382,1638.68469,1483.48621,1800.55457,17.153788000679494,1.1914210038206576,0.002851,0.006769,0.005879
2.2147,106.40902986813,-29.77020451897,5010.19238,4761.5376,5286.66797,11.765935994044304,1.8185979987196923,0.00279,0.003273,0.003915
2.2872,106.43129656172,-29.81091330319,3104.16772,2995.82397,3221.77271,13.39494400190258,1.221524001757145,0.002758,0.002873,0.003839
2.2977,106.40666460374,-29.76762839608,267.657227,246.485184,294.981781,19.619026,2.983831,0.004452,0.131911,0.026276
2.3793,106.3728565725,-29.76523037195,1700.61987,1495.74451,1895.5387,17.03785600108719,1.0170720031328202,0.002843,0.007785,0.00526
2.3848,106.42920569457,-29.82064721005,324.092133,322.698944,325.444153,9.976312,0.231941,0.002766,0.002807,0.003785
2.4065,106.35405188926,-29.82930477372,5825.29199,4683.85352,7498.01074,17.023880001630783,1.1053280046992302,0.002839,0.006692,0.005341
2.4148,106.34361015276,-29.81281829385,1932.15283,1631.81262,2253.87231,17.736523002174376,1.0313580062656402,0.00293,0.012258,0.009495
2.4207,106.3439845659,-29.79071375241,5036.24707,4114.59717,6590.81006,16.878962002446176,0.678512003323555,0.00284,0.006952,0.005793
2.4333,106.34171767467,-29.8032902001,551.250427,516.514648,595.793335,18.47866521873188,2.6056624549417498,0.003394,0.06263,0.008049
2.4337,106.39405041123,-29.84277490299,787.145691,774.863586,797.933105,14.984331000679493,0.9470640038206577,0.002764,0.003369,0.003951
2.4346,106.39503487599,-29.84267747946,817.842285,763.310791,878.807861,17.480292000679494,1.7476890038206578,0.002919,0.025651,0.007523
2.5112,106.41092002969,-29.76547669827,1023.26013,984.680542,1073.69434,16.623900001358987,1.3088150076413154,0.002815,0.006761,0.005112
2.5169,106.35217569816,-29.83024396606,818.232056,762.32428,875.14856,17.83996000108719,1.7704810031328202,0.002929,0.016755,0.006812
2.5273,106.33999983202,-29.80515674777,1380.84619,1322.67371,1442.80774,16.06135400190258,0.8892060017571449,0.002793,0.004281,0.004509
2.5314,106.37486610608,-29.84301695336,1702.30603,1549.42529,1916.68848,17.381886000679494,1.0881240038206577,0.002895,0.01038,0.007608
2.5497,106.37066825714,-29.76291097202,4677.05713,3942.30615,5611.37744,16.92832900108719,0.7920210031328201,0.002835,0.006673,0.00516
2.5741,106.43297677487,-29.82115185269,1361.19458,1327.08215,1397.10022,14.8170700001359,0.8374890003916026,0.002764,0.003211,0.003966
2.5747,106.43404756175,-29.81911253291,1990.30579,1813.90857,2247.08594,16.8749460001359,1.0333860003916024,0.002815,0.00914,0.00559
2.6041,106.36657749737,-29.84154192639,7403.75195,6699.23145,8468.74121,14.652933000679493,1.0998160038206577,0.002762,0.003133,0.003861
2.7642,106.41634351301,-29.84170663732,1193.25745,974.698059,1469.91394,18.93638200921726,1.8402280032281875,0.003421,0.041904,0.012299
2.7749,106.43288820824,-29.82804225777,3641.63501,2992.02661,4498.87158,17.138348001902582,0.7826150017571449,0.002852,0.011361,0.009242
2.778,106.42278791442,-29.76707454178,3792.19336,3374.99341,4176.96484,16.094901994044303,0.7948059987196923,0.002788,0.003962,0.004418
2.8041,106.3400228588,-29.82297305541,1022.53973,976.190247,1065.51917,16.57729700108719,1.34685000313282,0.002801,0.006896,0.005045
2.824,106.33583101301,-29.81394939206,3429.99365,3130.66846,3872.86011,15.649285002446174,0.612542003323555,0.002782,0.00453,0.004256
2.8308,106.36858977743,-29.75858574079,4018.37891,3833.14648,4253.29785,13.600460001087189,1.2440840031328202,0.002759,0.002971,0.003801
2.8387,106.44258730432,-29.79693703956,4735.77148,4058.72461,5917.15039,16.40405200190258,0.7687060017571449,0.002797,0.006302,0.005053
2.8521,106.40570345233,-29.84762087794,4929.6543,4130.73242,6145.65088,16.609670000679493,0.6710880038206577,0.002811,0.005279,0.005565
2.8572,106.43377675251,-29.77567500828,2281.86035,2031.73181,2488.59766,16.733535994044303,0.9213179987196922,0.002819,0.005832,0.005095
2.8728,106.42569895812,-29.76719033201,3792.91406,3148.43994,4901.63525,16.852056994044304,0.7457969987196922,0.002836,0.00625,0.00527
2.88,106.42861516225,-29.83551185902,1692.10742,1395.11182,2010.14185,18.6116150001359,1.6144450003916024,0.003207,0.033984,0.013924
2.8821,106.40673481637,-29.84784539591,609.69812,583.139709,646.551025,17.855858000679493,2.098302003820658,0.002962,0.037509,0.006242
2.8841,106.33349312259,-29.80857645413,1350.93372,1195.83142,1519.15479,17.59670700190258,1.3439720017571448,0.002926,0.013031,0.007151
2.899,106.41673413744,-29.84412590137,1172.61597,1014.53699,1548.34875,18.647087009217262,1.6388520032281875,0.003265,0.030674,0.010517
2.92,106.35488378417,-29.84150037167,1846.87292,1751.76624,1953.7179,16.077542000679493,0.9180150038206577,0.002782,0.004458,0.004262
2.9239,106.38449432344,-29.75389533757,2625.34106,2251.30029,3241.78784,17.225698994044304,0.8844469987196922,0.002872,0.007214,0.006455
2.9343,106.41590915137,-29.84521506927,5477.84375,4450.35449,6845.07373,16.448351995131492,0.711052009303093,0.002808,0.004443,0.004947
2.9891,106.33108499821,-29.80044088825,6564.66797,5981.20996,7226.48145,14.504405002446175,1.294975003323555,0.002763,0.003114,0.003858
2.9917,106.41702677487,-29.84576624874,4065.61792,3200.56885,5093.03125,17.197291995131494,0.713141009303093,0.002858,0.010065,0.005918
2.9944,106.34759772748,-29.83764522558,2441.79419,2068.33325,2920.17798,17.652859994044302,1.0405329987196923,0.002902,0.012042,0.009179
2.9983,106.44599553438,-29.80067638779,1632.01794,1426.44946,1891.00525,17.717515000135897,1.3867570003916025,0.0029,0.012705,0.006822
3.0233,106.3487816962,-29.83931417597,3609.64844,2913.14233,4380.01855,17.43716900163078,0.8785560046992302,0.002864,0.007229,0.006714
3.0574,106.33558465625,-29.82470833741,1771.28674,1547.46863,2008.99268,17.50766500108719,1.0654500031328202,0.002893,0.010983,0.00831
3.0725,106.43606856638,-29.83275670324,1268.35938,1127.84473,1411.84326,17.7539640001359,1.6285420003916025,0.002918,0.015959,0.007659
3.079,106.36585028322,-29.75508471404,1069.87061,977.532532,1174.75977,17.83653600108719,1.7315140031328202,0.002969,0.032347,0.008054
3.081,106.44671857904,-29.81146116828,1228.88013,1053.02612,1500.53638,18.6828430001359,1.9094260003916026,0.003258,0.046171,0.01299
3.1159,106.44713606891,-29.81268004877,4081.07251,3602.24683,4805.73926,16.26723200190258,0.6893930017571449,0.002794,0.005288,0.004674
3.1177,106.4033998996,-29.75219172659,1941.13708,1867.09155,2015.90552,14.562227994044305,0.7533959987196922,0.002764,0.003093,0.003872
3.1826,106.34640021925,-29.76401087271,1707.25085,1648.38879,1785.62488,14.780542002174377,0.7496780062656403,0.002774,0.00361,0.004867
3.2303,106.34498082266,-29.76409362476,2132.68823,2096.21973,2185.65137,12.186519002174377,1.1098730062656403,0.002759,0.002824,0.003798
3.245,106.38542274094,-29.7484872112,2008.71252,1910.15063,2110.17285,15.008632994044303,0.7967009987196922,0.002769,0.003216,0.003986
3.2542,106.36815366178,-29.85380704723,1254.08289,1228.54443,1277.52734,14.136946000679494,0.6982230038206577,0.002763,0.002966,0.003835
3.2641,106.44554124635,-29.82498689499,2324.89185,1985.88318,2944.23267,17.757323000951292,0.9889850008785726,0.002917,0.013651,0.010881
3.2904,106.33046379726,-29.82433506538,2641.15454,2270.80322,3057.57959,17.193868994044305,0.9345989987196923,0.002853,0.007463,0.005747
3.3532,106.41339723255,-29.85403017017,2651.16382,2449.43579,2917.14575,16.296677000679495,0.8092750038206578,0.002795,0.004192,0.004227
3.3619,106.42874216486,-29.84629337721,4967.76172,4137.62891,5810.47266,15.850062001902579,0.6847790017571449,0.002784,0.003733,0.004254
3.3902,106.42469715425,-29.84944721638,1002.44702,861.317322,1199.69763,18.8071370001359,2.9468730003916024,0.00331,0.074899,0.008931
3.4431,106.39781572676,-29.85931229491,2089.06152,1823.15857,2397.86255,17.399539000679493,1.0939890038206577,0.002871,0.011779,0.006862
3.4492,106.38664085693,-29.74504034673,1859.40967,1523.97034,2439.36792,18.555516994044304,0.8574149987196922,0.003204,0.03282,0.024621
3.4607,106.44779242983,-29.82849654342,6050.83301,5024.13135,7602.6377,16.30889000190258,0.6487570017571449,0.002801,0.005399,0.004804
3.4854,106.42728204416,-29.75519648568,2233.90747,2094.39893,2392.57495,15.681360994044304,0.7169449987196922,0.002776,0.003763,0.004559
3.4939,106.35995437227,-29.74978596495,2910.44189,2632.10889,3196.99707,16.378785001087188,0.8837680031328201,0.002795,0.00506,0.004779
3.5046,106.33595388226,-29.83908151006,1227.86658,1181.20935,1279.74048,16.077977001087188,0.9643830031328202,0.002783,0.003989,0.004295
3.5047,106.32130572437,-29.7983317278,548.499634,538.628967,557.634583,15.499941464774608,1.3770769308173656,0.002774,0.003732,0.003961
3.521,106.45530469799,-29.79370052226,1587.87903,1563.96167,1614.4696,13.248525009217262,0.7442900032281876,0.00276,0.002863,0.003849
3.5355,106.4155433445,-29.74847906933,3702.02856,3177.65698,4277.14746,16.372212994044304,0.8027389987196922,0.00281,0.004604,0.004917
3.5364,106.45513507354,-29.81370343397,5418.5415,4922.53125,6148.23682,14.66456100190258,1.2001670017571449,0.002763,0.003128,0.003832
3.548,106.34228129267,-29.84601043668,1159.63232,1054.73938,1265.27795,17.45118800108719,1.4431930031328202,0.002882,0.009693,0.005807
3.5584,106.38319627187,-29.86163823859,5374.84814,4432.09229,6695.14941,16.61151700067949,1.1180300038206576,0.002809,0.006045,0.004552
3.57,106.37857995403,-29.74362540714,852.210571,832.083801,873.168884,15.518483001087189,1.0657100031328202,0.002814,0.00414,0.004111
3.5813,106.45354252936,-29.82180789481,2202.1687,2130.06006,2292.60229,15.020817510132312,0.6310608851363659,0.002772,0.003259,0.003959
3.5816,106.34966723459,-29.75320714035,3875.05469,3150.81494,4864.97754,17.29178700108719,0.6867650031328202,0.002879,0.008984,0.006384
3.6237,106.32760109054,-29.77319575061,355.238892,313.248352,413.365295,19.604459000135897,2.7680020003916024,0.004416,0.122278,0.01445
3.6251,106.32516051331,-29.77732900941,4194.3291,3681.40186,5011.33496,16.014662002446176,0.505086003323555,0.002795,0.004579,0.004469
3.6343,106.39996172234,-29.74276505267,666.866455,662.269653,670.917969,12.989659640353679,0.6766064715824127,0.002766,0.002833,0.003814
3.6518,106.325833459,-29.77508899821,2316.41357,2093.78613,2597.84668,16.726636002174377,0.7986370062656403,0.00282,0.00631,0.006097
3.6764,106.32242361992,-29.78079026396,603.1698,547.510315,675.718811,18.739361008401872,2.574556004603863,0.003447,0.093409,0.012375
3.6869,106.36700180958,-29.86107112157,2561.90088,2344.53613,2794.47144,16.073031000679492,0.7658190038206577,0.002788,0.005429,0.004565
3.6903,106.44509491736,-29.8394843692,2841.63013,2381.16089,3485.79395,17.44178700190258,1.1469980017571448,0.002933,0.013006,0.006176
3.7282,106.39680541005,-29.8642173787,801.676331,748.871155,857.305664,17.461398000679495,1.9218860038206578,0.002899,0.023148,0.006092
3.7671,106.32742442306,-29.76878501234,1288.04468,1113.80127,1495.06042,17.762135001902582,1.408036001757145,0.002955,0.014146,0.007475
