_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0012,148.75767603425,-57.0190671564,4726.16211,3586.26025,6945.34082,10.962478940826415,-1.087966984725952,0.002917,0.021827,0.006208
0.2082,148.76207876638,-57.0165685905,812.423035,643.791199,1020.8988,13.130546834106447,-1.1880560849151611,0.004518,0.095015,0.023829
0.3018,148.76084162371,-57.01435574881,1698.4823,1655.43665,1750.78125,7.753944356903077,-2.829470606674194,0.002765,0.002899,0.003831
0.3073,148.76322721153,-57.02322748057,2215.03638,1967.77161,2546.53394,10.551545076293944,-1.542078696975708,0.002841,0.009819,0.004801
0.3158,148.75973023536,-57.0242300066,1824.93152,1606.53662,2033.4176,10.835261656341554,-2.165398640106201,0.002889,0.008996,0.005376
0.3689,148.76872276772,-57.017764206,2890.50952,2534.85205,3244.66113,9.728706043395995,-1.9233007167816163,0.002799,0.004892,0.004488
0.3965,148.74618578549,-57.0211916701,2225.21313,2158.47046,2297.50562,7.155344505950927,-1.4776262530670166,0.002764,0.003016,0.0038
0.3999,148.74687362766,-57.01596451277,2487.65674,2379.38281,2600.19043,8.40133379925537,-1.1048656005096436,0.002776,0.003469,0.00388
0.4674,148.76993659398,-57.02311739625,1296.61279,1273.42297,1317.77979,7.042709302490234,-2.668228611541748,0.00276,0.00288,0.003807
0.8044,148.74533172495,-57.03068256238,1192.2561,1144.75415,1237.50073,9.63952676184082,-2.305630617767334,0.002795,0.004242,0.004499
0.8298,148.78275796605,-57.01683805551,2826.37915,2385.22412,3565.7041,11.039959295410156,-1.5488232287902832,0.00303,0.015924,0.008952
0.847,148.74990723608,-57.00561883004,1191.58679,1011.08984,1419.88147,12.130592167205812,-1.0009280896453858,0.00329,0.048334,0.009106
0.8742,148.73370764325,-57.02555421213,2711.42896,2173.65601,3341.24219,11.34235246963501,-1.4006873739776613,0.003001,0.015762,0.006573
0.8852,148.75537039757,-57.00438528182,1144.15906,1031.04492,1268.63306,10.977020512573244,-1.8840015332794189,0.002936,0.012308,0.006292
0.8882,148.73059228347,-57.01785309701,1694.4668,1418.65369,1986.50525,11.889546615325926,-1.483068052810669,0.003108,0.026773,0.008192
0.9306,148.76689073798,-57.00440559015,2670.95215,2462.58862,2913.21045,9.305859506866454,-1.1905684205017089,0.002809,0.006011,0.00411
1.1021,148.78988767368,-57.01359238488,956.861938,840.242859,1137.84839,12.105917622833253,-1.01750847857666,0.00347,0.046095,0.009997
1.1091,148.76146887756,-57.00071428241,3342.31689,2716.42114,4207.3877,10.604730476226806,-1.2688302145385744,0.002867,0.015427,0.005358
1.1155,148.72933067624,-57.02944768589,1984.41187,1849.85132,2169.39209,10.095234650299073,-1.954383191253662,0.002812,0.004994,0.004602
1.181,148.79383304931,-57.01847145404,2115.25415,1841.81628,2533.49048,10.984784410369873,-1.9014803975982666,0.002888,0.011791,0.005809
1.2551,148.79611521375,-57.01880935731,2854.4585,2424.22632,3557.0564,10.892404996185302,-1.5192766538696287,0.002893,0.010164,0.00519
1.2994,148.76103956269,-57.04066491877,2429.79468,2271.02856,2724.69165,9.802915688323974,-1.9103259454193116,0.002794,0.00569,0.004256
1.3203,148.71753750484,-57.02163436605,1796.58557,1747.31506,1856.56592,8.209629028167724,-2.3847693021697998,0.002765,0.00313,0.003973
