_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0009,127.29504936742,-48.83364176277,6092.3501,5334.98682,7177.47461,13.482834373825073,-0.307104285774231,0.002793,0.004194,0.004379
0.3758,127.30309281401,-48.8303002101,1133.87146,974.507141,1477.82361,16.40423960548401,0.8277516441116335,0.003401,0.046803,0.011542
0.4901,127.30296403545,-48.83995233728,5287.10791,4887.28564,5955.88867,12.469902334609985,1.045646212059021,0.00278,0.003519,0.003869
0.6785,127.30411708138,-48.82404772929,1394.60315,1366.02332,1430.58484,12.60890194972229,-0.07139312129211417,0.002766,0.003242,0.003932
0.8065,127.30557397192,-48.84517925184,4423.63965,3933.97095,5188.04932,14.118691961532594,0.21683364665985105,0.002805,0.00557,0.004282
0.9139,127.30175239087,-48.84823620657,5488.72217,5097.3125,5935.79639,11.754492187927246,0.9901851500091552,0.002773,0.003098,0.003823
0.9179,127.275303573,-48.82559846343,1514.28748,1474.9873,1557.60779,11.904496112197876,-0.46144233911132815,0.00277,0.00319,0.003952
1.0058,127.27143298281,-48.8399186672,1452.33374,1428.87634,1474.44604,10.306620923583985,0.2636197044143678,0.00276,0.002904,0.00379
1.025,127.3139264727,-48.82192709467,1037.99854,1026.84143,1049.46143,9.259697433166505,0.47486541477966315,0.00277,0.002861,0.003793
1.0318,127.27042803928,-48.83939339725,510.678467,459.933105,551.079407,16.778584996810913,0.37125461179351804,0.008259,0.167627,0.063981
1.088,127.27311260926,-48.84461952857,1693.68677,1530.61743,1847.92993,14.723052190475464,-0.015960763427734337,0.002868,0.01502,0.007454
1.0936,127.26909298939,-48.82732658302,1757.62976,1508.21765,2082.39307,16.045416969421385,0.491241963760376,0.003206,0.027139,0.012322
1.1112,127.28409364485,-48.85071282743,1493.02429,1455.63342,1530.31763,12.393056024810791,-0.16316180229949961,0.002765,0.003084,0.003921
1.1489,127.29087061389,-48.81470790035,1013.31439,972.170105,1065.94226,14.382831688720703,0.0754713419799804,0.002836,0.006514,0.005586
1.3552,127.31898340444,-48.8174676186,3079.98853,2764.73999,3333.97144,8.942235021987916,2.5670142695999147,0.003224,0.011548,0.005727
1.3617,127.29651038582,-48.85633017508,2501.32812,2022.75146,3265.07666,15.597818981216431,0.2697295558547974,0.002958,0.011698,0.00764
1.4089,127.30271282712,-48.85659100952,3987.03516,3043.36377,4928.06885,15.207443651870726,0.14972979541778564,0.002904,0.011369,0.00589
1.5642,127.26124256742,-48.82008869411,3320.84766,2719.7793,4170.46826,14.859720813644408,0.5251236156921386,0.00288,0.012659,0.005772
1.7249,127.29265149295,-48.80495091061,1866.81152,1757.18237,1978.33813,13.592721372070313,-0.07537263945770256,0.002784,0.004372,0.004247
1.7741,127.28349498527,-48.80508482669,1648.68042,1386.078,1956.18799,16.07261752194214,0.5285200970535278,0.003186,0.026843,0.011619
1.7816,127.28172017791,-48.86202268673,2202.62891,1961.40771,2689.729,15.115447269622802,0.23666228195953365,0.002867,0.010102,0.00602
1.8604,127.34004635133,-48.84285484217,1494.15308,1313.58838,1835.33704,15.918608399505615,0.3301044234695434,0.003098,0.014756,0.009454
1.8968,127.29185950867,-48.86519968618,2355.98096,2183.1167,2628.88794,14.137968387207032,0.043958936538696314,0.002805,0.005452,0.004564
1.9013,127.27212487701,-48.8615199068,322.032684,314.970673,328.943665,15.227509122772215,1.2551871978836058,0.002983,0.019389,0.00632
1.9055,127.25585902791,-48.85217672073,922.432861,753.956238,1215.0719,16.890531015716554,1.1790695088043215,0.00381,0.077236,0.027245
1.958,127.30905804999,-48.802352473,1912.3064,1636.41833,2292.7793,15.384368081008912,0.35719578064727786,0.002937,0.014483,0.007356
1.9636,127.29066199999,-48.80105750007,1747.82532,1682.54004,1822.25232,12.986465429733276,0.011042421737671004,0.002772,0.003361,0.004106
1.9642,127.25844190277,-48.85581548724,3395.25024,2954.11377,3864.90234,14.394952996948241,0.24189795426177985,0.00283,0.005975,0.004622
2.001,127.27188997871,-48.80399868435,1625.36279,1515.10779,1749.7439,14.854801187133788,0.1090807305831909,0.002861,0.007104,0.005361
2.0635,127.34501969391,-48.82360505256,2377.44873,2201.8999,2567.8916,13.956713537750243,0.3023997839050292,0.0028,0.006229,0.005452
2.1314,127.3391940044,-48.81322196779,2132.19946,1706.66992,2531.92676,15.90797947166443,0.6554115998306274,0.003069,0.024848,0.008146
2.1471,127.29279359052,-48.79790155802,5054.0752,4267.73926,6138.47119,14.389060646972656,0.8055685034790039,0.002838,0.006801,0.004535
2.1734,127.31238139533,-48.79927471798,2358.41309,2099.67358,2785.48438,15.121303447601317,0.5554185135650636,0.002885,0.011795,0.005963
2.1778,127.2871263645,-48.79773676116,1580.57104,1487.11182,1676.78027,14.459859580795289,0.1803495337905885,0.002833,0.006141,0.004614
2.2038,127.27519846506,-48.79933189659,2431.13623,2089.30591,2741.54541,15.085405338378905,0.4112369882354736,0.002875,0.010142,0.024053
2.2184,127.32163241315,-48.86623201418,2138.75854,1901.33789,2379.37134,14.868832823165892,0.1830026790924073,0.002854,0.009296,0.006674
2.2533,127.3462623268,-48.8171028417,1986.85107,1645.07703,2362.45068,15.686485805099487,0.4794103554840088,0.00303,0.012468,0.007399
2.3135,127.26905912829,-48.7991063941,2924.77563,2248.90039,3683.89722,15.811061573699952,0.3711155466918945,0.003129,0.015421,0.009742
2.32,127.24737945911,-48.81107886594,3234.66333,2898.15918,3671.41016,14.291839797821044,0.600091088935852,0.002834,0.007508,0.004462
2.3421,127.25201959276,-48.8605184581,1754.56055,1651.7876,1865.0968,13.666112310043335,-0.16526266447448723,0.002796,0.004087,0.004033
2.3748,127.30086275515,-48.79426015481,2023.78906,1921.31763,2110.51758,13.275027688842773,0.07419080715179449,0.002776,0.003596,0.003983
2.3775,127.2707060776,-48.86989580744,1924.43921,1641.84424,2298.05005,15.731818394500731,0.43184736430358894,0.003056,0.013892,0.006476
2.3871,127.28483141163,-48.87286720943,2630.59521,2382.84766,3088.36475,14.181732497451783,0.4982124420394898,0.002824,0.006212,0.004501
2.4338,127.3375831894,-48.86302163501,3826.92188,3254.04858,4623.74902,14.57127331098938,-0.12533018999481205,0.002826,0.005249,0.006854
2.4343,127.24945150642,-48.80637393592,1961.95996,1600.54285,2373.43945,16.096074629119872,0.7026476249008178,0.003258,0.048792,0.010818
2.4533,127.28021544009,-48.87336005905,879.583374,771.064087,987.664185,16.64707602101135,1.0730761971282958,0.003504,0.055918,0.013682
2.5025,127.30332518255,-48.79230392382,1530.72815,1345.01562,1716.64941,15.71657378907776,0.33830194779205325,0.002976,0.015986,0.009939
2.5134,127.28611562777,-48.79218195154,4832.09424,4215.17188,5584.76318,13.557991676483155,0.6755617590026854,0.002789,0.004145,0.003934
2.5367,127.24026856382,-48.81160624557,550.961914,517.952942,598.424622,16.141632088378906,1.2824791917648315,0.003309,0.078988,0.010145
2.5478,127.33588320287,-48.86654201622,1658.57776,1631.83142,1685.37378,10.14992159942627,0.4085758501815795,0.00276,0.002838,0.003791
2.5495,127.33882474669,-48.86489844407,2939.4978,2794.25952,3154.33984,12.783047804794311,0.45509202838134755,0.002773,0.003444,0.004032
2.557,127.23598432007,-48.85111166684,1259.41431,1202.85718,1316.78979,13.917830783798216,-0.051275019836425795,0.002804,0.006493,0.005173
2.5603,127.3290081049,-48.79730973984,981.674438,854.599731,1192.89624,16.755708136901855,1.0822077005386355,0.00364,0.061131,0.013549
2.5786,127.28130870326,-48.87566891871,1330.85437,1152.49524,1624.58472,16.134092632614134,0.5433107307815552,0.003179,0.037982,0.009333
2.59,127.23008457611,-48.83952341746,601.458984,595.497986,607.049255,12.246796614578248,-0.29526560659790047,0.002766,0.003119,0.003945
2.6266,127.35034986049,-48.80934435048,702.730103,685.077759,718.380676,14.114290691696166,0.35806036252594,0.002801,0.006129,0.00437
2.64,127.2795339825,-48.87645390932,1820.21472,1619.11707,2047.88354,15.218431224624634,0.23824868569183355,0.003153,0.012074,0.007561
2.6504,127.26562962619,-48.79396092812,1599.25647,1570.63953,1622.74573,10.776626211730957,-0.3226325190811157,0.002759,0.002828,0.003813
2.6945,127.25169319282,-48.7989950259,1224.7616,1170.0686,1282.97888,14.032998935562134,0.012261972305297908,0.002829,0.005666,0.004757
2.7306,127.2347848877,-48.8559654983,1736.95374,1492.24365,2142.27515,15.590660770889283,0.15236989809417723,0.003101,0.025013,0.014792
2.7399,127.26393012212,-48.87446957028,1696.74426,1583.23303,1875.18433,14.377614529144289,-0.09621067856597909,0.002831,0.007879,0.008013
2.7869,127.36560975817,-48.83451816329,3598.86792,2964.073,4556.42871,15.345039834106444,0.28767635068511965,0.00289,0.015214,0.007315
2.7963,127.26425133579,-48.7916983243,2511.48022,2084.72803,3168.86938,15.786030019271852,0.14696083995056153,0.00307,0.023299,0.01157
2.8013,127.23117666769,-48.8133854091,1984.58923,1854.58423,2142.46094,13.83194736643982,0.3789192399291992,0.002799,0.005175,0.004442
2.8078,127.34662156563,-48.86588347246,860.248535,844.861938,880.092651,12.901997705368043,0.0904693036727906,0.002767,0.003432,0.003904
2.8192,127.30360315364,-48.78700692083,802.684753,676.778198,1003.98187,17.155887897949217,0.594833969543457,0.004338,0.052125,0.018146
2.8315,127.30635246507,-48.88025842729,895.054626,879.546387,908.772034,12.606830598251342,-0.026165401786804265,0.002767,0.003107,0.003872
2.8358,127.34272117018,-48.86901433171,1338.3313,1222.45117,1491.98376,15.775709582763671,0.7155852051849365,0.003007,0.027024,0.007417
2.8455,127.35788855388,-48.81046275601,750.248474,737.715332,765.11145,13.414050658782958,0.125622338356018,0.002776,0.003395,0.004018
2.8567,127.24194060878,-48.80135171959,4373.39062,3890.85327,4964.27979,13.177526895721435,0.8625432816238403,0.002783,0.004149,0.003913
2.8889,127.23928357604,-48.86481955395,5128.96338,4853.21387,5490.35498,11.09910516242981,1.6885013026962281,0.002811,0.003743,0.003928
2.9032,127.23446177981,-48.80627990172,2003.85181,1801.08936,2330.15918,14.630904794876098,0.3293910237579345,0.002836,0.012998,0.005237
2.9093,127.36772634166,-48.84161715526,954.812073,837.022339,1177.86755,17.020383438308716,1.2468749356231688,0.003814,0.064014,0.011941
2.9285,127.32954144588,-48.79045260633,5384.45898,4465.25146,6823.16162,14.695358538589478,0.9405403573074342,0.00286,0.008549,0.004777
2.9318,127.26477222308,-48.78904842152,1473.255,1422.90234,1533.20129,13.385078633132935,-0.17798166857910158,0.00278,0.003364,0.003964
2.9446,127.36950381506,-48.83101985711,2195.34424,2018.67456,2426.82788,14.275955377563477,0.24457768352508547,0.002808,0.006028,0.004655
2.9557,127.36767601207,-48.84558663328,1660.20874,1563.03772,1760.62317,14.28567646331787,0.23043862368774404,0.002811,0.004305,0.004225
2.9737,127.37003953612,-48.83818454035,1059.20386,941.096802,1180.47253,16.12671319470215,0.9235545967559813,0.003164,0.033779,0.011748
3.0038,127.36971954653,-48.82414164965,5841.82422,5414.09424,6380.59814,11.756360536285401,1.3851119697036745,0.002778,0.003231,0.003823
3.0185,127.3428413659,-48.87293000816,2754.09961,2532.72437,2928.19531,13.644691946105956,-0.01241433496856681,0.002779,0.00344,0.00398
3.035,127.32900313464,-48.78828106426,2029.45081,1809.68787,2377.41968,15.145751235046387,0.5713699655303954,0.002886,0.011335,0.005232
3.0649,127.28827906314,-48.78277002683,2519.65234,2175.68945,2921.6377,15.186910280761719,0.06614397644805914,0.00291,0.011431,0.007232
3.0715,127.22057237859,-48.84839966936,607.257446,597.245178,619.099731,13.143448555114746,0.012357384277343675,0.002786,0.004191,0.004068
3.0892,127.24951476527,-48.79180705416,6113.78223,4995.46436,7889.06006,14.020712874679564,0.8766683777389526,0.002813,0.008092,0.004178
3.1041,127.34913056272,-48.79612417385,1162.66077,1061.14246,1272.21375,15.284877817382814,0.4850241967544555,0.003383,0.016681,0.008257
3.1565,127.25312491434,-48.78887764149,1910.15979,1526.85413,2409.55884,16.03318828225708,0.17615382105255128,0.003199,0.024882,0.011041
3.1653,127.36664573215,-48.80995851044,1032.84998,1014.87964,1054.80823,12.806265861358643,0.0038714099731445017,0.002769,0.003241,0.003968
3.1915,127.36915427826,-48.81245503141,658.649902,621.884094,692.954834,15.492643628692626,0.9324571604690552,0.002965,0.020301,0.004957
3.1971,127.21824080685,-48.81687433147,797.490967,767.074951,824.711792,14.204350387344359,0.24019277181243903,0.003207,0.010228,0.007085
3.2355,127.34313786065,-48.79000416255,5852.19775,4590.50586,7514.9082,14.50981973991394,1.3874280370025636,0.002842,0.013638,0.004332
3.3166,127.21161715974,-48.8399079402,1088.17163,979.714844,1210.64282,15.45419806071472,0.7149506352691652,0.003095,0.025409,0.009197
3.3336,127.37801138593,-48.84394931145,2343.24634,2010.58789,2716.33496,15.605011092224121,0.3376256592636109,0.002978,0.013064,0.008804
3.339,127.37491502039,-48.8154155867,1123.31262,1081.52734,1169.08899,14.045108606933592,0.2764089838943482,0.002798,0.005804,0.004277
3.3793,127.23411122772,-48.79414030998,1207.8324,1181.52832,1235.83252,12.58742424911499,-0.12328839812469483,0.002767,0.003276,0.003937
3.3907,127.21519619695,-48.85442160671,754.393005,713.658691,818.343994,14.966773255462648,0.631646085105896,0.002941,0.023068,0.006628
3.4073,127.29408183107,-48.77687040676,623.799866,563.902405,692.206543,16.656694961196898,0.9704165798568725,0.003547,0.051679,0.016181
3.4082,127.3613888998,-48.87000894492,555.226562,547.262207,561.153015,7.308426045578003,-0.9997060160140991,0.002767,0.002822,0.003791
3.4311,127.31728205946,-48.77837550151,3359.89551,2909.64136,3931.1438,14.630071696182252,0.6086099857635499,0.002836,0.006688,0.004935
3.4701,127.29198265823,-48.77585582298,2662.23901,2427.27197,2908.17017,13.740973138137818,0.359686812286377,0.002789,0.004008,0.004206
3.4876,127.26399649425,-48.77924728791,1131.44531,1111.5719,1154.33862,12.078953306930542,-0.2827563114089966,0.002762,0.002956,0.003829
3.5242,127.37947418216,-48.85272375403,2389.43237,2144.66089,2652.1377,14.396514416992186,0.12267289163970951,0.002816,0.005606,0.004192
3.5492,127.30169197733,-48.8926482428,632.38916,592.339966,691.093689,16.075240962631227,1.1617418109588624,0.003146,0.038467,0.008137
3.5529,127.33171984443,-48.88773681156,1197.82874,1058.0647,1414.22034,16.429647996261597,0.8853169284667968,0.003282,0.037532,0.012964
3.5532,127.25289613547,-48.88597826915,3037.62671,2615.48218,3883.58398,14.967727760131837,0.26605714832305916,0.002888,0.010029,0.005608
3.5598,127.35143869025,-48.78738023357,574.228271,520.797913,636.60321,16.78290161087036,1.3478606628875731,0.003636,0.101602,0.030158
3.5753,127.21391223325,-48.80726817854,2668.15601,2117.6377,3292.76099,15.673472210769653,0.5019216739807129,0.003108,0.032016,0.009469
3.5774,127.20827241583,-48.81661510536,1971.94995,1843.875,2146.35034,13.752161620285033,0.4318139151382445,0.002803,0.00583,0.004094
3.5922,127.25014964224,-48.88572812095,1787.91248,1719.11987,1855.78394,12.93052741481018,-0.26883930635070796,0.002771,0.003766,0.003989
3.5997,127.30357647602,-48.77392465733,2635.73804,2385.63428,2914.90356,14.042730005599974,0.4286253390731811,0.002796,0.005863,0.004494
3.6325,127.33453772324,-48.7789830876,853.282043,766.287903,994.379883,16.33329526802063,1.1130091626815797,0.00322,0.059118,0.010243
3.647,127.29675104084,-48.77288234268,3126.30127,2704.53149,3882.77539,14.894242837066649,-0.05076671469879157,0.002859,0.008183,0.00718
3.6774,127.36807332491,-48.87171120666,1524.34351,1493.97351,1553.20288,11.756095800369263,0.15653969733428963,0.002762,0.003036,0.003851
3.6828,127.23827875294,-48.78498094596,1826.58911,1568.8175,2193.32861,15.611249455017091,0.25257848153686524,0.00306,0.018782,0.009859
3.7077,127.27949774,-48.77271732089,1767.54993,1590.23218,2038.42078,14.7326718828125,0.008317184661865262,0.002865,0.007415,0.007732
3.71,127.38440948482,-48.85277343051,6427.44238,5165.59082,8241.625,14.256487645217895,0.7323085003890992,0.002807,0.0061,0.004236
3.7604,127.2794127438,-48.77183543384,2631.17188,2070.64038,3276.07202,15.70718052760315,0.17797133774566642,0.003028,0.024355,0.013607
3.8005,127.38993556799,-48.84426473289,6355.39697,5275.03369,7711.66895,14.003268613342286,0.7858637739562988,0.002798,0.005936,0.004929
3.8109,127.3487986297,-48.78091678544,1334.9762,1296.7522,1364.68225,12.616232619445801,0.3365356172943115,0.002771,0.004512,0.007966
3.8387,127.30736341479,-48.77019265895,2807.95776,2365.45435,3373.66089,15.104751125946045,0.022076577278137277,0.00288,0.009939,0.006025
3.8703,127.37393982093,-48.87195682992,768.06073,761.470398,776.14679,11.559622324447632,-0.2131427608032227,0.002762,0.002877,0.003813
3.8755,127.26823503458,-48.89579157761,1894.49512,1640.47314,2329.72998,15.674250916580199,0.23430302501678457,0.003017,0.022052,0.008799
3.8784,127.27345148764,-48.77060160591,1874.02356,1656.04773,2208.52759,15.336545365798951,0.12336140550231933,0.002927,0.012885,0.00779
3.879,127.29763893922,-48.89828362562,1410.96533,1371.48999,1476.6842,13.576952564727783,-0.11627666239166268,0.002782,0.004566,0.004386
3.882,127.27736406315,-48.89730049734,679.993896,656.422058,713.777161,14.924349344406128,0.7634123635253907,0.002863,0.010289,0.005751
3.887,127.38296144561,-48.80455501853,1528.1178,1472.97852,1590.7583,13.307188732574463,0.037318261268615815,0.002775,0.003255,0.003919
3.9048,127.38596873312,-48.80811129753,2172.71191,1999.50342,2392.01172,14.480797376556396,0.666723908744812,0.002812,0.008256,0.004733
3.9074,127.22402684081,-48.87900895098,1082.25708,1070.07715,1096.65247,10.880739831268311,-0.4437025587768555,0.002761,0.002858,0.003819
3.9258,127.21975485347,-48.79097078883,1560.1842,1456.8501,1692.31384,14.507621874053957,-0.09306063142395016,0.002924,0.007396,0.005426
3.9277,127.39447171117,-48.83545505311,2836.16284,2672.93408,3021.15381,12.79803900177002,0.5162638824691772,0.002768,0.003264,0.003852
3.9607,127.35240685384,-48.88782361954,2993.17749,2661.75024,3326.09961,14.59784070489502,0.1330993495635986,0.002823,0.005787,0.005731
3.9677,127.35225299436,-48.77930612009,552.019836,545.927917,558.065002,12.932044111816406,0.12225875331115721,0.002767,0.003268,0.004007
3.9677,127.32566385403,-48.77067600601,9018.44727,7808.53076,10464.0459,12.670167215133667,0.45624726420593253,0.00277,0.003458,0.003864
3.9796,127.38149009667,-48.79959442385,1232.14551,1069.82117,1484.75977,16.351545256225585,0.7545333763427735,0.003192,0.027654,0.012051
4.0554,127.36925844783,-48.88040162561,702.474426,680.648499,722.43219,14.357617404632567,0.42108008976745603,0.002815,0.006255,0.005042
4.0601,127.34342101566,-48.77395395241,1492.43579,1418.04468,1587.79077,14.045305659591676,0.05058317991638184,0.002794,0.00544,0.004475
4.0656,127.21041851872,-48.79512104962,428.866058,407.406067,448.837891,15.747874361175537,1.3173637760009766,0.003248,0.052161,0.007496
4.073,127.39775800712,-48.83987176953,1108.05371,1020.16925,1233.79272,16.037936164398193,0.8924862350082396,0.00311,0.024359,0.007466
4.0836,127.39561745573,-48.84953434852,338.802734,337.769958,339.817383,10.329210057144165,-0.23427232036590573,0.002761,0.002856,0.003807
4.091,127.19148162937,-48.83455549924,1181.06934,1023.00256,1323.2561,15.521993877609251,0.1220542299194336,0.003066,0.021654,0.01364
4.0949,127.21931193695,-48.78707800258,399.488342,321.165497,501.428589,17.953474994659423,1.2374220410766603,0.007541,0.215199,0.043204
4.1055,127.32161882569,-48.76750544189,5360.94189,4878.37256,5921.83545,12.903899041336059,0.6483190301742554,0.002772,0.003903,0.003866
4.1192,127.31934808251,-48.76689317988,729.186462,720.080688,739.204834,12.486289233947755,-0.14650337812042236,0.00277,0.003262,0.00419
4.1248,127.36335399951,-48.78166526975,2343.67798,1941.85315,2948.73169,16.071240871185303,0.40832678583526616,0.003101,0.027435,0.011806
4.1276,127.39837112265,-48.8233212183,1407.75244,1369.59546,1450.86047,13.056883997329711,0.15728890576171883,0.002771,0.00331,0.00388
4.1471,127.30226305621,-48.90261207661,1904.4657,1715.69543,2103.49609,14.941408985382079,0.3167766387405395,0.002839,0.008451,0.005374
4.1778,127.34943932182,-48.89339287039,494.497742,454.651978,534.393311,16.86446815284729,1.5090380284194946,0.003551,0.050316,0.011144
4.1784,127.18926791333,-48.83444390823,1520.84839,1369.90503,1722.146,14.785000292633057,-0.02101394040679927,0.002983,0.012603,0.006467
4.1879,127.19027608784,-48.84441433012,762.539917,725.123169,800.691162,14.914572773773195,0.5226005667648315,0.002928,0.013954,0.005561
4.2038,127.39193102312,-48.86272614734,657.560364,607.935486,725.04541,16.77653673851013,1.478166186897278,0.003515,0.064666,0.015573
4.2054,127.30109536299,-48.90363407983,991.703918,863.822083,1136.67554,16.62106425846863,1.1626865909652708,0.003415,0.052999,0.01746
4.2169,127.40159340519,-48.83837774362,2312.07935,1870.14685,2943.57471,15.837052283172607,0.3862761380615234,0.00298,0.014733,0.009966
4.2292,127.20429477805,-48.79629009896,1330.17725,1097.82507,1686.24512,16.458943528396606,0.33200869049835213,0.003722,0.04886,0.025325
4.2352,127.381380075,-48.87556613596,5425.06934,4672.69727,6387.96338,13.912233868423462,-0.24237921556091313,0.002785,0.003533,0.004273
4.2374,127.4017451748,-48.84117706903,3910.32446,3419.42383,4717.3999,14.594800785171508,-0.10502310392761227,0.002844,0.005885,0.005211
4.2437,127.36760605049,-48.78150484575,3558.99365,3073.02856,4076.60889,14.397535182144164,1.9054890705490113,0.00303,0.015981,0.004772
4.2489,127.18749896845,-48.83511661292,675.618835,629.582275,725.301514,15.772996856796265,0.9429334462585448,0.003322,0.042268,0.010405
4.2519,127.20407682391,-48.87157811772,928.464233,780.004944,1163.4657,16.646719418746947,0.9719207757720949,0.003875,0.094254,0.020789
4.2904,127.34526518699,-48.89707732112,1678.99402,1402.67236,2229.52075,16.60073054956055,0.4157954621810913,0.003253,0.033723,0.013087
4.3008,127.40163586242,-48.81899581817,2040.9812,1803.42334,2305.62744,15.224079388107299,0.34652399612426765,0.002871,0.010653,0.005232
4.314,127.26963084616,-48.76373426318,3744.93896,3279.87109,4543.14697,14.054968888870238,-0.08566428257751468,0.002811,0.00453,0.004364
4.3172,127.23697497883,-48.89462481085,5243.95312,4619.11279,6260.13867,13.276559948928833,0.5027013322143554,0.002786,0.003727,0.003941
4.3175,127.370639235,-48.88566848873,1160.69116,1129.33252,1190.24304,13.44755391809082,0.02954381359100333,0.002772,0.003425,0.004122
4.3235,127.18945515474,-48.85268810082,1264.60486,1238.05688,1299.85791,11.802188468902587,-0.4489189981842041,0.002764,0.002969,0.003853
4.3495,127.20716644213,-48.7900097617,464.938721,427.029022,517.844238,16.718355490982056,1.4597386437072752,0.003935,0.082348,0.016661
4.3695,127.24636165886,-48.76827474127,3411.10864,3132.76929,3772.85522,12.711457112380982,0.4096158064880371,0.002771,0.002977,0.003985
4.3745,127.29576645772,-48.76074983312,3806.36572,3159.30908,4387.91357,14.891530231857299,-0.03307382814025872,0.002856,0.00735,0.006025
4.3906,127.40612024948,-48.83692897474,1343.51538,1295.84399,1400.59155,13.574697304275512,0.10113609571838378,0.002782,0.003525,0.004015
4.4042,127.20780571116,-48.78797771898,1724.7926,1549.81714,1912.63538,14.997858985504152,-0.012782417922973632,0.002935,0.010479,0.006764
4.4129,127.27582017756,-48.76120672768,1747.11121,1643.73389,1931.25684,13.92646437263489,-0.1501877136001586,0.002796,0.005759,0.004691
4.4155,127.21994733185,-48.88818893354,1081.81287,938.490479,1264.60718,16.350058902648925,0.9490065452575682,0.00349,0.053078,0.011822
4.4257,127.2857673829,-48.90716472187,3474.38232,2991.91919,4177.7998,14.744234175567627,0.028096348136901872,0.002843,0.006459,0.005853
4.4302,127.30736324633,-48.90704744735,2950.02026,2430.26099,3819.02612,15.439916330062868,0.3236053635559082,0.002916,0.009338,0.005681
4.4683,127.36854821987,-48.8903009681,1712.89307,1514.64832,1895.5481,15.381031498550414,0.3211274722366333,0.002911,0.011673,0.006635
4.4739,127.33993955289,-48.90212684573,2255.44458,1845.73267,2842.26221,15.958775888900757,0.364242344696045,0.003008,0.017461,0.009736
4.4794,127.23175117997,-48.89561723378,2032.12354,1792.51465,2308.55859,15.161005558380126,0.2230249147720338,0.00294,0.014768,0.007084
4.4805,127.33481973378,-48.90360131118,741.641113,686.986755,814.174622,16.34395600415039,1.2102145961608888,0.003164,0.041782,0.010348
4.5131,127.18085977669,-48.83639237951,1127.39783,906.901489,1455.42419,16.561269428222655,,0.004021,,
4.5262,127.39642822355,-48.79851245782,4761.78076,4187.89941,5352.31104,13.50334104550171,0.8509945682220459,0.002786,0.004067,0.003977
4.529,127.4051474407,-48.85483625903,2196.01367,1975.20532,2507.47974,15.0221160005188,0.13702582649993889,0.002856,0.007361,0.005256
4.5413,127.27950000098,-48.75866399979,2471.41602,2283.9834,2713.54785,14.037863800003052,0.09086779437255865,0.002806,0.005193,0.004394
4.5644,127.19740624986,-48.79301187366,2281.78613,1843.25879,2798.62598,15.42389572428894,0.06463071274566645,0.003067,0.024714,0.011571
4.5666,127.36619487123,-48.89367791404,2811.8208,2551.24512,3079.89819,14.390486522857667,0.2015987126235963,0.002811,0.005827,0.00435
4.5702,127.32188540369,-48.75956493206,1148.47424,1121.28223,1172.3175,12.23573224130249,-0.20997007593536376,0.002765,0.002959,0.003864
