_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.002,243.64867850663,-54.92155670102,6405.02637,5221.40869,7735.45312,13.239381562347413,1.1399739371185302,0.002767,0.00336,0.003852
0.2165,243.64585715894,-54.91835843749,8082.15234,6266.85742,9810.31934,14.28991190008545,1.1618214166870118,0.002784,0.004718,0.004025
0.2291,243.65523946395,-54.92078974101,3420.47046,2833.25659,4267.34814,14.666684876342774,0.9703071839752195,0.002795,0.005354,0.004132
0.2295,243.64220972434,-54.92080624015,5652.87158,5085.24561,6367.43701,11.45493765234375,1.7090622193298342,0.002784,0.00348,0.003851
0.2966,243.64299235986,-54.91788554548,3743.48877,2960.71021,4692.2417,15.236326936325074,0.4369452489013672,0.002811,0.005418,0.005111
0.4519,243.63845335771,-54.92623880237,4780.26221,3722.15063,5998.98486,14.525707931076049,0.682247221748352,0.002784,0.008468,0.004765
0.452,243.656663317,-54.9275652114,2259.36572,2161.65381,2373.61914,12.492227949890136,-0.36454742057800293,0.002764,0.002873,0.00381
0.4919,243.66172235024,-54.92495655887,2075.0127,1787.52881,2424.65723,15.25515081829834,0.36132304396057124,0.002867,0.006589,0.004664
0.4987,243.65867284123,-54.91552960555,4495.64551,3930.47754,5471.22607,13.375809742797852,0.827800451286316,0.002765,0.003271,0.003839
0.5253,243.6566471234,-54.92904639676,3348.58984,2824.61304,4034.80762,14.954307443084716,0.18440525494384774,0.002797,0.004864,0.004424
0.5415,243.66307298109,-54.92524498916,634.789734,599.802856,673.797729,15.36841179005432,1.0854227886276244,0.00283,0.010416,0.005524
0.5502,243.65244906782,-54.91264822485,2041.90479,1778.59766,2480.9834,15.073276287857055,0.2859051870727538,0.002805,0.005154,0.005016
0.5879,243.66508028004,-54.91878521267,1927.09766,1702.29468,2170.46997,14.237182406463624,0.16665676953887942,0.002778,0.003568,0.004175
0.6033,243.65801879459,-54.9130451619,7581.5293,5846.63086,9635.08301,14.312328710739134,0.7980003703689575,0.002778,0.004651,0.003991
0.7087,243.63120892062,-54.91539518669,3215.40503,2705.91455,3860.92627,14.686706506088257,0.33080867374420175,0.002812,0.00489,0.005062
0.7171,243.66425916302,-54.92951756809,2804.98364,2478.771,3182.09888,14.615766345214844,0.1849125852127076,0.00283,0.00677,0.007427
0.7303,243.62860874034,-54.91777456846,2825.81079,2520.15283,3154.69727,14.031682676605225,0.22048132849121105,0.002777,0.004135,0.004006
0.7603,243.66342275768,-54.9310177453,1050.02014,996.966431,1119.23389,14.441042228179931,0.38798500194549557,0.002785,0.005946,0.006012
0.7833,243.67098533194,-54.92419006829,2361.89966,2190.25903,2517.28931,13.289055818618774,-0.06259892313385018,0.002764,0.003283,0.003857
0.8127,243.6585818286,-54.90926002819,2571.59717,2139.27393,3098.14771,15.441421574020385,0.2906669971160889,0.002837,0.00736,0.008058
0.8173,243.62509916584,-54.92053569182,2519.21069,2347.91528,2675.96387,13.277575977905274,-0.03786298690795897,0.002763,0.003177,0.003886
0.8464,243.63342605081,-54.91053902481,3172.91553,2834.17944,3609.16577,14.25504777102661,0.5647462175598144,0.002776,0.004029,0.00398
0.8484,243.62444303971,-54.92381669145,4733.05615,4147.88965,5420.51807,13.398791391067505,0.8171296695709229,0.00277,0.00382,0.003865
0.8528,243.66248349503,-54.90975365444,1972.56909,1740.40894,2291.69141,15.196039870620726,0.357554053970337,0.002816,0.011663,0.008121
0.8728,243.65516472817,-54.9074973334,3104.33398,2460.18799,3801.48804,14.797484722961425,0.4198318297729493,0.002805,0.006528,0.005036
0.8821,243.63324712629,-54.93327004264,1108.55237,1084.43933,1138.53503,12.108616882675172,-0.06866580721282967,0.00276,0.002854,0.0038
0.9241,243.65416693747,-54.93664841618,1960.16077,1790.0752,2167.53345,14.091663390029908,0.5927093718338012,0.002773,0.003767,0.004156
0.9512,243.67372151869,-54.91485373123,1765.32971,1475.18445,2230.52661,15.673945770828247,0.31142394838714593,0.002847,0.006956,0.005428
0.9591,243.63480028319,-54.90773187013,2470.85986,2039.0896,3096.58374,15.241973401870727,0.4722138420944213,0.002818,0.01544,0.007242
0.9672,243.62231181675,-54.91615790139,1839.27808,1611.66028,2109.68042,14.993721899108888,0.26007459049224857,0.002954,0.026569,0.026515
0.9778,243.65461331602,-54.90562394267,3718.91748,3137.56152,4504.25635,14.596228200485228,0.33097826522827156,0.002785,0.004294,0.004364
1.0324,243.67312214827,-54.93154864716,2043.14697,1871.00623,2221.33325,14.313141555358886,0.3068640453414917,0.002782,0.003872,0.005028
1.0435,243.67650536632,-54.91466173784,3516.75269,3127.08643,4101.19971,13.595172194320678,0.19492467453765872,0.002768,0.003825,0.004751
1.0467,243.62433749137,-54.93195011359,3334.84766,2714.10254,4289.97461,15.13501913241577,0.22808348017883295,0.002805,0.005641,0.004692
1.0514,243.67874490527,-54.92466759511,4778.91602,4250.4873,5473.21582,12.974539429214477,0.8685572613677979,0.002765,0.003075,0.003843
1.0549,243.63471213032,-54.90593965538,2437.41895,2066.74878,2838.52466,14.704201362457276,0.2577754885253907,0.002789,0.005507,0.004825
1.0641,243.62517571434,-54.91011261946,3860.27344,3312.41675,4637.66162,10.018066353485107,2.6751069662399294,0.002962,0.007643,0.005113
1.0694,243.67960139336,-54.91984115518,2411.76855,2118.25806,2831.81592,14.538245193786622,0.21087842823791503,0.002783,0.004147,0.004266
