_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0009,246.32857815782,-58.54945838461,6785.80225,4484.95264,9833.28906,18.658593732414246,0.9118497358074189,0.003434,0.024263,0.021642
0.163,246.33379722408,-58.54966586731,2847.10352,2509.53955,3348.81445,15.612759089843749,0.7276171902866364,0.002783,0.003514,0.004007
0.2454,246.32142453868,-58.54782372224,2350.20752,2158.21216,2667.30811,15.53621927015686,0.6446298174171448,0.00278,0.003623,0.00406
0.403,246.31572943882,-58.54948001358,2255.99902,2069.0083,2503.64746,15.475173577278138,0.9566726323642731,0.002776,0.00354,0.003984
0.4238,246.33930793294,-58.55378932505,1336.90613,1207.17957,1585.61707,16.381544861736298,1.0727149656219483,0.002826,0.005092,0.004317
0.526,246.33630158944,-58.54167421049,1278.71692,1157.60486,1432.66382,16.588882440635683,1.175466794084549,0.00282,0.006579,0.004549
0.5418,246.31143936187,-58.55061896594,7712.60742,6262.7085,9492.77734,15.341780247150421,1.5652535096282958,0.002782,0.003543,0.003895
0.5717,246.32261825837,-58.55846773418,8012.71826,6438.02539,9639.01953,14.675577817050934,1.3201017321014403,0.002767,0.0033,0.003842
0.5857,246.31851962844,-58.54124428698,4092.96069,3591.42334,4675.04785,15.03029381424713,0.38223609074783327,0.002783,0.003233,0.004006
0.6338,246.33542330391,-58.53951953238,4192.16406,3632.74927,4827.19287,14.91375399628067,0.7791957135257721,0.002767,0.003126,0.003893
0.6685,246.30754010551,-58.54763286393,3338.73413,2976.58032,3604.38843,14.709440247066498,0.5774368493347168,0.002766,0.003096,0.003888
0.6911,246.34461808024,-58.54153880352,2712.1189,2272.77637,3172.05713,16.481858485095977,0.8690857047996521,0.002814,0.004708,0.004382
0.7202,246.32625376343,-58.53752584093,1920.2677,1751.56104,2157.80151,15.923942825859069,0.6378237986812592,0.002791,0.00425,0.004344
0.7475,246.31387119705,-58.53966174446,6617.97998,5575.70068,7805.80127,14.729150962944031,1.1691210976467132,0.002767,0.003042,0.003865
0.7538,246.35265211324,-58.5488394278,1426.82117,1277.01782,1597.47498,16.553818389259337,0.9655859979057313,0.002817,0.005241,0.0045
0.7866,246.32898280011,-58.56257422176,840.017395,769.738586,922.599548,17.04273191985321,1.5990765969142915,0.002873,0.010092,0.004922
0.8058,246.30339417846,-58.54676038718,5511.58252,4862.67871,6369.07764,14.136623761528016,1.0545644532546996,0.002761,0.002911,0.003811
0.8123,246.30604759731,-58.54277792234,1588.88538,1314.20569,1971.20764,17.47634996087265,1.209885546136856,0.002936,0.032321,0.008706
0.8199,246.3188322751,-58.56214507399,1747.56848,1678.2688,1847.82239,14.668184046890259,0.7576780320224763,0.002763,0.003047,0.003883
0.8413,246.32205057509,-58.53586840474,3137.28296,2659.34326,3967.44629,15.825504000350954,0.6190573252677918,0.002787,0.004306,0.004244
0.8427,246.32515512895,-58.56339490172,491.787292,388.547821,614.175415,19.29749825413513,1.9314250214881898,0.004324,0.116219,0.025165
