_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0004,262.40310064976,-39.10564507433,2726.46313,2136.14209,3535.06201,13.8634220415802,0.5039867082138061,0.003111,0.019756,0.005267
0.197,262.39889806463,-39.10533198847,2166.10791,1892.49951,2453.06104,12.926103260742188,-0.23983099093627924,0.002905,0.007832,0.005424
0.3207,262.4020222837,-39.11092332376,913.863281,841.669739,979.129089,13.513885807266234,-0.16644750109100337,0.002895,0.006871,0.005096
0.5054,262.40166097338,-39.09729608622,1196.92578,1034.70325,1399.81091,14.4136589006958,-0.02112529276275632,0.003249,0.042972,0.015377
0.51,262.411829037,-39.11078886165,3986.13062,3181.80322,4935.43506,13.231589124053954,0.07237206909179683,0.002924,0.007937,0.00516
0.5103,262.3921498046,-39.10561626291,3166.93823,2890.34351,3535.88232,11.752584003173828,0.6310291294250487,0.002797,0.00432,0.003907
0.7069,262.39298343952,-39.09686584388,3506.6748,3044.96167,4218.42578,12.550499526794432,-0.2638846439437865,0.00283,0.005209,0.004761
0.714,262.40982040224,-39.11634542898,382.304749,380.096741,384.527222,10.02870053552246,-0.6330972462463378,0.002763,0.002868,0.003801
0.7415,262.40883929669,-39.0941143997,1412.83606,1368.98145,1460.87903,10.730627634140015,-0.9921213926315308,0.002775,0.003119,0.003908
0.7426,262.41868251945,-39.10831827837,779.520447,694.472046,888.65271,14.629927569869995,0.3218369794921876,0.003233,0.027786,0.011036
0.7686,262.39496179342,-39.1167870381,2339.05518,2246.70654,2461.60132,10.595322491058349,0.43547640378570573,0.00278,0.00305,0.003827
0.7697,262.39229700108,-39.09594052248,1628.89172,1448.20129,1887.57263,13.597204801681517,0.03267867398071278,0.002984,0.010589,0.008309
0.7707,262.40082982826,-39.11836819785,836.346191,821.611206,851.386597,10.887301283599854,-0.7793043141098022,0.002774,0.003004,0.003866
0.8233,262.41845151846,-39.11246841978,1294.99329,1209.65222,1400.56653,12.555389561187743,-0.41360645847320554,0.002801,0.003798,0.004869
0.8265,262.40042821738,-39.09202789912,2521.97192,2159.67505,2996.59839,13.107154531082152,0.02537616528320319,0.003007,0.012007,0.007649
0.8377,262.38582856164,-39.10176036658,1993.87341,1857.21301,2170.82568,11.88720193711853,-0.5031471060638428,0.002799,0.003815,0.005175
0.8471,262.42034278537,-39.11017482821,1736.68958,1653.50806,1819.08875,11.071435637512208,-0.24977520708465573,0.002774,0.00329,0.003867
0.8855,262.42155397661,-39.10924500405,3770.46777,3102.60205,4712.66357,12.429174702636718,0.5937780654830931,0.002822,0.005884,0.004
0.8875,262.4139576593,-39.09348391411,3705.22192,3110.61499,4410.479,12.608316768341066,0.5172694692993165,0.002914,0.009639,0.006773
0.9153,262.38900157194,-39.11627092002,874.675598,861.950928,885.197388,9.228838028793335,-1.0095947293319703,0.002765,0.002881,0.003808
0.9632,262.39498423787,-39.12040830131,1658.50671,1495.64368,1843.57812,13.203825445724487,-0.3216578041229248,0.002909,0.007524,0.006604
0.9681,262.42033863529,-39.09661456601,2141.94824,1660.29236,2691.59131,14.303936731994629,-0.15095884647369395,0.003181,0.01166,0.014619
0.9971,262.42452181929,-39.10539322299,2265.34106,1870.15088,2717.29297,13.680978811752318,-0.1980686315765381,0.00291,0.010778,0.007898
1.0088,262.38452613023,-39.09700194461,995.797791,941.130676,1044.42847,12.822017952804565,-0.5862622872619629,0.002867,0.016759,0.012874
1.0133,262.39567590644,-39.0897724707,896.26593,857.022156,946.443665,12.475156228973388,-0.4902794800872803,0.002814,0.003772,0.004157
1.0519,262.39124624148,-39.09072461472,3144.85815,2924.05884,3397.47559,11.076309709976197,0.6556551397781374,0.002934,0.005441,0.005653
1.1336,262.38989920922,-39.12151551077,622.742737,525.051453,790.752319,15.630904432586672,0.3578074113540648,0.005801,0.059371,0.025565
1.1488,262.38658566776,-39.09142693235,768.179199,756.742981,783.016785,10.51272824975586,-0.8030150104980469,0.002768,0.002928,0.003851
1.1777,262.40111127915,-39.08607706321,3203.48975,2696.43237,4089.30176,12.57274317449951,0.806033924293518,0.002873,0.010793,0.005086
1.1831,262.42738141703,-39.09981339363,3908.00513,3430.37329,4545.55762,12.090864494354248,0.4657943529205322,0.002802,0.006263,0.004088
1.192,262.42588680489,-39.11471829013,2573.19678,2293.34106,3022.43701,12.79272805819702,-0.13370850220489494,0.003059,0.00583,0.006308
1.1956,262.40024868231,-39.12544679919,1844.14661,1694.62366,2021.67102,12.780053246765135,-0.37957510258483884,0.002824,0.005614,0.004861
1.2013,262.39859434999,-39.08593135807,1430.93018,1274.00525,1806.50488,14.185359274841307,-0.24635245150756835,0.003238,0.025187,0.019696
1.2286,262.42948961417,-39.10613259173,2326.03589,2030.56018,2645.79004,13.146602782379151,-0.03435197026062009,0.002851,0.008632,0.006347
1.2325,262.37783885648,-39.09952770076,1452.71448,1417.70898,1490.87097,9.084080805862428,-0.05688391067504872,0.002763,0.002935,0.003803
1.2422,262.37660178791,-39.10800042647,2260.98364,1866.36206,2746.47412,13.604685299758913,-0.2924968771514893,0.002937,0.006929,0.007617
1.2784,262.39653140675,-39.12633203657,1651.26843,1450.31042,1883.6825,13.511605861694335,-0.14410033525848398,0.002881,0.008693,0.005512
1.2828,262.40211311102,-39.12701013569,2023.12146,1738.98584,2320.6394,13.654162730285645,0.10752593892669671,0.003137,0.018746,0.036309
1.2905,262.40266161519,-39.12714981113,2287.91919,1806.17651,2787.43384,13.9953507432251,,0.006174,,
1.2969,262.43004029133,-39.11116904182,1645.89453,1501.50183,1816.12659,13.386311094985963,-0.2748322705841064,0.002869,0.008039,0.005971
1.2975,262.39325059657,-39.12587220087,1540.66492,1431.81274,1663.26941,12.605906815719605,-0.4506881833496095,0.002829,0.005665,0.004493
1.3007,262.37855979657,-39.11599297762,7039.94043,5448.59912,8806.00977,12.140577669174194,1.7516218507919312,0.002873,0.016063,0.004177
1.3189,262.3752596556,-39.10967191478,1014.47021,955.432129,1075.49854,13.149975778259279,,0.002927,,
1.3192,262.37501002424,-39.10847191306,1659.25793,1473.66797,1934.80896,13.814614362594604,,0.003011,,
1.3317,262.40581252463,-39.12774049427,3098.96484,2916.41479,3419.01416,11.434035966506958,-0.19115163702392568,0.002783,0.004435,0.003935
1.3379,262.40260993244,-39.0833504375,1790.92883,1733.84375,1871.41748,10.235731859191894,0.003407903648376509,0.002778,0.003137,0.003878
1.3431,262.40723590556,-39.12779929352,7702.27783,6184.94434,10014.2256,12.579711941238404,1.0297137854537963,0.002861,0.006428,0.004219
1.3699,262.39511240794,-39.08367246647,1475.49146,1387.20801,1566.75256,11.943556626327515,-0.47610898051452644,0.002806,0.004023,0.004178
1.3885,262.39347320725,-39.12754563392,1735.6272,1316.02942,2148.05347,14.532787757217406,-0.13481315390014648,0.003127,0.02072,0.014111
1.435,262.37495543251,-39.11538054196,6197.12891,5157.396,7669.43213,11.65509520237732,1.6087448361434937,0.003071,0.009365,0.004539
1.4411,262.42814215882,-39.11977388688,1466.33545,1228.48889,1776.42676,14.270099719741822,0.02439587260437004,0.003142,0.02139,0.008228
1.4419,262.41711880311,-39.08421362457,2127.99463,1861.53601,2522.34131,13.15957704864502,0.05715259012603768,0.002857,0.00715,0.005817
1.4571,262.3870249113,-39.08481372512,2167.78125,1844.81213,2533.57324,13.133223984924317,-0.17035607075500492,0.002895,0.006953,0.005611
1.4627,262.4224846274,-39.08645662813,3354.56421,3051.01294,3721.61572,11.51679277973938,0.7127678443603513,0.002805,0.009697,0.004546
1.4748,262.4148689316,-39.12846895599,1550.68872,1332.21936,1818.85498,13.927148721084595,-0.0704633754882813,0.002953,0.012623,0.006373
1.475,262.40790698393,-39.08134531218,2296.41821,1935.09106,2732.40356,14.168048884994509,-0.20397693657684335,0.00303,0.034691,0.024262
1.5302,262.37025341535,-39.10498482688,1633.66919,1522.57422,1774.22034,12.819323344192505,-0.27237629641723626,0.002908,0.00558,0.004636
1.558,262.43159891987,-39.0920281358,3938.72388,3252.21289,5053.57812,13.424233613952637,0.3461342506408691,0.00297,0.032423,0.00785
1.5995,262.36912522984,-39.10955664208,1991.06885,1817.93921,2184.8855,12.353041808792113,0.13077778465271006,0.0028,0.004843,0.004124
1.6226,262.40215538387,-39.13267863303,6664.8125,5370.48242,8081.83887,12.334295739990234,0.7888434318466189,0.002832,0.017709,0.013089
1.6347,262.36851489163,-39.10099992897,539.055115,450.530304,671.311157,15.59616062863159,0.2555097725753783,0.004604,0.07099,0.037909
1.6411,262.37167658608,-39.1180271115,1114.90503,1073.35803,1150.88586,11.811287864212035,-0.7370049510040284,0.002863,0.00384,0.004747
1.6665,262.43811635285,-39.11143576384,597.840515,581.502319,611.740356,12.044946781005859,-0.3597534540100098,0.002789,0.004362,0.00424
1.6716,262.37514620642,-39.12312300911,1127.72888,1087.50781,1169.82593,11.946438326583863,-0.6148875432128906,0.002783,0.003708,0.003998
1.747,262.43594095619,-39.09155333484,5296.11328,3958.84448,6599.47461,12.669674949752807,1.7838909028320313,0.002846,0.011074,0.00412
1.7497,262.43882004052,-39.09656850296,2899.00171,2449.01245,3426.06445,12.65070838446045,0.6180100968627928,0.002838,0.007249,0.004331
1.7514,262.40736875654,-39.07664215837,1908.03088,1717.41675,2147.93506,12.874152636566162,-0.39086633097076406,0.002838,0.006455,0.004716
1.7777,262.41065465608,-39.07660073104,2698.65161,2287.64722,3087.89648,13.083705915313722,0.606632160507202,0.002874,0.009948,0.00487
1.7805,262.43576426036,-39.09020638058,2625.52661,2211.38818,3206.16089,13.372311744079589,0.051576061576843246,0.002848,0.006841,0.005332
1.7946,262.36859022922,-39.11895714455,2048.37036,1823.20837,2321.75928,13.131830873260498,-0.31995458732604987,0.00286,0.006857,0.00485
1.7983,262.43923386874,-39.09504339192,1115.75562,1055.88696,1198.6991,13.449160248458863,-0.3263186756057739,0.002845,0.007498,0.006369
1.8054,262.36532408701,-39.09888817064,6667.58252,5236.34326,8482.30371,12.830210095977783,1.0977332763061525,0.002866,0.010409,0.008176
1.8122,262.37758160223,-39.08284791233,639.353455,612.876465,669.524658,12.985401517700197,-0.10513451219177239,0.00284,0.007595,0.004509
1.8175,262.40402506425,-39.07536143124,1338.86487,1282.65173,1408.28931,12.375434150497437,-0.5413510786666871,0.002806,0.004921,0.00477
1.8494,262.36648767506,-39.09371152008,2610.34961,2318.5459,3000.2749,12.761072315704347,-0.08535298954010018,0.002858,0.007203,0.004927
1.8568,262.40593191549,-39.13651463865,2506.61719,2271.47803,2830.19556,12.158786804534913,-0.18009597953033452,0.002789,0.003978,0.004061
1.8816,262.36282258035,-39.10316871565,3513.53271,2929.65381,4506.58887,12.800479446166992,-0.30658720147705076,0.002902,0.005491,0.00538
1.8856,262.36783778899,-39.12109298772,2346.74072,2160.7168,2543.53247,11.97498992541504,-0.3920797786941528,0.002788,0.003869,0.004357
1.9118,262.39913461367,-39.1373589111,1613.31213,1425.57007,1890.63953,13.696055766677855,-0.2571262781219483,0.002912,0.008866,0.006807
