_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0007,262.08831493212,-28.82544673333,8859.43066,6833.97168,10934.7666,13.282761913406372,1.737898885368347,0.003142,0.01539,0.005442
0.0635,262.0893734206,-28.824914361,9818.57324,7675.84961,11841.0879,13.718130913406373,1.1649388853683473,0.00291,0.012181,0.005154
0.3499,262.09186728597,-28.83038453994,9411.18262,7832.17578,11318.6953,12.658667913406372,1.211623885368347,0.002835,0.01118,0.004501
0.4464,262.08461748116,-28.81875243177,7329.22559,5764.7168,9365.47949,13.243033913406371,1.2441648853683471,0.00287,0.012409,0.005272
0.4862,262.09676998582,-28.82875517394,7005.29492,5486.52734,8608.16309,12.814379913406372,1.1648878853683473,0.002823,0.008261,0.004383
0.4876,262.09759656239,-28.82510125591,7669.68945,6248.98291,9306.53125,10.941933913406372,2.076777885368347,0.005041,0.023433,0.010199
0.5036,262.09285906513,-28.83283947304,9140.6543,7311.80371,11135.1514,13.732950913406373,1.0380988853683473,0.002882,0.015949,0.006386
0.6425,262.10036177147,-28.82731906818,8774.37012,6807.75586,10319.3408,15.624447913406371,0.5641148853683471,0.005334,0.076227,0.03576
0.6655,262.07591040382,-28.82328655912,8224.26074,6403.80469,10203.417,11.432034913406373,3.360497885368347,0.005799,0.030985,0.013872
0.6884,262.09011286522,-28.83681115114,7051.05078,5643.93799,8528.45312,12.176487913406373,1.1078418853683472,0.002837,0.007229,0.004137
0.6964,262.10140818548,-28.82728809269,296.905609,252.858383,353.486481,19.167240840410233,2.051776053814888,0.009306,0.102111,0.034848
0.7073,262.10002959435,-28.81962502045,9100.52832,7359.99512,11060.792,13.654141913406374,1.2989768853683472,0.002944,0.030516,0.006537
0.7279,262.07687804432,-28.81862122227,8492.4502,6435.78125,10425.0195,15.323567913406372,1.0957058853683472,0.003533,0.128878,0.04386
0.7375,262.07803948067,-28.81708839413,6773.82178,5170.02734,8300.84277,12.547008913406373,1.2196108853683474,0.002845,0.007899,0.004262
0.7824,262.08815956834,-28.83848408432,8937.55371,7160.10107,11109.4375,12.873293913406371,2.013780885368347,0.002873,0.020096,0.004343
0.7971,262.10339176563,-28.82391865662,8443.42188,6967.12744,10421.3164,14.030302913406373,1.000931885368347,0.002958,0.014546,0.006711
0.8088,262.07854588278,-28.81504009495,953.490173,930.499817,982.00061,14.097644970493317,0.6962730130081176,0.002794,0.003868,0.005062
0.8125,262.07944918175,-28.83652915027,1176.94263,974.697266,1461.85718,17.410915843242645,1.6539834839839935,0.005189,0.056967,0.023885
0.8606,262.09410004378,-28.8388676939,1023.71204,996.492432,1053.42773,14.007674970493317,0.7950380130081176,0.002774,0.003508,0.004239
0.8702,262.10166553384,-28.816853168,8655.54883,6261.99658,10491.6807,15.153410913406372,1.231163885368347,0.003778,0.070926,0.016033
0.8951,262.10417170384,-28.8309120338,8355.65918,6555.78369,10681.0508,14.793055913406373,0.776779885368347,0.003191,0.079982,0.040237
0.9038,262.07118990079,-28.82424609807,8322.95996,6385.35693,10319.04,14.691534913406372,0.8968148853683471,0.00313,0.247212,0.005962
0.9222,262.10574029105,-28.8273244472,8960.85449,7187.25049,10863.2744,14.030279913406371,1.353621885368347,0.002938,0.02562,0.008614
0.9507,262.09206773204,-28.84094772037,7679.66699,5939.05176,9766.65234,13.504927913406373,1.8063038853683473,0.002911,0.021601,0.005598
0.9897,262.08869793223,-28.80895375686,10318.0596,8361.11328,12155.6338,16.58801791340637,0.2931808853683471,0.007508,0.193771,0.133825
0.9919,262.06980206954,-28.82858843923,497.637634,492.798309,502.824585,10.24655225750351,0.19723047654151915,0.002769,0.002827,0.003814
1.0228,262.07996110949,-28.81005592331,8294.2959,6381.46973,10342.9639,15.183789913406372,1.174725885368347,0.003373,0.054961,0.018264
1.029,262.07012190384,-28.81914380508,8429.08301,6590.11621,10366.2119,14.96338991340637,0.9593988853683473,0.003483,0.071079,0.033673
1.0699,262.09428295951,-28.84249609855,9779.03613,7577.23975,11767.2236,13.552824913406372,1.2618278853683473,0.002888,0.017459,0.005997
1.0704,262.07869316243,-28.84116252874,8269.26758,6063.5835,10196.8193,13.439005913406373,1.6961368853683472,0.002913,0.022453,0.004704
1.0709,262.10736044232,-28.81907847525,4411.19873,3611.0,5181.04932,12.681884913406373,0.8795518853683473,0.00281,0.00989,0.006298
1.0969,262.10803011432,-28.8194226035,7542.33838,5889.56641,9403.04688,14.409024913406373,0.878920885368347,0.00318,0.069626,0.019127
1.1216,262.06825039419,-28.83177457229,8834.61816,6768.15381,10958.248,14.596642913406374,0.7169068853683473,0.003182,0.051783,0.014883
1.145,262.10839814092,-28.83286419262,7414.71338,5881.19287,9101.02051,12.351495913406373,2.1644648853683472,0.002933,0.017381,0.004735
1.152,262.08371838539,-28.80667508713,2235.25903,1927.40442,2593.67041,14.668340895401002,1.3032580395812987,0.002885,0.017819,0.006498
1.1834,262.11070875749,-28.82330749212,6785.49512,5437.33984,8374.15723,12.940520913406372,1.2610418853683472,0.002855,0.011889,0.004677
1.1846,262.08104410975,-28.84412791048,8220.53223,6383.60889,10254.1787,14.144436913406373,0.8548908853683472,0.003182,0.026446,0.008678
1.1941,262.07156408638,-28.8388757631,9622.35742,7511.88184,12292.7734,15.269244913406371,0.888073885368347,0.004193,0.056189,0.019772
1.2046,262.06638398278,-28.81966261501,8717.83105,6675.5708,10837.3115,14.202946913406372,1.1244518853683472,0.00307,0.041314,0.013114
1.2556,262.11091638183,-28.81864280468,8838.49219,6616.56104,10959.8428,14.139834913406371,1.495186885368347,0.003124,0.063606,0.027578
1.2828,262.06898308632,-28.81241425762,3249.33765,2836.4895,3767.59985,12.734338913406372,0.8572958853683472,0.002905,0.009294,0.005146
1.332,262.08975851232,-28.80328084138,8492.82129,6615.98486,10576.2334,14.564823913406372,1.091093885368347,0.003685,0.042657,0.010671
1.3463,262.06273292188,-28.82461899645,9259.08008,7446.81104,11015.0039,12.555104913406373,3.1031988853683474,0.004407,0.061844,0.009282
1.3642,262.06385877465,-28.81786964735,2790.40967,2626.33618,2921.96875,10.312464774475098,1.254366447105408,0.002809,0.003304,0.004211
1.3736,262.10079919883,-28.84556378217,8879.42383,6583.57129,10737.9424,14.78782391340637,0.9509058853683472,0.003531,0.021481,0.00635
1.376,262.09705307413,-28.84706732829,1437.22693,1246.9104,1725.76135,16.287336506271362,,0.003308,,
1.3789,262.10561206615,-28.8427332732,8803.74414,7298.19678,10445.1494,11.802303913406371,1.0859328853683472,0.002798,0.00556,0.004082
1.4209,262.10426334918,-28.84457482981,9553.44043,7683.82471,11619.9512,14.363844913406371,1.0798708853683472,0.003016,0.030891,0.008297
1.4416,262.0609851779,-28.82730480417,8316.05664,6740.23682,10487.9004,15.752611913406373,0.8974788853683471,0.004368,0.067352,0.043653
1.4565,262.0889147321,-28.80117544788,1064.7959,1043.38562,1084.75574,11.561884614429474,0.37978561866569516,0.002783,0.003125,0.003894
1.4673,262.11379874408,-28.83545224517,8834.08887,7028.79395,10720.001,14.89124391340637,0.9666968853683473,0.00323,0.047463,0.018265
1.4708,262.097270977,-28.80221752117,9111.15527,6958.40088,11424.5518,15.293146913406371,,0.003582,,
1.5056,262.06119192103,-28.81741973787,8995.62988,7102.56787,11012.623,14.70587291340637,1.0276268853683472,0.003252,0.034229,0.014018
1.5236,262.10916632953,-28.84309797869,2891.69922,2412.9812,3620.43506,13.856715913406372,0.965331885368347,0.002926,0.014773,0.010566
1.5422,262.10294659148,-28.80316070913,9366.97754,7438.59863,11353.6152,13.235047913406373,4.207379885368347,0.005321,0.089066,0.016308
1.5452,262.07033679558,-28.80507947846,641.350952,633.958923,650.085388,12.719028811149597,0.6597749030704498,0.002764,0.002901,0.004004
1.583,262.10026277125,-28.84966768018,6344.22949,5294.98633,8068.68848,12.020565913406372,1.771655885368347,0.002864,0.011488,0.004378
1.619,262.11854200243,-28.83068850984,9299.90039,7545.39209,11749.7656,13.56920191340637,1.593120885368347,0.003282,0.056619,0.016758
1.6254,262.11387532349,-28.84070916789,1189.83105,1062.37378,1329.15259,16.83283437766266,1.404382017988205,0.003078,0.022371,0.019032
1.6325,262.0918462386,-28.79841208985,9310.11816,7017.39062,11663.9199,13.846728913406373,,0.007953,,
1.6642,262.09183673056,-28.79787941459,8885.62305,6907.70654,10714.917,13.043131913406373,1.2722618853683474,0.00332,0.040359,0.015487
1.6725,262.06028817857,-28.81227492051,1123.3158,1088.91162,1164.54065,14.28489390322113,0.7274182285976409,0.002777,0.003446,0.005092
1.676,262.0930631459,-28.79782074951,1237.71387,1173.24622,1316.50171,15.12878245194626,0.9165586068477631,0.002857,0.006681,0.005176
1.687,262.11955609974,-28.83193446971,5765.06738,4893.77295,6848.86377,11.682229913406372,1.8715618853683473,0.003058,0.011086,0.005288
1.6993,262.05622004144,-28.82874372107,8392.25781,6315.89258,10469.0029,15.888157964065552,0.6627990878143311,0.004221,0.069036,0.027836
1.7433,262.07590974522,-28.79850374494,7005.31934,5308.65381,8677.83594,12.101260913406373,3.1382678853683474,0.003138,0.02617,0.005837
1.7438,262.0555339613,-28.82106074263,8533.73535,6764.03613,10585.3115,12.529489964065553,3.063105087814331,0.003431,0.031445,0.006725
1.744,262.06080531316,-28.84167855642,922.216003,892.983459,953.758301,14.181235208324432,0.8587934874114991,0.002773,0.003324,0.003973
1.7494,262.11255425286,-28.8454380764,378.441193,335.605225,430.610413,18.199947981861115,,0.006387,,
1.7509,262.10260021004,-28.85181267661,5627.40576,4736.88379,6866.9082,12.47546122605896,1.9175580522232054,0.00286,0.012208,0.004079
1.7517,262.09168997757,-28.85449103294,8800.63379,6977.63623,11122.3799,16.28824022605896,0.9164550522232058,0.007909,0.42617,0.007842
1.7621,262.09718404129,-28.79712001131,8964.77637,7285.90332,11403.6299,14.819514913406373,0.8742208853683473,0.003193,0.042876,0.023992
1.7679,262.09361369778,-28.79634694233,7923.81592,5920.68994,9776.06152,14.435147913406372,0.9776278853683471,0.003054,0.047928,0.010945
1.7691,262.05541279364,-28.81929733199,1208.59631,1178.25293,1236.91492,12.034406102237702,0.22698665607643131,0.002771,0.002886,0.003797
1.7957,262.05681470662,-28.81389579631,3716.17065,3042.85181,4837.67529,12.114069964065552,2.5821140878143307,0.002984,0.014404,0.005442
1.8109,262.07702990893,-28.79693244495,9049.66309,7566.87598,10490.207,11.83878201121521,1.3096090166320802,0.002805,0.005805,0.004249
1.8366,262.07282664143,-28.79801278433,890.612793,742.985107,1083.60388,17.75953055160141,2.2284750340099335,0.004131,0.081636,0.023209
1.8617,262.08607420102,-28.85641111079,368.316589,296.500549,479.830719,18.99531500380516,,0.007965,,
1.8817,262.10248183419,-28.79663855641,8587.33789,6598.14111,10667.8193,13.620215913406373,1.3185108853683474,0.002886,0.015204,0.005253
1.8861,262.08587697951,-28.85680695229,741.614197,721.576843,757.151001,13.94901147666931,0.6928047097187042,0.002789,0.00391,0.005486
1.8948,262.10211963863,-28.85462302921,8379.5791,6652.13623,10285.0654,12.56662222605896,3.0674630522232054,0.003189,0.034862,0.005528
