_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0008,272.94737348936,-27.39743141016,6283.55176,4424.23193,8082.81055,16.709369933128357,0.906090978275299,0.005148,0.050057,0.02854
0.1051,272.94932014985,-27.39769023332,7167.3916,5826.9873,8553.16504,14.981364933128358,1.028308978275299,0.002876,0.015331,0.006176
0.1334,272.94543864266,-27.39602706711,2276.19946,1840.13342,2904.78711,16.528623000839232,0.6780649773216247,0.003044,0.037552,0.021605
0.2048,272.94655495619,-27.3941081395,7119.91309,5353.13477,8649.8457,16.86146693312836,1.205187978275299,0.003731,0.126507,0.058389
0.297,272.95077362837,-27.40136374208,5651.98877,4811.58447,6662.97363,13.961810085876465,1.371164377094269,0.0028,0.005083,0.004465
0.3171,272.94224913512,-27.40014309354,5330.2959,4374.73877,6945.19141,14.762251773002625,1.2948575133590698,0.002898,0.023249,0.009685
0.3607,272.95349159837,-27.4000094818,7529.22803,5939.8208,9193.29492,14.066296933128356,1.058024978275299,0.002797,0.010158,0.005841
0.3741,272.94034573429,-27.39756507867,7250.42188,5776.5083,9031.36328,14.848609933128358,0.9057939782752991,0.002974,0.01682,0.009235
0.3819,272.94217053363,-27.39306017754,5910.81982,4539.46582,7262.78613,14.46451286995697,0.8794305748405458,0.00284,0.00993,0.006562
0.4202,272.95455991001,-27.39456704228,5572.80518,4969.48877,6459.2417,12.132287705718994,1.6140106195373534,0.002811,0.003921,0.003904
0.4384,272.94465957853,-27.39054464899,6726.88037,5173.55957,8285.97559,17.109167933128358,0.46562897827529914,0.004471,0.128148,0.082111
0.4843,272.94847173473,-27.38943281639,7480.52637,6341.00879,8898.09961,12.840331933128358,2.614251978275299,0.0029,0.006608,0.00422
0.4907,272.95092487562,-27.38990069409,4835.94824,4153.61816,5901.40088,13.700012688446044,1.0743735587539673,0.002786,0.004372,0.004294
0.5133,272.95328982406,-27.40419305782,1892.77441,1823.79956,1979.81042,12.214856022239685,1.007507024871826,0.002764,0.003144,0.003824
0.521,272.93868345197,-27.39344892286,7296.39502,5869.90283,8717.15137,14.570159933128357,1.286714978275299,0.003654,0.017868,0.037686
0.5449,272.93919021083,-27.39198945178,5805.12354,4887.59082,6768.97656,13.409495148033143,1.2078706046180725,0.002786,0.005369,0.004583
0.5638,272.94611684309,-27.40677528119,6701.10303,5368.60645,8561.13379,14.512684933128357,1.063722978275299,0.002847,0.0102,0.007372
0.5695,272.95003682741,-27.4066354573,7107.80957,6094.00439,9109.94434,14.821669933128359,1.014685978275299,0.002878,0.011268,0.008084
0.5757,272.94889771849,-27.38794622409,6971.36768,5307.33447,8551.15039,16.790800933128356,0.7648249782752992,0.003387,0.07155,0.04976
0.5842,272.94546160019,-27.38785557602,2001.63599,1870.07275,2148.60425,14.731635005523682,0.4805068469810486,0.002795,0.003726,0.005183
0.609,272.94708968691,-27.38729784091,6796.55859,5717.97363,8054.47754,15.168689933128356,0.9154419782752992,0.002874,0.02105,0.009216
0.6166,272.95073717948,-27.38761285288,7593.89404,6084.78906,9507.78711,17.160223933128357,0.9447439782752991,0.005548,0.129474,0.238339
0.629,272.9445633786,-27.40762781001,3716.28027,3381.45483,4229.44238,13.730176744514464,1.533081685596466,0.002807,0.004253,0.004139
0.6432,272.93562895027,-27.394936914,6691.91064,5730.14453,8057.51123,13.875863933128358,1.386241978275299,0.002802,0.013925,0.005467
0.6434,272.93675512858,-27.3923250385,5547.6626,4129.99268,6725.73975,17.54798183152008,1.0765495774116516,0.005366,0.134641,0.08041
0.6518,272.95937727671,-27.39952053312,8111.37793,6783.34863,9590.10645,13.397389933128357,1.4944999782752992,0.002844,0.00842,0.004767
