_r,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,phot_g_mean_mag,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.0086,225.25274500648,-54.39999368872,5423.70557,4957.55371,5953.80566,11.5855677578125,1.4929187937469481,0.002785,0.003306,0.003822
0.5683,225.24883576526,-54.40933513871,6339.5835,5221.24707,8172.09229,13.666478894332887,1.0423147786178588,0.002827,0.00571,0.004402
0.6134,225.25134868603,-54.38994469407,1401.29822,1324.3291,1508.26172,13.901369928298951,0.20921058958435057,0.002792,0.004717,0.004119
0.6312,225.2618829612,-54.39106965588,6399.5083,5371.47852,8558.0332,13.00376854800415,1.424382519630432,0.002797,0.00385,0.003903
0.6441,225.26941765221,-54.39558049063,2645.38184,2319.32056,3353.77148,14.709706144821165,0.2734126153793335,0.002845,0.005253,0.004846
0.705,225.24944356231,-54.41173080674,1400.43079,1166.28027,1650.64563,15.903933540847778,0.6186317624282838,0.003036,0.017686,0.010883
0.7081,225.24273145244,-54.38986824846,809.437012,783.833252,836.585022,13.736920050811767,0.12801378324890145,0.002795,0.003305,0.00468
0.7425,225.27285040897,-54.39615680518,2683.37158,2337.10815,3175.89062,14.691835329238891,0.40389578665924075,0.002837,0.008143,0.005626
0.744,225.26695021494,-54.39090931791,3266.9917,2799.70337,3878.54419,14.16796110913086,0.7053790633621215,0.002807,0.005035,0.004218
0.7806,225.25071281344,-54.38717947583,844.309509,807.000427,880.473572,14.240984627716063,0.22448138655853267,0.002808,0.007173,0.004351
0.8106,225.27426164409,-54.40516829312,2259.02905,1940.61169,2834.31372,14.855055418258669,0.21457869783782968,0.00292,0.006818,0.004954
0.8384,225.22921222641,-54.4029605161,2190.65576,1909.14966,2518.04126,14.336162949096678,0.4125514585571288,0.002812,0.007563,0.004614
0.8413,225.24315720648,-54.41300651711,2056.08936,1671.50562,2578.47119,15.34953365411377,0.44111729370880126,0.00293,0.010824,0.00817
0.8675,225.22877874103,-54.40398201662,2636.24756,2297.71851,3099.61426,14.072973725143434,0.3114133867187501,0.002795,0.005449,0.004183
0.8716,225.22777142117,-54.40042340191,1105.41553,1054.45032,1192.42798,13.884806145324706,0.17809891309356685,0.002828,0.003568,0.004311
0.8818,225.27461450809,-54.40745864374,1411.1947,1373.01172,1453.58667,12.553134140792846,-0.1902298492279053,0.002772,0.005192,0.006604
0.9854,225.25354968955,-54.38372120204,1557.52747,1264.21619,1909.83838,15.904234235641479,0.4672814370956422,0.003103,0.025627,0.012124
1.037,225.27892720444,-54.40826503134,5458.16309,4851.96094,6302.02979,12.933161324768067,1.139618622947693,0.002788,0.007833,0.003951
1.0705,225.22407600728,-54.39379599135,2442.8728,2097.67896,2863.10156,14.568464087127687,0.3829026055984497,0.002832,0.005541,0.005525
1.1247,225.23766523791,-54.41670640342,8074.49316,6349.31836,10160.8711,14.588650911300657,1.0203427585754397,0.002822,0.007468,0.004758
1.1346,225.24159372645,-54.38237125053,1564.71667,1270.72693,1965.80115,16.515862339630125,0.5999519022445678,0.003398,0.035824,0.014627
1.1449,225.28490516626,-54.39651854414,693.051331,688.05365,698.617615,11.078773317459106,-0.1862893312683105,0.002769,0.002848,0.003803
1.1709,225.25095971057,-54.4196249342,5886.38965,4761.30078,7445.51025,14.246861130874635,0.910771235572815,0.00284,0.007538,0.009868
1.1795,225.26180907089,-54.38120380132,1897.41479,1611.4563,2185.97705,15.183185932159425,0.3572048528137206,0.002895,0.008899,0.005889
1.2359,225.2686601262,-54.41852851676,3722.03076,3377.44678,4105.87744,12.551890180526733,0.7960121116180421,0.00277,0.003216,0.003837
1.2813,225.22275800956,-54.41246001219,2173.77222,2062.65723,2287.06689,12.682205785461425,-0.17876878797149653,0.002768,0.003067,0.003859
1.2947,225.28839442458,-54.40600901621,3280.56909,3008.28516,3562.81494,12.338797677520752,0.8682056685028074,0.00277,0.003465,0.003824
1.3248,225.2901295618,-54.39649305318,2354.99756,2029.44653,2774.60962,14.89610803805542,0.29886307754516594,0.002855,0.008247,0.005594
1.3286,225.25237367946,-54.4222792954,3206.30444,2569.58423,4140.74072,15.021746801574707,0.42135891278076176,0.00286,0.009323,0.005412
1.3339,225.21516370241,-54.39611710448,1068.3125,1038.59167,1102.4563,13.097097336410522,0.033675279197692864,0.002771,0.003504,0.003949
1.4033,225.27914124173,-54.41775999909,606.107605,523.550598,733.916504,16.976081567230224,1.4493212701950071,0.004015,0.084755,0.014512
1.4154,225.21354754867,-54.4061778483,2827.11914,2366.66284,3424.98169,14.881414178482057,0.5451781287765503,0.002852,0.008181,0.005285
1.4268,225.22332606433,-54.41665281259,3901.66504,3471.86816,4357.57422,13.548916298583984,0.9221562946777344,0.002788,0.005417,0.00404
1.4702,225.29470442877,-54.40193000373,1089.15625,1011.2804,1177.60645,14.482508348083496,0.27096454808044435,0.002819,0.007263,0.004978
1.5235,225.22245074858,-54.41842150219,1081.71692,1022.80249,1151.90015,14.485352022399901,0.24378411765289298,0.002817,0.006134,0.004457
1.5273,225.28974419699,-54.38659527401,1990.51575,1778.91003,2226.10962,14.482465649383546,0.26687589672851564,0.00281,0.006866,0.004784
1.5477,225.23821205752,-54.42451056932,1197.7002,1131.14673,1285.11389,14.439084647094727,0.25252854302215577,0.002833,0.011697,0.007124
1.6035,225.28761453518,-54.38277351558,794.681091,734.230103,857.059326,15.556933158752443,0.9994720804977417,0.002985,0.016518,0.005664
1.6294,225.20612129023,-54.39887804881,2415.12964,2033.15906,2764.95923,14.772979472259522,0.4621972201385498,0.002849,0.010219,0.004883
1.674,225.3002645739,-54.4036748653,8174.21143,6280.03174,10317.7949,15.293484319839479,1.0093702927474975,0.002894,0.013007,0.005335
1.6783,225.20508405887,-54.39648868008,1787.68286,1547.77698,2116.00146,15.643782037124634,0.4752020544815063,0.002966,0.014042,0.008911
1.6858,225.20859990004,-54.38875667148,1051.42773,1034.54541,1066.92139,10.688089062820435,-0.5458875155792237,0.002766,0.002865,0.003797
1.687,225.28425287026,-54.37884203061,7530.20996,5662.10791,9407.38672,15.573251862945558,0.9968970401916506,0.003017,0.016844,0.005995
1.6968,225.23440620722,-54.37394553057,821.382019,681.424316,1037.75732,16.78241150843811,1.0564617601623536,0.00393,0.037861,0.013211
1.7204,225.20851430368,-54.41278864588,2650.77783,2241.14893,3215.3313,14.829907595825194,0.32527953655242925,0.002866,0.011069,0.007978
1.7567,225.2119744158,-54.38297934557,766.739502,650.448425,930.810547,16.726698642730714,1.4801624077072142,0.003568,0.053452,0.012266
1.7598,225.2716484497,-54.42732055219,3399.94385,2867.49243,4005.43506,14.46983557826233,0.3364151451721191,0.002809,0.007285,0.004613
1.7837,225.23614571731,-54.42825704545,1892.64197,1723.89856,2094.26611,14.682941050369262,0.3298312328872681,0.002834,0.006085,0.004725
1.8071,225.22615534029,-54.37429455961,2054.17383,1744.58765,2416.15649,15.222720982070921,0.28842795426940926,0.002885,0.010516,0.007652
1.8338,225.20221477361,-54.40849567293,1818.15515,1544.55066,2144.77881,15.498526615188599,0.5126192936325074,0.002942,0.013963,0.006504
1.8596,225.24116705137,-54.3698829013,1611.46667,1272.44299,1995.82776,16.14398783265686,0.613931802017212,0.003101,0.029325,0.009285
1.8672,225.30588308256,-54.39685788555,1683.6217,1502.01367,1934.953,14.939472956161499,0.33162631093597406,0.002847,0.008038,0.004845
1.8741,225.29217150582,-54.37897038077,3419.92969,3167.78296,3691.24194,12.436825092758179,0.8124689204559328,0.002772,0.003188,0.003821
1.8762,225.28196489825,-54.42637018263,3496.32251,2806.42212,4517.03711,14.855380764404298,0.4232120279693603,0.002845,0.007237,0.005393
1.8902,225.30275897817,-54.38814386172,3873.83252,3085.49146,4805.63574,14.807291664886474,0.5422906969985961,0.002843,0.006961,0.005539
1.8971,225.2557923299,-54.36856828625,2514.61548,2178.24414,2918.10791,14.253694218994141,0.24831091567230223,0.002807,0.006194,0.004393
1.9051,225.24731751945,-54.36854215032,1231.25623,1174.14685,1290.49414,13.64183617175293,0.210962067390442,0.002784,0.004835,0.00409
1.9058,225.27218156735,-54.37046304217,2474.28149,2141.43091,2797.04248,13.967705855407715,0.33161395789337167,0.002794,0.004277,0.004268
1.936,225.30125588851,-54.38456137889,4644.14941,3876.40527,5660.28662,14.074970041625978,0.7841657116165162,0.002805,0.00536,0.004067
1.9446,225.24877124912,-54.43246558898,4848.20361,4291.10693,5718.50537,13.399057328002929,0.855854100540161,0.002779,0.004685,0.003964
1.9635,225.21920570794,-54.42641470597,4902.84814,4141.15479,5838.05225,13.484584602264404,1.1225236032943724,0.00279,0.004354,0.003978
1.988,225.30515482053,-54.38725648752,2620.85107,2269.771,3035.88013,14.276638262573243,0.21671622505950938,0.002803,0.005578,0.004388
1.9996,225.28824921942,-54.3740074198,4159.1582,3777.36499,4791.14795,13.01015455619812,1.0726890297317504,0.002782,0.004264,0.003906
