id,Event,PubDate,TNS,RA,Dec,l,b,t0,u0,tE,Kest,Gmag,Kmag,r_K,gbase,rbase,ibase,G_FT,K_FT,r_FT,G_AO,r_AO,AT,UT,AT_wide,UT_wide,Can,Status,Comment,Tags
0,Gaia20agb,2020-01-14 10:43:08,2020wr,07:12:41.25,-26:30:27.58,0.0,0.0,0.0,0.0,0.0,0.0,14.19,11.24,0.02,14.73,14.18,13.95,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,possible astrometric lensing,;
1,Gaia20bwp,2020-04-19 12:33:43,2020htp,18:48:07.44,-06:10:41.12,0.0,0.0,0.0,0.0,0.0,0.0,16.2,11.64,0.25,18.78,16.86,15.72,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,Varstar?bad color,;
2,Gaia21drf,2021-08-09 13:43:07,2021vjl,12:14:23.54,-63:40:17.90,0.0,0.0,0.0,0.0,0.0,0.0,14.29,11.75,0.21,15.01,14.22,13.82,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,ulens?,;
3,Gaia21ejw,2021-10-01 17:05:07,2021aado,18:48:13.35,-09:08:38.18,0.0,0.0,0.0,0.0,0.0,0.0,17.69,11.3,0.16,21.34,19.08,16.98,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,maybe longT,;
4,Gaia21ejv,2021-10-01 17:03:03,2021aadn,15:18:39.27,-44:44:45.85,0.0,0.0,0.0,0.0,0.0,0.0,17.48,14.15,0.18,18.59,17.53,17.0,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,longT?,;
5,Gaia21fkl,2021-12-05 12:45:45,2021agcl,07:46:28.38,-21:52:32.02,0.0,0.0,0.0,0.0,0.0,0.0,15.72,11.77,0.08,17.39,15.95,15.16,14.59,10.84,28.06,0.0,100.0,-1,-1,0,1,1,1,"ulens,rbase 15.934;plx event",;
6,J1501,2022-01-19,2022aib,15:01:00.65,-54:24:00.50,0.0,0.0,0.0,0.0,0.0,0.0,13.82,9.27,0.53,16.05,14.27,12.99,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,0,bright ulens;red giant;ended,;
7,Gaia22bdx,2022-03-30 16:48:02,2022fmb,19:12:10.61,-03:11:41.53,0.0,0.0,0.0,0.0,0.0,0.0,17.06,8.62,0.13,18.67,16.97,16.34,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,"???,periodic pattern; maybe real ulens?",;
8,Gaia22bfy,2022-04-02 08:19:59,2022fqw,18:04:55.27,-16:29:36.53,0.0,0.0,0.0,0.0,0.0,0.0,16.44,10.49,0.15,19.7,17.41,15.84,13.03,10.98,24.25,0.0,100.0,-1,-1,0,2,1,1,promising;check routinely,;
9,Gaia22bhw,2022-04-04 17:45:19,2022gkc,18:03:38.92,-33:26:46.64,0.0,0.0,0.0,0.0,0.0,0.0,16.8,9.23,0.14,19.34,17.36,16.14,14.61,10.41,5.38,0.0,100.0,-1,-1,0,1,2,1,longT?,;
10,Gaia22buv,2022-05-10 06:45:17,2022jqp,18:38:07.91,-32:14:52.33,0.0,0.0,9760.0,0.0,100.0,0.0,17.28,14.98,0.09,18.0,17.27,16.92,11.7,7.68,26.22,0.0,100.0,0,-1,1,1,1,0,promising wide source,;AT_wide;
11,Gaia22cla,2022-06-13 13:54:03,2022mtg,07:32:35.70,-19:48:52.49,0.0,0.0,0.0,0.0,0.0,0.0,15.34,11.94,0.11,16.2,15.43,15.09,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,need check;maybe longT,;
12,Gaia22crr,2022-06-28 07:29:58,2022nsl,14:17:37.32,-58:38:42.04,0.0,0.0,9800.0,0.0,300.0,0.0,20.36,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,not catalog star,;
13,Gaia22daq,2022-07-26 15:13:03,2022poh,13:35:56.65,-57:52:36.34,0.0,0.0,9900.0,0.0,100.0,0.0,16.56,13.89,0.14,17.34,16.47,16.06,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,long T?;check,;
14,Gaia22dkv,2022-08-19 07:28:03,2022rmc,10:07:04.56,-66:10:51.20,0.0,0.0,9900.0,0.0,120.0,0.0,13.14,10.79,0.06,13.81,13.14,12.84,0.0,0.0,100.0,10.29,47.19,1,-1,0,0,1,1,promising ulens,;AT;
15,ASASSN-22kb,2022-08-20,--,03:42:49.83,43:12:50.04,0.0,0.0,0.0,0.0,0.0,0.0,12.48,9.37,0.48,13.66,12.54,12.0,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,promising ulens,;
16,Gaia22dmw,2022-08-25 07:43:40,2022scu,14:26:30.66,-62:57:28.91,0.0,0.0,0.0,0.0,0.0,0.0,19.28,15.76,0.17,20.66,19.33,18.56,0.0,0.0,100.0,10.95,42.72,-1,-1,0,0,2,1,ulens; faint; check,;
17,Gaia22dth,2022-09-07 17:35:37,2022trj,17:47:00.00,-19:42:13.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,ulens;check,;
18,Gaia22dsr,2022-09-06 10:07:03,2022tou,17:53:50.92,-31:11:32.96,0.0,0.0,0.0,0.0,0.0,0.0,19.58,0.0,100.0,0.0,0.0,0.0,14.53,10.47,12.29,0.0,100.0,-1,-1,0,1,1,1,longT ; faint; Kbase>16; need check; not visible now,;
19,Gaia22duy,2022-09-10 22:26:17,2022tvf,18:41:09.25,-10:23:47.04,0.0,0.0,0.0,0.0,0.0,0.0,17.11,12.14,0.11,20.0,17.73,16.47,14.62,9.47,21.47,0.0,100.0,-1,-1,0,1,1,1,ulens ; longT,;Ongoing;
20,ASASSN-22lq,2022-09-20.04,--,16:03:16.31,-28:04:18.05,0.0,0.0,0.0,0.0,0.0,0.0,13.75,11.24,0.81,14.58,13.75,13.4,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,0,short tE~20d ; bright,;
21,Gaia22ecl,2022-10-06 09:52:22,2022wvt,13:39:29.19,-57:21:50.22,0.0,0.0,0.0,0.0,0.0,0.0,17.14,12.8,0.04,18.91,17.42,16.55,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,wait next Gaia,;
22,Gaia22edf,2022-10-08 09:09:13,2022xaq,18:26:41.64,-33:37:36.77,0.0,0.0,9900.0,0.0,100.0,0.0,14.91,12.27,0.17,15.8,14.96,14.59,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,promising ulens ; longT,;
23,Gaia22ees,2022-10-13 07:24:04,2022xkk,18:09:05.73,-19:50:52.66,0.0,0.0,0.0,0.0,0.0,0.0,15.33,10.98,0.14,17.47,15.77,14.71,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,bumper or ulens with anomaly?; check,;
24,Gaia22eek,2022-10-12 23:07:12,2022xjx,18:06:18.12,-24:03:17.82,0.0,0.0,0.0,0.0,0.0,0.0,16.64,12.02,0.12,18.95,17.09,16.05,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,"bright Kbase real match(with blending , 12.1 in VVV); long T",;
25,Gaia22ehi,2022-10-26 08:01:25,2022yre,07:05:33.23,-29:48:09.00,0.0,0.0,0.0,0.0,0.0,0.0,18.45,14.27,0.18,21.19,19.58,17.75,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,maybe not; wait next Gaia & ATLAS,;
26,Gaia22ehh,2022-10-26 07:58:13,2022yrd,09:12:54.83,-48:29:49.70,0.0,0.0,0.0,0.0,0.0,0.0,19.39,12.98,0.02,22.5,20.41,18.58,14.26,9.98,27.81,0.0,100.0,-1,-1,0,1,2,1,wait next Gaia & ATLAS; real Kmag,;
27,Gaia22egx,2022-10-26 07:47:03,2022yqw,05:48:35.96,13:22:35.11,0.0,0.0,0.0,0.0,0.0,0.0,17.91,14.2,0.4,20.0,18.75,17.2,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,maybe not; wait next Gaia & ATLAS,;
28,Gaia22ehv,2022-10-28 04:26:22,2022yvo,08:29:10.81,-48:50:01.14,0.0,0.0,0.0,0.0,0.0,0.0,15.81,14.21,0.09,16.28,15.8,15.65,14.75,10.74,29.42,0.0,100.0,-1,-1,0,1,2,1,wait next Gaia & ATLAS,;
29,Gaia22ehu,2022-10-28 04:24:27,2022yvn,09:55:01.84,-57:01:08.69,0.0,0.0,0.0,0.0,0.0,0.0,17.58,13.91,0.09,19.39,17.86,16.95,13.74,10.31,23.77,0.0,100.0,-1,-1,0,1,2,1,wait next Gaia & ATLAS,;
30,Gaia22eia,2022-10-29 00:43:52,2022yxr,09:17:02.44,-54:08:59.06,0.0,0.0,0.0,0.0,0.0,0.0,14.51,11.8,0.04,15.12,14.18,13.76,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,bright ulens; short tE,;
31,Gaia22eki,2022-11-05 14:36:54,2022znr,16:14:35.69,-54:55:17.65,0.0,0.0,0.0,0.0,0.0,0.0,15.28,11.49,0.18,17.11,15.62,14.8,13.5,8.98,13.75,0.0,100.0,-1,1,0,1,1,1,ulens; check; possible UT_wide & UT,;UT;
32,Gaia22ekq,2022-11-08 09:13:31,2022zto,16:25:18.86,-58:32:58.09,0.0,0.0,0.0,0.0,0.0,0.0,19.36,0.0,100.0,19.92,19.25,18.97,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,1,1,Kbase 16.9 in vhs; too faint; just monitor Gaia G,;
33,Gaia22emq,2022-11-10 10:32:21,2022zvl,17:28:21.20,-28:49:31.62,0.0,0.0,0.0,0.0,0.0,0.0,16.3,10.94,0.06,19.53,17.03,15.66,13.96,8.7,29.22,10.73,59.56,-1,-1,0,1,1,1,promising ulens; bulge src,;
34,Gaia22emh,2022-11-09 22:10:43,2022zvb,17:29:36.74,-39:06:20.34,0.0,0.0,0.0,0.0,0.0,0.0,17.28,13.2,0.14,18.75,17.38,16.58,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,ulens with anomaly(~0.1mag in ATLAS); need check;20230131),;
35,Gaia22eny,2022-11-13 10:07:08,2022aabp,18:25:51.10,-39:32:02.54,0.0,0.0,0.0,0.0,0.0,0.0,17.89,16.5,2.0,18.08,17.58,17.75,0.0,0.0,100.0,0.0,100.0,-1,-1,0,0,2,1,Kmag16.5 in vhs,;
36,Gaia22epb,2022-11-16 10:14:05,2022aalq,18:11:47.37,-27:23:50.82,0.0,0.0,0.0,0.0,0.0,0.0,18.11,15.25,0.25,18.34,17.5,17.09,13.33,9.51,25.17,0.0,100.0,-1,-1,0,2,2,1,faint ulens; bulge; only monitor Gaia,;
